srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	9733	48501	13736.0	13736.0	13736.0	13.736	13.736	13.736	1770.0	GigabitEthernet0/0	20745.0	31250.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	8641	42938	11574.0	11574.0	11574.0	11.574	11.574	11.574	1695.0	GigabitEthernet0/0	20745.0	31250.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	9114	42075	11208.0	11208.0	11208.0	11.208	11.208	11.208	1685.0	GigabitEthernet0/0	20745.0	31250.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	8575	39515	11810.0	11810.0	11810.0	11.717	11.717	11.717	1704.0	GigabitEthernet0/0	20745.0	31250.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	8058	41266	10552.0	10552.0	10552.0	10.551	10.551	10.551	1662.0	GigabitEthernet0/0	20745.0	31250.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	8225	38849	10845.0	10845.0	10845.0	10.844	10.844	10.844	1628.0	GigabitEthernet0/0	20745.0	31250.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	7175	32925	11137.0	11137.0	11137.0	11.136	11.136	11.136	1650.0	GigabitEthernet0/0	20745.0	31250.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	11248	47571	15787.0	15787.0	15787.0	15.787	15.787	15.787	1645.0	GigabitEthernet0/0	20745.0	31250.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	4	31	1307.0	1307.0	1307.0	1.306	1.306	1.306	1685.0	GigabitEthernet0/0	20745.0	31250.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	9320	44108	13176.0	13176.0	13176.0	13.174	13.174	13.174	1637.0	GigabitEthernet0/0	20745.0	31250.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	7224	35280	8936.0	8936.0	8936.0	8.935	8.935	8.935	1600.0	GigabitEthernet0/0	20745.0	31250.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	6642	34967	11141.0	11141.0	11141.0	11.141	11.141	11.141	1608.0	GigabitEthernet0/0	20745.0	31250.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	9855	43951	15115.0	15115.0	15115.0	15.113	15.113	15.113	1742.0	GigabitEthernet0/0	20745.0	31250.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	7204	35794	9386.0	9386.0	9386.0	9.385	9.385	9.385	1797.0	GigabitEthernet0/0	20745.0	31250.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	8540	42749	13185.0	13185.0	13185.0	13.184	13.184	13.184	1651.0	GigabitEthernet0/0	20745.0	31250.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	9783	43185	12815.0	12815.0	12815.0	12.814	12.814	12.814	1649.0	GigabitEthernet0/0	20745.0	31250.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	8293	41785	12275.0	12275.0	12275.0	12.275	12.275	12.275	1671.0	GigabitEthernet0/0	20745.0	31250.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	9308	42911	14538.0	14538.0	14538.0	14.537	14.537	14.537	1649.0	GigabitEthernet0/0	20745.0	31250.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	7013	31163	11060.0	11060.0	11060.0	11.059	11.059	11.059	1651.0	GigabitEthernet0/0	20745.0	31250.0
