srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	79838	416107	243757.0	243757.0	243757.0	243.755	243.755	243.755	2347.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	59060	239907	158550.0	158550.0	158550.0	158.549	158.549	158.549	2308.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	82692	681217	374421.0	374421.0	374421.0	374.421	374.421	374.421	2293.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	56900	254247	180612.0	180612.0	180612.0	180.611	180.611	180.611	2375.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	66513	293844	200774.0	200774.0	200774.0	200.773	200.773	200.773	2251.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	99537	620419	332060.0	332060.0	332060.0	332.059	332.059	332.059	2215.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	74051	602989	247746.0	247746.0	247746.0	247.746	247.746	247.746	2220.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	132061	620939	322507.0	322507.0	322507.0	322.506	322.506	322.506	2401.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	109877	759108	476943.0	476943.0	476943.0	476.941	476.941	476.941	2404.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	73306	367622	204755.0	204755.0	204755.0	204.754	204.754	204.754	2191.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	101719	518642	352678.0	352678.0	352678.0	352.677	352.677	352.677	2170.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	66008	364280	215950.0	215950.0	215950.0	215.949	215.949	215.949	2234.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	93234	669037	365283.0	365283.0	365283.0	365.282	365.282	365.282	2201.0	GigabitEthernet0/0	20203.0	37175.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	unsat	83216	480797	262554.0	262554.0	262554.0	262.553	262.553	262.553	2190.0	GigabitEthernet0/0	20203.0	37175.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	210864	1719798	867123.0	867123.0	867123.0	867.122	867.122	867.122	2198.0	GigabitEthernet0/0	20203.0	37175.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	152190	1051293	550258.0	550258.0	550258.0	550.257	550.257	550.257	2406.0	GigabitEthernet0/0	20203.0	37175.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	unsat	68120	285226	138443.0	138443.0	138443.0	138.442	138.442	138.442	2296.0	GigabitEthernet0/0	20203.0	37175.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	unsat	98085	646539	431707.0	431707.0	431707.0	431.707	431.707	431.707	2213.0	GigabitEthernet0/0	20203.0	37175.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	97705	548263	311938.0	311938.0	311938.0	311.937	311.937	311.937	2166.0	GigabitEthernet0/0	20203.0	37175.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	54572	361423	224052.0	224052.0	224052.0	224.052	224.052	224.052	2171.0	GigabitEthernet0/0	20203.0	37175.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	unsat	229356	1661367	788926.0	788926.0	788926.0	788.925	788.925	788.925	2223.0	GigabitEthernet0/0	20203.0	37175.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	189250	1489058	744609.0	744609.0	744609.0	744.608	744.608	744.608	2183.0	GigabitEthernet0/0	20203.0	37175.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	88492	392626	353241.0	353241.0	353241.0	353.24	353.24	353.24	2213.0	GigabitEthernet0/0	20203.0	37175.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	79554	471379	228341.0	228341.0	228341.0	228.34	228.34	228.34	2322.0	GigabitEthernet0/0	20203.0	37175.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	54704	339852	196988.0	196988.0	196988.0	196.987	196.987	196.987	2171.0	GigabitEthernet0/0	20203.0	37175.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	62441	368538	259897.0	259897.0	259897.0	259.896	259.896	259.896	2321.0	GigabitEthernet0/0	20203.0	37175.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	162492	1041921	621713.0	621713.0	621713.0	621.711	621.711	621.711	2194.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	74454	470685	273076.0	273076.0	273076.0	273.076	273.076	273.076	2181.0	GigabitEthernet0/0	20203.0	37175.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	84016	388959	274986.0	274986.0	274986.0	274.985	274.985	274.985	2270.0	GigabitEthernet0/0	20203.0	37175.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	unsat	78429	493137	295753.0	295753.0	295753.0	295.752	295.752	295.752	2306.0	GigabitEthernet0/0	20203.0	37175.0
