srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	29189	112835	67473.0	67473.0	67473.0	67.472	67.472	67.472	2532.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	24054	112200	53698.0	53698.0	53698.0	53.697	53.697	53.697	2289.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	15647	71883	36560.0	36560.0	36560.0	36.56	36.56	36.56	2318.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	24524	96925	45846.0	45846.0	45846.0	45.845	45.845	45.845	2355.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	20199	84765	63499.0	63499.0	63499.0	63.498	63.498	63.498	2282.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	25442	114182	65798.0	65798.0	65798.0	65.798	65.798	65.798	2203.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	22831	98262	58428.0	58428.0	58428.0	58.426	58.426	58.426	2245.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	22870	96579	51015.0	51015.0	51015.0	51.014	51.014	51.014	2302.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	28029	119115	56157.0	56157.0	56157.0	56.156	56.156	56.156	2254.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	21809	82971	51728.0	51728.0	51728.0	51.727	51.727	51.727	2169.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	31141	118282	65120.0	65120.0	65120.0	65.119	65.119	65.119	2347.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	24953	106415	50004.0	50004.0	50004.0	50.003	50.003	50.003	2265.0	GigabitEthernet0/0	20203.0	37175.0
