srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	196	4375	3097.0	3097.0	3097.0	3.096	3.096	3.096	2469.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	97	2809	3065.0	3065.0	3065.0	3.064	3.064	3.064	2250.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	68	2131	2901.0	2901.0	2901.0	2.9	2.9	2.9	2258.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	112	3029	3288.0	3288.0	3288.0	3.288	3.288	3.288	2335.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	2487	24912	9224.0	9224.0	9224.0	9.223	9.223	9.223	2272.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	55	1486	2564.0	2564.0	2564.0	2.563	2.563	2.563	2223.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	32	873	2353.0	2353.0	2353.0	2.352	2.352	2.352	2282.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	55	1808	2689.0	2689.0	2689.0	2.688	2.688	2.688	2142.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	49	1427	2567.0	2567.0	2567.0	2.566	2.566	2.566	2331.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	37	810	2476.0	2476.0	2476.0	2.475	2.475	2.475	2162.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	412	11252	5490.0	5490.0	5490.0	5.49	5.49	5.49	2301.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	3004	31128	10356.0	10356.0	10356.0	10.356	10.356	10.356	2667.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	57	1617	2738.0	2738.0	2738.0	2.736	2.736	2.736	2178.0	GigabitEthernet0/0	20203.0	37175.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	63	1986	2788.0	2788.0	2788.0	2.787	2.787	2.787	2150.0	GigabitEthernet0/0	20203.0	37175.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	53	1472	2636.0	2636.0	2636.0	2.635	2.635	2.635	2236.0	GigabitEthernet0/0	20203.0	37175.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	49	1323	2878.0	2878.0	2878.0	2.877	2.877	2.877	2234.0	GigabitEthernet0/0	20203.0	37175.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	65	1474	3182.0	3182.0	3182.0	3.181	3.181	3.181	2161.0	GigabitEthernet0/0	20203.0	37175.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	45	1136	2747.0	2747.0	2747.0	2.746	2.746	2.746	2184.0	GigabitEthernet0/0	20203.0	37175.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	13078	98873	30061.0	30061.0	30061.0	30.06	30.06	30.06	2177.0	GigabitEthernet0/0	20203.0	37175.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	51	1703	2964.0	2964.0	2964.0	2.963	2.963	2.963	2312.0	GigabitEthernet0/0	20203.0	37175.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	43	1404	2685.0	2685.0	2685.0	2.684	2.684	2.684	2156.0	GigabitEthernet0/0	20203.0	37175.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	44	1212	2804.0	2804.0	2804.0	2.803	2.803	2.803	2154.0	GigabitEthernet0/0	20203.0	37175.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	495	10517	5946.0	5946.0	5946.0	5.945	5.945	5.945	2163.0	GigabitEthernet0/0	20203.0	37175.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	595	5641	3935.0	3935.0	3935.0	3.934	3.934	3.934	2169.0	GigabitEthernet0/0	20203.0	37175.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	47	987	2821.0	2821.0	2821.0	2.82	2.82	2.82	2347.0	GigabitEthernet0/0	20203.0	37175.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	522	5438	3957.0	3957.0	3957.0	3.956	3.956	3.956	2277.0	GigabitEthernet0/0	20203.0	37175.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	62	1596	2885.0	2885.0	2885.0	2.885	2.885	2.885	2317.0	GigabitEthernet0/0	20203.0	37175.0
