srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	390	62915	7304.0	7304.0	7304.0	7.303	7.303	7.303	2397.0	GigabitEthernet0/0	20203.0	36460.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	589	70884	18754.0	18754.0	18754.0	18.753	18.753	18.753	2303.0	GigabitEthernet0/0	20203.0	36460.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	390	62002	9781.0	9781.0	9781.0	9.78	9.78	9.78	2222.0	GigabitEthernet0/0	20203.0	36460.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	2961	105585	28298.0	28298.0	28298.0	28.297	28.297	28.297	2171.0	GigabitEthernet0/0	20203.0	36460.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	390	61344	9018.0	9018.0	9018.0	9.017	9.017	9.017	2278.0	GigabitEthernet0/0	20203.0	36460.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	390	63584	7759.0	7759.0	7759.0	7.759	7.759	7.759	2212.0	GigabitEthernet0/0	20203.0	36460.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	390	8660	2455.0	2455.0	2455.0	2.454	2.454	2.454	2149.0	GigabitEthernet0/0	20203.0	36460.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	390	13161	2513.0	2513.0	2513.0	2.512	2.512	2.512	2202.0	GigabitEthernet0/0	20203.0	36460.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	390	62065	7614.0	7614.0	7614.0	7.614	7.614	7.614	2321.0	GigabitEthernet0/0	20203.0	36460.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	390	13252	2530.0	2530.0	2530.0	2.529	2.529	2.529	2127.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	390	61788	8792.0	8792.0	8792.0	8.791	8.791	8.791	2350.0	GigabitEthernet0/0	20203.0	36460.0
