srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	36336	128782	96439.0	96439.0	96439.0	96.438	96.438	96.438	2337.0	GigabitEthernet0/0	20203.0	37175.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	30678	122749	66828.0	66828.0	66828.0	66.828	66.828	66.828	2197.0	GigabitEthernet0/0	20203.0	37175.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	26821	112738	62668.0	62668.0	62668.0	62.667	62.667	62.667	2299.0	GigabitEthernet0/0	20203.0	37175.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	33190	114618	77359.0	77359.0	77359.0	77.358	77.358	77.358	2254.0	GigabitEthernet0/0	20203.0	37175.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	32692	136507	82236.0	82236.0	82236.0	82.235	82.235	82.235	2176.0	GigabitEthernet0/0	20203.0	37175.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	31615	124405	76278.0	76278.0	76278.0	76.277	76.277	76.277	2149.0	GigabitEthernet0/0	20203.0	37175.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	24808	108138	53188.0	53188.0	53188.0	53.187	53.187	53.187	2165.0	GigabitEthernet0/0	20203.0	37175.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	21519	106174	54372.0	54372.0	54372.0	54.371	54.371	54.371	2133.0	GigabitEthernet0/0	20203.0	37175.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	37367	133866	72243.0	72243.0	72243.0	72.242	72.242	72.242	2279.0	GigabitEthernet0/0	20203.0	37175.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	23001	96865	46582.0	46582.0	46582.0	46.582	46.582	46.582	2125.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	29791	130079	77604.0	77604.0	77604.0	77.604	77.604	77.604	2278.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	23053	101040	43483.0	43483.0	43483.0	43.482	43.482	43.482	2259.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	25798	87984	49469.0	49469.0	49469.0	49.468	49.468	49.468	2135.0	GigabitEthernet0/0	20203.0	37175.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	23085	97326	47138.0	47138.0	47138.0	47.137	47.137	47.137	2165.0	GigabitEthernet0/0	20203.0	37175.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	26849	124365	56230.0	56230.0	56230.0	56.229	56.229	56.229	2134.0	GigabitEthernet0/0	20203.0	37175.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	23617	112004	60704.0	60704.0	60704.0	60.703	60.703	60.703	2246.0	GigabitEthernet0/0	20203.0	37175.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	29741	130136	74588.0	74588.0	74588.0	74.588	74.588	74.588	2249.0	GigabitEthernet0/0	20203.0	37175.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	25831	104681	56566.0	56566.0	56566.0	56.565	56.565	56.565	2144.0	GigabitEthernet0/0	20203.0	37175.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	33329	116612	119042.0	119042.0	119042.0	119.041	119.041	119.041	2150.0	GigabitEthernet0/0	20203.0	37175.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	23378	107363	49244.0	49244.0	49244.0	49.244	49.244	49.244	2127.0	GigabitEthernet0/0	20203.0	37175.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	26731	130860	67303.0	67303.0	67303.0	67.302	67.302	67.302	2126.0	GigabitEthernet0/0	20203.0	37175.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	23754	99448	50655.0	50655.0	50655.0	50.655	50.655	50.655	2137.0	GigabitEthernet0/0	20203.0	37175.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	22347	109878	46947.0	46947.0	46947.0	46.946	46.946	46.946	2135.0	GigabitEthernet0/0	20203.0	37175.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	25880	103242	45605.0	45605.0	45605.0	45.604	45.604	45.604	2143.0	GigabitEthernet0/0	20203.0	37175.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	19379	88982	42973.0	42973.0	42973.0	42.972	42.972	42.972	2292.0	GigabitEthernet0/0	20203.0	37175.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	18630	86712	44278.0	44278.0	44278.0	44.278	44.278	44.278	2234.0	GigabitEthernet0/0	20203.0	37175.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	31639	124109	73218.0	73218.0	73218.0	73.218	73.218	73.218	2436.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	24739	115884	54294.0	54294.0	54294.0	54.293	54.293	54.293	2254.0	GigabitEthernet0/0	20203.0	37175.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	26215	123271	60516.0	60516.0	60516.0	60.515	60.515	60.515	2315.0	GigabitEthernet0/0	20203.0	37175.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	26235	110811	63603.0	63603.0	63603.0	63.602	63.602	63.602	2150.0	GigabitEthernet0/0	20203.0	37175.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	24777	103882	81820.0	81820.0	81820.0	81.819	81.819	81.819	2156.0	GigabitEthernet0/0	20203.0	37175.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	27374	126884	74945.0	74945.0	74945.0	74.944	74.944	74.944	2206.0	GigabitEthernet0/0	20203.0	37175.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	27371	118450	67348.0	67348.0	67348.0	67.347	67.347	67.347	2258.0	GigabitEthernet0/0	20203.0	37175.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	33241	128035	77170.0	77170.0	77170.0	77.169	77.169	77.169	2130.0	GigabitEthernet0/0	20203.0	37175.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	22067	111559	46513.0	46513.0	46513.0	46.512	46.512	46.512	2142.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	23860	108377	61062.0	61062.0	61062.0	61.061	61.061	61.061	2261.0	GigabitEthernet0/0	20203.0	37175.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	29048	97056	55931.0	55931.0	55931.0	55.931	55.931	55.931	2287.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	21683	100011	53812.0	53812.0	53812.0	53.811	53.811	53.811	2109.0	GigabitEthernet0/0	20203.0	37175.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	33376	126824	87421.0	87421.0	87421.0	87.42	87.42	87.42	2326.0	GigabitEthernet0/0	20203.0	37175.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	32689	132569	83068.0	83068.0	83068.0	83.067	83.067	83.067	2114.0	GigabitEthernet0/0	20203.0	37175.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	sat	20272	101341	42179.0	42179.0	42179.0	42.178	42.178	42.178	2230.0	GigabitEthernet0/0	20203.0	37175.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	24379	117262	69962.0	69962.0	69962.0	69.961	69.961	69.961	2128.0	GigabitEthernet0/0	20203.0	37175.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	sat	24773	116959	59301.0	59301.0	59301.0	59.301	59.301	59.301	2135.0	GigabitEthernet0/0	20203.0	37175.0
santtantonio	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	39135	138378	99076.0	99076.0	99076.0	99.075	99.075	99.075	2137.0	GigabitEthernet0/0	20203.0	37175.0
rowland	essexttjunction	IpWildcardIpSpace{ipWildcard=200.0.93.0/24}	sat	34860	128974	101605.0	101605.0	101605.0	101.604	101.604	101.604	2200.0	GigabitEthernet0/0	20203.0	37175.0
bern	hamilton	IpWildcardIpSpace{ipWildcard=200.0.113.0/24}	sat	24544	112148	62513.0	62513.0	62513.0	62.512	62.512	62.512	2130.0	GigabitEthernet0/0	20203.0	37175.0
