srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	159653	1266338	344049.0	344049.0	344049.0	344.048	344.048	344.048	2288.0	GigabitEthernet0/0	20203.0	36460.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	357251	1985916	857460.0	857460.0	857460.0	857.458	857.458	857.458	2293.0	GigabitEthernet0/0	20203.0	36460.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	656192	3687007	1569485.0	1569485.0	1569485.0	1569.484	1569.484	1569.484	2341.0	GigabitEthernet0/0	20203.0	36460.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	275323	1716855	633743.0	633743.0	633743.0	633.742	633.742	633.742	2244.0	GigabitEthernet0/0	20203.0	36460.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	607673	3572309	1426803.0	1426803.0	1426803.0	1426.803	1426.803	1426.803	2187.0	GigabitEthernet0/0	20203.0	36460.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	65097	752895	118304.0	118304.0	118304.0	118.303	118.303	118.303	2151.0	GigabitEthernet0/0	20203.0	36460.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	370988	2519919	817598.0	817598.0	817598.0	817.597	817.597	817.597	2123.0	GigabitEthernet0/0	20203.0	36460.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	411578	2573071	1015108.0	1015108.0	1015108.0	1015.107	1015.107	1015.107	2197.0	GigabitEthernet0/0	20203.0	36460.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	291346	2132215	637374.0	637374.0	637374.0	637.374	637.374	637.374	2279.0	GigabitEthernet0/0	20203.0	36460.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	530888	3000887	1316933.0	1316933.0	1316933.0	1316.932	1316.932	1316.932	2102.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	782387	3965520	2143469.0	2143469.0	2143469.0	2143.468	2143.468	2143.468	2232.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	917876	4119524	2251730.0	2251730.0	2251730.0	2251.729	2251.729	2251.729	2213.0	GigabitEthernet0/0	20203.0	36460.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	154072	1376125	324640.0	324640.0	324640.0	324.639	324.639	324.639	2087.0	GigabitEthernet0/0	20203.0	36460.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	632137	3312619	1493080.0	1493080.0	1493080.0	1493.08	1493.08	1493.08	2206.0	GigabitEthernet0/0	20203.0	36460.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	432150	2464627	1023594.0	1023594.0	1023594.0	1023.593	1023.593	1023.593	2099.0	GigabitEthernet0/0	20203.0	36460.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	591131	3020243	1519036.0	1519036.0	1519036.0	1519.036	1519.036	1519.036	2212.0	GigabitEthernet0/0	20203.0	36460.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	887812	4181750	2254326.0	2254326.0	2254326.0	2254.325	2254.325	2254.325	2153.0	GigabitEthernet0/0	20203.0	36460.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	349778	2550907	854532.0	854532.0	854532.0	854.531	854.531	854.531	2116.0	GigabitEthernet0/0	20203.0	36460.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	18326	288861	30889.0	30889.0	30889.0	30.888	30.888	30.888	2101.0	GigabitEthernet0/0	20203.0	36460.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	620541	3575374	1561614.0	1561614.0	1561614.0	1561.613	1561.613	1561.613	2250.0	GigabitEthernet0/0	20203.0	36460.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	830720	3790059	1974315.0	1974315.0	1974315.0	1974.315	1974.315	1974.315	2224.0	GigabitEthernet0/0	20203.0	36460.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	551575	2735878	1194856.0	1194856.0	1194856.0	1194.855	1194.855	1194.855	2119.0	GigabitEthernet0/0	20203.0	36460.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	360857	2498966	914026.0	914026.0	914026.0	914.025	914.025	914.025	2111.0	GigabitEthernet0/0	20203.0	36460.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	234556	1912690	532118.0	532118.0	532118.0	532.117	532.117	532.117	2104.0	GigabitEthernet0/0	20203.0	36460.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	509077	2959046	1239454.0	1239454.0	1239454.0	1239.453	1239.453	1239.453	2186.0	GigabitEthernet0/0	20203.0	36460.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	367862	2927457	941161.0	941161.0	941161.0	941.16	941.16	941.16	2144.0	GigabitEthernet0/0	20203.0	36460.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	511685	2284681	1076407.0	1076407.0	1076407.0	1076.405	1076.405	1076.405	2230.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	682679	3524902	1723195.0	1723195.0	1723195.0	1723.194	1723.194	1723.194	2223.0	GigabitEthernet0/0	20203.0	36460.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	40591	465223	70773.0	70773.0	70773.0	70.773	70.773	70.773	2231.0	GigabitEthernet0/0	20203.0	36460.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	835230	4261962	2208410.0	2208410.0	2208410.0	2208.409	2208.409	2208.409	2135.0	GigabitEthernet0/0	20203.0	36460.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	625341	3335974	1563651.0	1563651.0	1563651.0	1563.651	1563.651	1563.651	2255.0	GigabitEthernet0/0	20203.0	36460.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	667076	3454199	1673975.0	1673975.0	1673975.0	1673.975	1673.975	1673.975	2201.0	GigabitEthernet0/0	20203.0	36460.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	149059	1087935	315744.0	315744.0	315744.0	315.744	315.744	315.744	2109.0	GigabitEthernet0/0	20203.0	36460.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	419692	2940095	1064546.0	1064546.0	1064546.0	1064.546	1064.546	1064.546	2286.0	GigabitEthernet0/0	20203.0	36460.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	720797	3525138	1837550.0	1837550.0	1837550.0	1837.55	1837.55	1837.55	2273.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	823620	3901285	2223158.0	2223158.0	2223158.0	2223.157	2223.157	2223.157	2228.0	GigabitEthernet0/0	20203.0	36460.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	152098	1521855	347338.0	347338.0	347338.0	347.337	347.337	347.337	2119.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	561044	2811694	1277788.0	1277788.0	1277788.0	1277.787	1277.787	1277.787	2105.0	GigabitEthernet0/0	20203.0	36460.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	651528	3092960	1476596.0	1476596.0	1476596.0	1476.595	1476.595	1476.595	2147.0	GigabitEthernet0/0	20203.0	36460.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	752320	3700115	1946432.0	1946432.0	1946432.0	1946.431	1946.431	1946.431	2093.0	GigabitEthernet0/0	20203.0	36460.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	sat	616621	3507570	1611044.0	1611044.0	1611044.0	1611.043	1611.043	1611.043	2228.0	GigabitEthernet0/0	20203.0	36460.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	184774	1589457	469295.0	469295.0	469295.0	469.294	469.294	469.294	2327.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	sat	757803	3873444	2019295.0	2019295.0	2019295.0	2019.294	2019.294	2019.294	2103.0	GigabitEthernet0/0	20203.0	36460.0
santtantonio	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	490615	2985091	1210580.0	1210580.0	1210580.0	1210.58	1210.58	1210.58	2181.0	GigabitEthernet0/0	20203.0	36460.0
rowland	essexttjunction	IpWildcardIpSpace{ipWildcard=200.0.93.0/24}	sat	510614	3032762	1227509.0	1227509.0	1227509.0	1227.508	1227.508	1227.508	2273.0	GigabitEthernet0/0	20203.0	36460.0
bern	hamilton	IpWildcardIpSpace{ipWildcard=200.0.113.0/24}	sat	347541	2295256	842433.0	842433.0	842433.0	842.432	842.432	842.432	2101.0	GigabitEthernet0/0	20203.0	36460.0
barcelona	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	656067	3312943	1635227.0	1635227.0	1635227.0	1635.226	1635.226	1635.226	2176.0	GigabitEthernet0/0	20203.0	36460.0
bordeaux	buffalo	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	620713	3422150	1500632.0	1500632.0	1500632.0	1500.631	1500.631	1500.631	2186.0	GigabitEthernet0/0	20203.0	36460.0
ingleside	gouveneur	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	706831	3637559	1915137.0	1915137.0	1915137.0	1915.136	1915.136	1915.136	2137.0	GigabitEthernet0/0	20203.0	36460.0
portland	jamestown	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	605564	2899446	1412727.0	1412727.0	1412727.0	1412.727	1412.727	1412.727	2239.0	GigabitEthernet0/0	20203.0	36460.0
