srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	2522	19373	4357.0	4357.0	4357.0	4.356	4.356	4.356	1493.0	GigabitEthernet0/0	19687.0	27505.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	2871	22416	4438.0	4438.0	4438.0	4.438	4.438	4.438	1339.0	GigabitEthernet0/0	19687.0	27505.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	2044	16258	3264.0	3264.0	3264.0	3.263	3.263	3.263	1369.0	GigabitEthernet0/0	19687.0	27505.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	1828	9256	2922.0	2922.0	2922.0	2.921	2.921	2.921	1423.0	GigabitEthernet0/0	19687.0	27505.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	2844	20619	4677.0	4677.0	4677.0	4.676	4.676	4.676	1339.0	GigabitEthernet0/0	19687.0	27505.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	unsat	2551	17349	3795.0	3795.0	3795.0	3.795	3.795	3.795	1263.0	GigabitEthernet0/0	19687.0	27505.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	2508	13657	3731.0	3731.0	3731.0	3.73	3.73	3.73	1261.0	GigabitEthernet0/0	19687.0	27505.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	2750	17452	4669.0	4669.0	4669.0	4.668	4.668	4.668	1195.0	GigabitEthernet0/0	19687.0	27505.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	unsat	2621	17229	4399.0	4399.0	4399.0	4.398	4.398	4.398	1306.0	GigabitEthernet0/0	19687.0	27505.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	unsat	2410	15840	3826.0	3826.0	3826.0	3.825	3.825	3.825	1233.0	GigabitEthernet0/0	19687.0	27505.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	unsat	2500	15212	3910.0	3910.0	3910.0	3.909	3.909	3.909	1377.0	GigabitEthernet0/0	19687.0	27505.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	3201	15989	4613.0	4613.0	4613.0	4.612	4.612	4.612	1391.0	GigabitEthernet0/0	19687.0	27505.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	2702	17558	4287.0	4287.0	4287.0	4.286	4.286	4.286	1212.0	GigabitEthernet0/0	19687.0	27505.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	2539	17308	4016.0	4016.0	4016.0	4.015	4.015	4.015	1211.0	GigabitEthernet0/0	19687.0	27505.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	2905	18667	4328.0	4328.0	4328.0	4.327	4.327	4.327	1282.0	GigabitEthernet0/0	19687.0	27505.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	unsat	2949	15997	4208.0	4208.0	4208.0	4.207	4.207	4.207	1399.0	GigabitEthernet0/0	19687.0	27505.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	2833	16372	4148.0	4148.0	4148.0	4.147	4.147	4.147	1273.0	GigabitEthernet0/0	19687.0	27505.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	3142	20475	5013.0	5013.0	5013.0	5.012	5.012	5.012	1314.0	GigabitEthernet0/0	19687.0	27505.0
