srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	18	280	1154.0	1154.0	1154.0	1.153	1.153	1.153	1390.0	GigabitEthernet0/0	19687.0	27505.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	8	179	1281.0	1281.0	1281.0	1.28	1.28	1.28	1333.0	GigabitEthernet0/0	19687.0	27505.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	11	215	1310.0	1310.0	1310.0	1.309	1.309	1.309	1385.0	GigabitEthernet0/0	19687.0	27505.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	16	281	1088.0	1088.0	1088.0	1.088	1.088	1.088	1342.0	GigabitEthernet0/0	19687.0	27505.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	21	251	1288.0	1288.0	1288.0	1.287	1.287	1.287	1330.0	GigabitEthernet0/0	19687.0	27505.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	9	244	1121.0	1121.0	1121.0	1.12	1.12	1.12	1540.0	GigabitEthernet0/0	19687.0	27505.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	10	213	1317.0	1317.0	1317.0	1.317	1.317	1.317	1281.0	GigabitEthernet0/0	19687.0	27505.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	4	150	1222.0	1222.0	1222.0	1.222	1.222	1.222	1345.0	GigabitEthernet0/0	19687.0	27505.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	10	236	1188.0	1188.0	1188.0	1.187	1.187	1.187	1267.0	GigabitEthernet0/0	19687.0	27505.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	10	205	1234.0	1234.0	1234.0	1.233	1.233	1.233	1430.0	GigabitEthernet0/0	19687.0	27505.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	12	207	1137.0	1137.0	1137.0	1.136	1.136	1.136	1437.0	GigabitEthernet0/0	19687.0	27505.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	14	232	1279.0	1279.0	1279.0	1.278	1.278	1.278	1286.0	GigabitEthernet0/0	19687.0	27505.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	6	159	1123.0	1123.0	1123.0	1.123	1.123	1.123	1496.0	GigabitEthernet0/0	19687.0	27505.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	8	189	1255.0	1255.0	1255.0	1.254	1.254	1.254	1463.0	GigabitEthernet0/0	19687.0	27505.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	10	350	1184.0	1184.0	1184.0	1.183	1.183	1.183	1408.0	GigabitEthernet0/0	19687.0	27505.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	275	3990	1724.0	1724.0	1724.0	1.724	1.724	1.724	1338.0	GigabitEthernet0/0	19687.0	27505.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	44	646	1358.0	1358.0	1358.0	1.358	1.358	1.358	1399.0	GigabitEthernet0/0	19687.0	27505.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	27	461	1184.0	1184.0	1184.0	1.184	1.184	1.184	1372.0	GigabitEthernet0/0	19687.0	27505.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	sat	14	219	1244.0	1244.0	1244.0	1.243	1.243	1.243	1279.0	GigabitEthernet0/0	19687.0	27505.0
stttpollen	evere	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	12	258	1226.0	1226.0	1226.0	1.225	1.225	1.225	1424.0	GigabitEthernet0/0	19687.0	27505.0
piacenza	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	9	225	1327.0	1327.0	1327.0	1.326	1.326	1.326	1261.0	GigabitEthernet0/0	19687.0	27505.0
leuven	manchester	IpWildcardIpSpace{ipWildcard=200.0.83.0/24}	sat	10	200	1225.0	1225.0	1225.0	1.225	1.225	1.225	1405.0	GigabitEthernet0/0	19687.0	27505.0
