srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	175	1249	1180.0	1180.0	1180.0	1.179	1.179	1.179	1356.0	GigabitEthernet0/0	19687.0	27174.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	175	14111	2354.0	2354.0	2354.0	2.353	2.353	2.353	1235.0	GigabitEthernet0/0	19687.0	27174.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	175	1058	1200.0	1200.0	1200.0	1.199	1.199	1.199	1300.0	GigabitEthernet0/0	19687.0	27174.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	175	13839	2081.0	2081.0	2081.0	2.079	2.079	2.079	1317.0	GigabitEthernet0/0	19687.0	27174.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	175	704	1264.0	1264.0	1264.0	1.263	1.263	1.263	1249.0	GigabitEthernet0/0	19687.0	27174.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	175	1053	1110.0	1110.0	1110.0	1.109	1.109	1.109	1237.0	GigabitEthernet0/0	19687.0	27174.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	175	615	1229.0	1229.0	1229.0	1.229	1.229	1.229	1222.0	GigabitEthernet0/0	19687.0	27174.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	175	1265	1266.0	1266.0	1266.0	1.265	1.265	1.265	1205.0	GigabitEthernet0/0	19687.0	27174.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	175	607	1216.0	1216.0	1216.0	1.215	1.215	1.215	1299.0	GigabitEthernet0/0	19687.0	27174.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	175	610	1196.0	1196.0	1196.0	1.196	1.196	1.196	1364.0	GigabitEthernet0/0	19687.0	27174.0
