srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	11038	58852	16225.0	16225.0	16225.0	16.224	16.224	16.224	1984.0	GigabitEthernet0/0	17377.0	31926.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	12149	63389	18529.0	18529.0	18529.0	18.528	18.528	18.528	1868.0	GigabitEthernet0/0	17377.0	31926.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	10530	61614	16129.0	16129.0	16129.0	16.128	16.128	16.128	1864.0	GigabitEthernet0/0	17377.0	31926.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	9323	48884	14870.0	14870.0	14870.0	14.87	14.87	14.87	2020.0	GigabitEthernet0/0	17377.0	31926.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	9966	56599	14521.0	14521.0	14521.0	14.52	14.52	14.52	2024.0	GigabitEthernet0/0	17377.0	31926.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	unsat	10937	65960	19151.0	19151.0	19151.0	19.15	19.15	19.15	1817.0	GigabitEthernet0/0	17377.0	31926.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	12711	66386	21622.0	21622.0	21622.0	21.621	21.621	21.621	2012.0	GigabitEthernet0/0	17377.0	31926.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	11823	65812	19007.0	19007.0	19007.0	19.006	19.006	19.006	1897.0	GigabitEthernet0/0	17377.0	31926.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	unsat	10201	60967	17181.0	17181.0	17181.0	17.18	17.18	17.18	1862.0	GigabitEthernet0/0	17377.0	31926.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	11227	54529	18237.0	18237.0	18237.0	18.236	18.236	18.236	1844.0	GigabitEthernet0/0	17377.0	31926.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	11107	64575	16891.0	16891.0	16891.0	16.89	16.89	16.89	1984.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	10869	57347	15129.0	15129.0	15129.0	15.128	15.128	15.128	1859.0	GigabitEthernet0/0	17377.0	31926.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	12028	66407	18585.0	18585.0	18585.0	18.584	18.584	18.584	1858.0	GigabitEthernet0/0	17377.0	31926.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	unsat	11247	62388	19065.0	19065.0	19065.0	19.064	19.064	19.064	1936.0	GigabitEthernet0/0	17377.0	31926.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	unsat	12347	61523	18765.0	18765.0	18765.0	18.764	18.764	18.764	1981.0	GigabitEthernet0/0	17377.0	31926.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	unsat	13004	67611	22083.0	22083.0	22083.0	22.082	22.082	22.082	1858.0	GigabitEthernet0/0	17377.0	31926.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	11181	63302	17542.0	17542.0	17542.0	17.541	17.541	17.541	1967.0	GigabitEthernet0/0	17377.0	31926.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	11081	63283	17273.0	17273.0	17273.0	17.272	17.272	17.272	1900.0	GigabitEthernet0/0	17377.0	31926.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	unsat	10601	58662	16869.0	16869.0	16869.0	16.869	16.869	16.869	2040.0	GigabitEthernet0/0	17377.0	31926.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	unsat	10018	58452	18415.0	18415.0	18415.0	18.414	18.414	18.414	1848.0	GigabitEthernet0/0	17377.0	31926.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	9484	54445	17598.0	17598.0	17598.0	17.597	17.597	17.597	1944.0	GigabitEthernet0/0	17377.0	31926.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	unsat	12014	64535	19488.0	19488.0	19488.0	19.487	19.487	19.487	1973.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	10680	66391	18537.0	18537.0	18537.0	18.536	18.536	18.536	1819.0	GigabitEthernet0/0	17377.0	31926.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	unsat	13611	72071	21584.0	21584.0	21584.0	21.583	21.583	21.583	1815.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	unsat	10645	61486	17768.0	17768.0	17768.0	17.766	17.766	17.766	1830.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	unsat	9105	49827	13648.0	13648.0	13648.0	13.647	13.647	13.647	1827.0	GigabitEthernet0/0	17377.0	31926.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	unsat	13241	63736	21111.0	21111.0	21111.0	21.111	21.111	21.111	1833.0	GigabitEthernet0/0	17377.0	31926.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	13524	67783	22643.0	22643.0	22643.0	22.642	22.642	22.642	1817.0	GigabitEthernet0/0	17377.0	31926.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	unsat	11625	72472	17218.0	17218.0	17218.0	17.217	17.217	17.217	1824.0	GigabitEthernet0/0	17377.0	31926.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	11637	62698	16050.0	16050.0	16050.0	16.049	16.049	16.049	1833.0	GigabitEthernet0/0	17377.0	31926.0
