srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	181	3246	2383.0	2383.0	2383.0	2.383	2.383	2.383	1912.0	GigabitEthernet0/0	17377.0	31926.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	81	1544	2075.0	2075.0	2075.0	2.074	2.074	2.074	1837.0	GigabitEthernet0/0	17377.0	31926.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	424	14385	3089.0	3089.0	3089.0	3.088	3.088	3.088	1822.0	GigabitEthernet0/0	17377.0	31926.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	935	10835	5595.0	5595.0	5595.0	5.594	5.594	5.594	1992.0	GigabitEthernet0/0	17377.0	31926.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	751	13653	3857.0	3857.0	3857.0	3.856	3.856	3.856	1986.0	GigabitEthernet0/0	17377.0	31926.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	780	14234	4057.0	4057.0	4057.0	4.056	4.056	4.056	1874.0	GigabitEthernet0/0	17377.0	31926.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	358	6911	3667.0	3667.0	3667.0	3.666	3.666	3.666	1994.0	GigabitEthernet0/0	17377.0	31926.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	36	871	1970.0	1970.0	1970.0	1.97	1.97	1.97	1860.0	GigabitEthernet0/0	17377.0	31926.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	449	14677	5978.0	5978.0	5978.0	5.977	5.977	5.977	1850.0	GigabitEthernet0/0	17377.0	31926.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	463	13791	4740.0	4740.0	4740.0	4.739	4.739	4.739	1954.0	GigabitEthernet0/0	17377.0	31926.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	455	12162	4326.0	4326.0	4326.0	4.326	4.326	4.326	1968.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	450	8444	3587.0	3587.0	3587.0	3.586	3.586	3.586	1849.0	GigabitEthernet0/0	17377.0	31926.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	80	3232	2520.0	2520.0	2520.0	2.519	2.519	2.519	1870.0	GigabitEthernet0/0	17377.0	31926.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	68	1319	2324.0	2324.0	2324.0	2.323	2.323	2.323	1817.0	GigabitEthernet0/0	17377.0	31926.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	57	1495	2266.0	2266.0	2266.0	2.266	2.266	2.266	1999.0	GigabitEthernet0/0	17377.0	31926.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	63	1737	2427.0	2427.0	2427.0	2.426	2.426	2.426	1831.0	GigabitEthernet0/0	17377.0	31926.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	95	2629	2587.0	2587.0	2587.0	2.586	2.586	2.586	1988.0	GigabitEthernet0/0	17377.0	31926.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	68	2465	2569.0	2569.0	2569.0	2.569	2.569	2.569	1852.0	GigabitEthernet0/0	17377.0	31926.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	435	5103	3013.0	3013.0	3013.0	3.012	3.012	3.012	1835.0	GigabitEthernet0/0	17377.0	31926.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	167	8174	3181.0	3181.0	3181.0	3.18	3.18	3.18	1986.0	GigabitEthernet0/0	17377.0	31926.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	122	4825	2491.0	2491.0	2491.0	2.49	2.49	2.49	1946.0	GigabitEthernet0/0	17377.0	31926.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	416	14000	4306.0	4306.0	4306.0	4.305	4.305	4.305	1937.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	7484	76384	24087.0	24087.0	24087.0	24.086	24.086	24.086	1831.0	GigabitEthernet0/0	17377.0	31926.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	70	1086	2068.0	2068.0	2068.0	2.067	2.067	2.067	1829.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	sat	918	13241	3939.0	3939.0	3939.0	3.938	3.938	3.938	1875.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	sat	90	1668	2225.0	2225.0	2225.0	2.224	2.224	2.224	1809.0	GigabitEthernet0/0	17377.0	31926.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	sat	77	2849	2476.0	2476.0	2476.0	2.475	2.475	2.475	1820.0	GigabitEthernet0/0	17377.0	31926.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	627	16189	4189.0	4189.0	4189.0	4.189	4.189	4.189	1819.0	GigabitEthernet0/0	17377.0	31926.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	sat	57	2160	2444.0	2444.0	2444.0	2.443	2.443	2.443	1813.0	GigabitEthernet0/0	17377.0	31926.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	548	18248	5256.0	5256.0	5256.0	5.255	5.255	5.255	1815.0	GigabitEthernet0/0	17377.0	31926.0
hamburg	pinettbluff	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	1299	16151	5424.0	5424.0	5424.0	5.424	5.424	5.424	1820.0	GigabitEthernet0/0	17377.0	31926.0
salzburg	nodeidh100	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	55	1479	2248.0	2248.0	2248.0	2.247	2.247	2.247	1785.0	GigabitEthernet0/0	17377.0	31926.0
chiasso	essen	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	96	2691	2549.0	2549.0	2549.0	2.547	2.547	2.547	1872.0	GigabitEthernet0/0	17377.0	31926.0
alexanderttcity	macon	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	72	2001	2418.0	2418.0	2418.0	2.418	2.418	2.418	1757.0	GigabitEthernet0/0	17377.0	31926.0
zurich	lille	IpWildcardIpSpace{ipWildcard=200.0.124.0/24}	sat	582	6925	3590.0	3590.0	3590.0	3.589	3.589	3.589	1766.0	GigabitEthernet0/0	17377.0	31926.0
nyon	nodeidh112	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	65	1429	2297.0	2297.0	2297.0	2.295	2.295	2.295	1793.0	GigabitEthernet0/0	17377.0	31926.0
fayatteville	kortnijk	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	95	2015	2433.0	2433.0	2433.0	2.432	2.432	2.432	1834.0	GigabitEthernet0/0	17377.0	31926.0
rimini	varese	IpWildcardIpSpace{ipWildcard=200.0.248.0/24}	sat	425	6507	3021.0	3021.0	3021.0	3.02	3.02	3.02	1807.0	GigabitEthernet0/0	17377.0	31926.0
varese	grenoble	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	968	10193	3876.0	3876.0	3876.0	3.874	3.874	3.874	1814.0	GigabitEthernet0/0	17377.0	31926.0
utrecht	bratislava	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	459	10810	4044.0	4044.0	4044.0	4.044	4.044	4.044	1776.0	GigabitEthernet0/0	17377.0	31926.0
