srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	339	47419	5225.0	5225.0	5225.0	5.225	5.225	5.225	1873.0	GigabitEthernet0/0	17377.0	31317.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	339	45814	5312.0	5312.0	5312.0	5.311	5.311	5.311	1787.0	GigabitEthernet0/0	17377.0	31317.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	339	46204	5579.0	5579.0	5579.0	5.578	5.578	5.578	1819.0	GigabitEthernet0/0	17377.0	31317.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	339	4911	2048.0	2048.0	2048.0	2.047	2.047	2.047	2017.0	GigabitEthernet0/0	17377.0	31317.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	339	5171	1996.0	1996.0	1996.0	1.995	1.995	1.995	1782.0	GigabitEthernet0/0	17377.0	31317.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	339	47341	5707.0	5707.0	5707.0	5.706	5.706	5.706	2142.0	GigabitEthernet0/0	17377.0	31317.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	339	2795	2077.0	2077.0	2077.0	2.076	2.076	2.076	1988.0	GigabitEthernet0/0	17377.0	31317.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	8070	288813	35113.0	35113.0	35113.0	35.112	35.112	35.112	1890.0	GigabitEthernet0/0	17377.0	31317.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	339	6304	2064.0	2064.0	2064.0	2.064	2.064	2.064	1766.0	GigabitEthernet0/0	17377.0	31317.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	339	9846	2061.0	2061.0	2061.0	2.061	2.061	2.061	1961.0	GigabitEthernet0/0	17377.0	31317.0
