srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	10700	58769	16235.0	16235.0	16235.0	16.234	16.234	16.234	1876.0	GigabitEthernet0/0	17377.0	31926.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	11877	70368	20200.0	20200.0	20200.0	20.199	20.199	20.199	1855.0	GigabitEthernet0/0	17377.0	31926.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	11652	65627	17061.0	17061.0	17061.0	17.06	17.06	17.06	1849.0	GigabitEthernet0/0	17377.0	31926.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	9644	57676	16105.0	16105.0	16105.0	16.104	16.104	16.104	2021.0	GigabitEthernet0/0	17377.0	31926.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	10779	56744	17598.0	17598.0	17598.0	17.598	17.598	17.598	1789.0	GigabitEthernet0/0	17377.0	31926.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	11513	64677	21682.0	21682.0	21682.0	21.681	21.681	21.681	1894.0	GigabitEthernet0/0	17377.0	31926.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	13504	81539	25814.0	25814.0	25814.0	25.813	25.813	25.813	1949.0	GigabitEthernet0/0	17377.0	31926.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	12258	69829	18967.0	18967.0	18967.0	18.966	18.966	18.966	1831.0	GigabitEthernet0/0	17377.0	31926.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	10823	67761	18791.0	18791.0	18791.0	18.79	18.79	18.79	1810.0	GigabitEthernet0/0	17377.0	31926.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	12867	71464	22253.0	22253.0	22253.0	22.253	22.253	22.253	1948.0	GigabitEthernet0/0	17377.0	31926.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	12340	66081	17362.0	17362.0	17362.0	17.361	17.361	17.361	1948.0	GigabitEthernet0/0	17377.0	31926.0
