srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	3018	8572	3387.0	3387.0	3387.0	3.386	3.386	3.386	1210.0	GigabitEthernet0/0	10820.0	15174.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	1584	6213	2278.0	2278.0	2278.0	2.277	2.277	2.277	1090.0	GigabitEthernet0/0	10820.0	15174.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1908	5553	2221.0	2221.0	2221.0	2.221	2.221	2.221	1100.0	GigabitEthernet0/0	10820.0	15174.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	2539	7808	2200.0	2200.0	2200.0	2.199	2.199	2.199	1186.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	2436	4781	2381.0	2381.0	2381.0	2.379	2.379	2.379	1179.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	1812	6122	2048.0	2048.0	2048.0	2.047	2.047	2.047	1030.0	GigabitEthernet0/0	10820.0	15174.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	1564	4985	1942.0	1942.0	1942.0	1.941	1.941	1.941	1017.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	1594	6143	1730.0	1730.0	1730.0	1.729	1.729	1.729	1034.0	GigabitEthernet0/0	10820.0	15174.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	106.0	106.0	106.0	0.105	0.105	0.105	1026.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	1558	4223	1537.0	1537.0	1537.0	1.535	1.535	1.535	1039.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	2174	6272	2382.0	2382.0	2382.0	2.38	2.38	2.38	1177.0	GigabitEthernet0/0	10820.0	15174.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	2673	6758	2137.0	2137.0	2137.0	2.137	2.137	2.137	1025.0	GigabitEthernet0/0	10820.0	15174.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	2282	5068	2359.0	2359.0	2359.0	2.358	2.358	2.358	1059.0	GigabitEthernet0/0	10820.0	15174.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1854	5505	2241.0	2241.0	2241.0	2.24	2.24	2.24	998.0	GigabitEthernet0/0	10820.0	15174.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	3018	7422	2472.0	2472.0	2472.0	2.472	2.472	2.472	1011.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	2092	5828	2015.0	2015.0	2015.0	2.014	2.014	2.014	1033.0	GigabitEthernet0/0	10820.0	15174.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	2348	6126	2408.0	2408.0	2408.0	2.407	2.407	2.407	1024.0	GigabitEthernet0/0	10820.0	15174.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	2536	6559	2666.0	2666.0	2666.0	2.666	2.666	2.666	992.0	GigabitEthernet0/0	10820.0	15174.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	2336	7533	2399.0	2399.0	2399.0	2.398	2.398	2.398	962.0	GigabitEthernet0/0	10820.0	15174.0
