srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	348595	1063222	372149.0	372149.0	372149.0	372.149	372.149	372.149	1198.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	358787	1085799	347068.0	347068.0	347068.0	347.067	347.067	347.067	1046.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	426422	1442860	434469.0	434469.0	434469.0	434.468	434.468	434.468	1028.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1414637	5620936	1171800.0	1171800.0	1171800.0	1171.8	1171.8	1171.8	1121.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	1449907	3230555	1261052.0	1261052.0	1261052.0	1261.051	1261.051	1261.051	1184.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	817422	2284357	754947.0	754947.0	754947.0	754.946	754.946	754.946	1002.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	511220	1612106	463999.0	463999.0	463999.0	463.998	463.998	463.998	1003.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	351289	1199854	319121.0	319121.0	319121.0	319.12	319.12	319.12	1012.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	114.0	114.0	114.0	0.113	0.113	0.113	991.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	408994	1228569	341906.0	341906.0	341906.0	341.905	341.905	341.905	1018.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	413397	1560777	393812.0	393812.0	393812.0	393.811	393.811	393.811	1126.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	992028	2634680	832632.0	832632.0	832632.0	832.631	832.631	832.631	1054.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	904783	2321672	803342.0	803342.0	803342.0	803.341	803.341	803.341	1003.0	GigabitEthernet0/0	11200.0	15466.0
