srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	124394	164497	175677.0	175677.0	175677.0	175.676	175.676	175.676	1182.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	135303	176339	178360.0	178360.0	178360.0	178.36	178.36	178.36	1150.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	100073	137934	132753.0	132753.0	132753.0	132.752	132.752	132.752	1062.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	213785	274613	262341.0	262341.0	262341.0	262.341	262.341	262.341	1134.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	236282	298549	299147.0	299147.0	299147.0	299.147	299.147	299.147	1083.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	118577	154530	157629.0	157629.0	157629.0	157.628	157.628	157.628	1107.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	93076	123757	132022.0	132022.0	132022.0	132.022	132.022	132.022	1080.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	69846	96614	83336.0	83336.0	83336.0	83.335	83.335	83.335	1074.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	113.0	113.0	113.0	0.113	0.113	0.113	998.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	48818	71590	45995.0	45995.0	45995.0	45.995	45.995	45.995	1066.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	106602	149309	141116.0	141116.0	141116.0	141.115	141.115	141.115	1083.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	171393	219352	223497.0	223497.0	223497.0	223.495	223.495	223.495	1086.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	79767	108249	99749.0	99749.0	99749.0	99.747	99.747	99.747	1077.0	GigabitEthernet0/0	11200.0	15466.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	117019	156003	155373.0	155373.0	155373.0	155.372	155.372	155.372	1066.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	118608	150270	147160.0	147160.0	147160.0	147.159	147.159	147.159	1048.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	198247	255336	267296.0	267296.0	267296.0	267.295	267.295	267.295	1047.0	GigabitEthernet0/0	11200.0	15466.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	134642	181638	176419.0	176419.0	176419.0	176.418	176.418	176.418	1059.0	GigabitEthernet0/0	11200.0	15466.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	300964	389514	381383.0	381383.0	381383.0	381.382	381.382	381.382	1073.0	GigabitEthernet0/0	11200.0	15466.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	158184	203429	231393.0	231393.0	231393.0	231.392	231.392	231.392	1064.0	GigabitEthernet0/0	11200.0	15466.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	134224	183586	166497.0	166497.0	166497.0	166.496	166.496	166.496	1047.0	GigabitEthernet0/0	11200.0	15466.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	123651	159009	150067.0	150067.0	150067.0	150.066	150.066	150.066	1029.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	117184	153742	128740.0	128740.0	128740.0	128.739	128.739	128.739	1024.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	115264	149706	146320.0	146320.0	146320.0	146.32	146.32	146.32	1063.0	GigabitEthernet0/0	11200.0	15466.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	unsat	200692	261196	264566.0	264566.0	264566.0	264.564	264.564	264.564	1062.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	97461	129812	142606.0	142606.0	142606.0	142.606	142.606	142.606	1062.0	GigabitEthernet0/0	11200.0	15466.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	84065	113664	115120.0	115120.0	115120.0	115.119	115.119	115.119	1127.0	GigabitEthernet0/0	11200.0	15466.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	159938	205471	218590.0	218590.0	218590.0	218.59	218.59	218.59	1057.0	GigabitEthernet0/0	11200.0	15466.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	unsat	237475	304260	320069.0	320069.0	320069.0	320.068	320.068	320.068	1025.0	GigabitEthernet0/0	11200.0	15466.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	unsat	79428	111689	88842.0	88842.0	88842.0	88.842	88.842	88.842	1075.0	GigabitEthernet0/0	11200.0	15466.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	unsat	263789	333352	378674.0	378674.0	378674.0	378.673	378.673	378.673	1070.0	GigabitEthernet0/0	11200.0	15466.0
nodeid41	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	188494	250470	218659.0	218659.0	218659.0	218.658	218.658	218.658	1047.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	belize	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	unsat	89644	122132	101346.0	101346.0	101346.0	101.345	101.345	101.345	1052.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	111734	153476	144767.0	144767.0	144767.0	144.766	144.766	144.766	1082.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	dominica	IpWildcardIpSpace{ipWildcard=200.2.87.0/24}	unsat	227280	283389	342584.0	342584.0	342584.0	342.583	342.583	342.583	1037.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	nodeid15	IpWildcardIpSpace{ipWildcard=200.2.49.0/24}	unsat	135435	179682	187104.0	187104.0	187104.0	187.103	187.103	187.103	1047.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	nodeid37	IpWildcardIpSpace{ipWildcard=200.2.68.0/24}	unsat	150389	193296	199586.0	199586.0	199586.0	199.586	199.586	199.586	1025.0	GigabitEthernet0/0	11200.0	15466.0
nodeid45	stttcroix	IpWildcardIpSpace{ipWildcard=200.2.84.0/24}	unsat	247570	327945	429668.0	429668.0	429668.0	429.667	429.667	429.667	1065.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	bonaire	IpWildcardIpSpace{ipWildcard=200.2.95.0/24}	unsat	218210	270965	450250.0	450250.0	450250.0	450.249	450.249	450.249	1220.0	GigabitEthernet0/0	11200.0	15466.0
suriname	peerstttcroix13	IpWildcardIpSpace{ipWildcard=200.2.102.0/24}	unsat	172512	222847	255595.0	255595.0	255595.0	255.595	255.595	255.595	1091.0	GigabitEthernet0/0	11200.0	15466.0
nodeid50	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	99140	130603	137157.0	137157.0	137157.0	137.156	137.156	137.156	1042.0	GigabitEthernet0/0	11200.0	15466.0
nodeid62	jamaica	IpWildcardIpSpace{ipWildcard=200.2.29.0/24}	unsat	150333	198988	227443.0	227443.0	227443.0	227.442	227.442	227.442	1105.0	GigabitEthernet0/0	11200.0	15466.0
costattrica	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	unsat	106551	141845	133186.0	133186.0	133186.0	133.185	133.185	133.185	1067.0	GigabitEthernet0/0	11200.0	15466.0
belize	nodeid46	IpWildcardIpSpace{ipWildcard=200.2.99.0/24}	unsat	160907	203975	272862.0	272862.0	272862.0	272.862	272.862	272.862	1083.0	GigabitEthernet0/0	11200.0	15466.0
