srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	19	239	530.0	530.0	530.0	0.53	0.53	0.53	1096.0	GigabitEthernet0/0	10820.0	15174.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	1076	5792	1858.0	1858.0	1858.0	1.857	1.857	1.857	1049.0	GigabitEthernet0/0	10820.0	15174.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	98	540.0	540.0	540.0	0.539	0.539	0.539	1143.0	GigabitEthernet0/0	10820.0	15174.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	1274	5955	1739.0	1739.0	1739.0	1.738	1.738	1.738	1037.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	9	121	501.0	501.0	501.0	0.5	0.5	0.5	1057.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	554	3177	1064.0	1064.0	1064.0	1.063	1.063	1.063	1072.0	GigabitEthernet0/0	10820.0	15174.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	4	93	538.0	538.0	538.0	0.538	0.538	0.538	1046.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	15	214	511.0	511.0	511.0	0.51	0.51	0.51	1014.0	GigabitEthernet0/0	10820.0	15174.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	10	119	557.0	557.0	557.0	0.556	0.556	0.556	1009.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	13	158	594.0	594.0	594.0	0.593	0.593	0.593	1130.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	96	586.0	586.0	586.0	0.586	0.586	0.586	1092.0	GigabitEthernet0/0	10820.0	15174.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1328	5133	1591.0	1591.0	1591.0	1.591	1.591	1.591	1123.0	GigabitEthernet0/0	10820.0	15174.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	1049	2832	1227.0	1227.0	1227.0	1.226	1.226	1.226	1056.0	GigabitEthernet0/0	10820.0	15174.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	8	214	538.0	538.0	538.0	0.537	0.537	0.537	1030.0	GigabitEthernet0/0	10820.0	15174.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	17	198	510.0	510.0	510.0	0.51	0.51	0.51	1041.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	1537	6341	2209.0	2209.0	2209.0	2.208	2.208	2.208	1059.0	GigabitEthernet0/0	10820.0	15174.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	10	145	562.0	562.0	562.0	0.562	0.562	0.562	1031.0	GigabitEthernet0/0	10820.0	15174.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	14	135	509.0	509.0	509.0	0.508	0.508	0.508	1025.0	GigabitEthernet0/0	10820.0	15174.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	8	116	558.0	558.0	558.0	0.557	0.557	0.557	1054.0	GigabitEthernet0/0	10820.0	15174.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	96	494.0	494.0	494.0	0.493	0.493	0.493	998.0	GigabitEthernet0/0	10820.0	15174.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	sat	30	331	550.0	550.0	550.0	0.549	0.549	0.549	1000.0	GigabitEthernet0/0	10820.0	15174.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	sat	10	135	549.0	549.0	549.0	0.548	0.548	0.548	1016.0	GigabitEthernet0/0	10820.0	15174.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	sat	1789	7852	2432.0	2432.0	2432.0	2.432	2.432	2.432	1012.0	GigabitEthernet0/0	10820.0	15174.0
