srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	0	105	521.0	521.0	521.0	0.52	0.52	0.52	1074.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	0	105	529.0	529.0	529.0	0.527	0.527	0.527	1247.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	529.0	529.0	529.0	0.528	0.528	0.528	1080.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	0	105	504.0	504.0	504.0	0.504	0.504	0.504	1034.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	0	105	494.0	494.0	494.0	0.494	0.494	0.494	1033.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	0	105	533.0	533.0	533.0	0.532	0.532	0.532	1035.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	0	12	505.0	505.0	505.0	0.505	0.505	0.505	1044.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	0	105	501.0	501.0	501.0	0.5	0.5	0.5	991.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	0	104	568.0	568.0	568.0	0.567	0.567	0.567	1044.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	718	4431	1355.0	1355.0	1355.0	1.354	1.354	1.354	998.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	493.0	493.0	493.0	0.492	0.492	0.492	1052.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	0	105	510.0	510.0	510.0	0.508	0.508	0.508	1021.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	0	12	539.0	539.0	539.0	0.539	0.539	0.539	1028.0	GigabitEthernet0/0	11200.0	15466.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	531.0	531.0	531.0	0.531	0.531	0.531	1010.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	0	105	501.0	501.0	501.0	0.5	0.5	0.5	1023.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	0	105	540.0	540.0	540.0	0.539	0.539	0.539	979.0	GigabitEthernet0/0	11200.0	15466.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	28	291	544.0	544.0	544.0	0.543	0.543	0.543	995.0	GigabitEthernet0/0	11200.0	15466.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	0	105	501.0	501.0	501.0	0.5	0.5	0.5	985.0	GigabitEthernet0/0	11200.0	15466.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	0	10	554.0	554.0	554.0	0.553	0.553	0.553	1045.0	GigabitEthernet0/0	11200.0	15466.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	0	105	511.0	511.0	511.0	0.511	0.511	0.511	971.0	GigabitEthernet0/0	11200.0	15466.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	sat	0	105	505.0	505.0	505.0	0.505	0.505	0.505	985.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	sat	0	105	538.0	538.0	538.0	0.537	0.537	0.537	1011.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	sat	0	106	569.0	569.0	569.0	0.569	0.569	0.569	1007.0	GigabitEthernet0/0	11200.0	15466.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	sat	0	105	587.0	587.0	587.0	0.587	0.587	0.587	1003.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	0	11	540.0	540.0	540.0	0.539	0.539	0.539	1022.0	GigabitEthernet0/0	11200.0	15466.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	0	12	519.0	519.0	519.0	0.519	0.519	0.519	1007.0	GigabitEthernet0/0	11200.0	15466.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	0	105	516.0	516.0	516.0	0.515	0.515	0.515	1002.0	GigabitEthernet0/0	11200.0	15466.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	sat	0	8	552.0	552.0	552.0	0.551	0.551	0.551	1005.0	GigabitEthernet0/0	11200.0	15466.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	0	105	501.0	501.0	501.0	0.5	0.5	0.5	1095.0	GigabitEthernet0/0	11200.0	15466.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	sat	0	8	526.0	526.0	526.0	0.525	0.525	0.525	1006.0	GigabitEthernet0/0	11200.0	15466.0
nodeid41	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	0	105	513.0	513.0	513.0	0.512	0.512	0.512	993.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	belize	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	sat	0	105	509.0	509.0	509.0	0.508	0.508	0.508	973.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	0	11	578.0	578.0	578.0	0.578	0.578	0.578	974.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	dominica	IpWildcardIpSpace{ipWildcard=200.2.87.0/24}	sat	0	9	528.0	528.0	528.0	0.527	0.527	0.527	1024.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	nodeid15	IpWildcardIpSpace{ipWildcard=200.2.49.0/24}	sat	0	105	530.0	530.0	530.0	0.529	0.529	0.529	988.0	GigabitEthernet0/0	11200.0	15466.0
