srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	3017	10272	2298.0	2298.0	2298.0	2.297	2.297	2.297	1063.0	GigabitEthernet0/0	10820.0	15174.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	2596	10548	2171.0	2171.0	2171.0	2.171	2.171	2.171	1050.0	GigabitEthernet0/0	10820.0	15174.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2507	9485	2409.0	2409.0	2409.0	2.409	2.409	2.409	1092.0	GigabitEthernet0/0	10820.0	15174.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	2168	9316	1964.0	1964.0	1964.0	1.963	1.963	1.963	1021.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	1783	7888	1594.0	1594.0	1594.0	1.593	1.593	1.593	1022.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	2309	8572	2318.0	2318.0	2318.0	2.318	2.318	2.318	1055.0	GigabitEthernet0/0	10820.0	15174.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	2750	11802	2900.0	2900.0	2900.0	2.899	2.899	2.899	1031.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	1851	7856	1566.0	1566.0	1566.0	1.565	1.565	1.565	989.0	GigabitEthernet0/0	10820.0	15174.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	2655	10311	2337.0	2337.0	2337.0	2.336	2.336	2.336	1020.0	GigabitEthernet0/0	10820.0	15174.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	1675	8745	1643.0	1643.0	1643.0	1.642	1.642	1.642	989.0	GigabitEthernet0/0	10820.0	15174.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2413	10461	2097.0	2097.0	2097.0	2.096	2.096	2.096	1054.0	GigabitEthernet0/0	10820.0	15174.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1703	6122	1681.0	1681.0	1681.0	1.681	1.681	1.681	1028.0	GigabitEthernet0/0	10820.0	15174.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	2245	8613	1961.0	1961.0	1961.0	1.96	1.96	1.96	1006.0	GigabitEthernet0/0	10820.0	15174.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2699	10950	2207.0	2207.0	2207.0	2.207	2.207	2.207	984.0	GigabitEthernet0/0	10820.0	15174.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	2831	10463	2188.0	2188.0	2188.0	2.187	2.187	2.187	994.0	GigabitEthernet0/0	10820.0	15174.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	1694	7675	1629.0	1629.0	1629.0	1.629	1.629	1.629	1014.0	GigabitEthernet0/0	10820.0	15174.0
