srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	342	1842	462.0	462.0	462.0	0.46	0.46	0.46	803.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	473	2499	531.0	531.0	531.0	0.53	0.53	0.53	635.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	0	0	44.0	44.0	44.0	0.043	0.043	0.043	633.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	592	2750	561.0	561.0	561.0	0.559	0.559	0.559	621.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	467	2195	520.0	520.0	520.0	0.519	0.519	0.519	661.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	418	2179	527.0	527.0	527.0	0.526	0.526	0.526	628.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	615	2786	595.0	595.0	595.0	0.595	0.595	0.595	620.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	602	2201	488.0	488.0	488.0	0.487	0.487	0.487	644.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	436	2412	559.0	559.0	559.0	0.558	0.558	0.558	612.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	462	2300	492.0	492.0	492.0	0.491	0.491	0.491	618.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	505	2371	510.0	510.0	510.0	0.509	0.509	0.509	630.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	718	3135	610.0	610.0	610.0	0.609	0.609	0.609	626.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	746	3546	631.0	631.0	631.0	0.63	0.63	0.63	616.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	428	2329	518.0	518.0	518.0	0.518	0.518	0.518	605.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	581	2672	515.0	515.0	515.0	0.514	0.514	0.514	601.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	500	2003	486.0	486.0	486.0	0.486	0.486	0.486	608.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	590	2997	491.0	491.0	491.0	0.489	0.489	0.489	600.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	507	2331	596.0	596.0	596.0	0.595	0.595	0.595	596.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	496	2477	498.0	498.0	498.0	0.497	0.497	0.497	607.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	533	2310	616.0	616.0	616.0	0.615	0.615	0.615	598.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	unsat	524	2505	508.0	508.0	508.0	0.507	0.507	0.507	626.0	GigabitEthernet0/0	4969.0	8490.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	456	2148	560.0	560.0	560.0	0.56	0.56	0.56	605.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	352	2391	451.0	451.0	451.0	0.45	0.45	0.45	595.0	GigabitEthernet0/0	4969.0	8490.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	549	2783	609.0	609.0	609.0	0.609	0.609	0.609	621.0	GigabitEthernet0/0	4969.0	8490.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	480	2223	529.0	529.0	529.0	0.529	0.529	0.529	600.0	GigabitEthernet0/0	4969.0	8490.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	417	2218	530.0	530.0	530.0	0.529	0.529	0.529	601.0	GigabitEthernet0/0	4969.0	8490.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	457	2411	500.0	500.0	500.0	0.499	0.499	0.499	603.0	GigabitEthernet0/0	4969.0	8490.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	unsat	528	2776	529.0	529.0	529.0	0.528	0.528	0.528	596.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	450	2342	501.0	501.0	501.0	0.501	0.501	0.501	601.0	GigabitEthernet0/0	4969.0	8490.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	0	0	43.0	43.0	43.0	0.042	0.042	0.042	607.0	GigabitEthernet0/0	4969.0	8490.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	544	2468	505.0	505.0	505.0	0.505	0.505	0.505	597.0	GigabitEthernet0/0	4969.0	8490.0
