srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	769	4067	638.0	638.0	638.0	0.637	0.637	0.637	664.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	886	4380	659.0	659.0	659.0	0.659	0.659	0.659	635.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	0	0	45.0	45.0	45.0	0.045	0.045	0.045	616.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	680	2946	555.0	555.0	555.0	0.555	0.555	0.555	619.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	800	3473	664.0	664.0	664.0	0.663	0.663	0.663	663.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	732	3375	638.0	638.0	638.0	0.638	0.638	0.638	640.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	716	3366	588.0	588.0	588.0	0.588	0.588	0.588	633.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	726	4280	649.0	649.0	649.0	0.648	0.648	0.648	647.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	939	5352	780.0	780.0	780.0	0.78	0.78	0.78	627.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	880	3986	644.0	644.0	644.0	0.644	0.644	0.644	606.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	738	4056	576.0	576.0	576.0	0.575	0.575	0.575	621.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	857	4071	645.0	645.0	645.0	0.644	0.644	0.644	636.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	601	3082	500.0	500.0	500.0	0.5	0.5	0.5	610.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	872	4044	682.0	682.0	682.0	0.681	0.681	0.681	600.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	1001	4517	757.0	757.0	757.0	0.757	0.757	0.757	611.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	741	4277	653.0	653.0	653.0	0.652	0.652	0.652	603.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	1159	4904	625.0	625.0	625.0	0.624	0.624	0.624	595.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	612	3533	561.0	561.0	561.0	0.561	0.561	0.561	597.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	586	3658	465.0	465.0	465.0	0.465	0.465	0.465	604.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	832	4688	710.0	710.0	710.0	0.709	0.709	0.709	604.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	unsat	1031	4950	729.0	729.0	729.0	0.728	0.728	0.728	604.0	GigabitEthernet0/0	4969.0	8490.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	934	5369	743.0	743.0	743.0	0.742	0.742	0.742	614.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	944	4416	716.0	716.0	716.0	0.715	0.715	0.715	596.0	GigabitEthernet0/0	4969.0	8490.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	781	4393	649.0	649.0	649.0	0.648	0.648	0.648	659.0	GigabitEthernet0/0	4969.0	8490.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	648	4566	585.0	585.0	585.0	0.584	0.584	0.584	605.0	GigabitEthernet0/0	4969.0	8490.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	656	3146	559.0	559.0	559.0	0.558	0.558	0.558	595.0	GigabitEthernet0/0	4969.0	8490.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	882	4214	643.0	643.0	643.0	0.642	0.642	0.642	605.0	GigabitEthernet0/0	4969.0	8490.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	unsat	831	3534	613.0	613.0	613.0	0.612	0.612	0.612	599.0	GigabitEthernet0/0	4969.0	8490.0
