srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	4	57	255.0	255.0	255.0	0.255	0.255	0.255	645.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	2	43	255.0	255.0	255.0	0.254	0.254	0.254	638.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	17	309	280.0	280.0	280.0	0.279	0.279	0.279	650.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	5	65	252.0	252.0	252.0	0.251	0.251	0.251	628.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	6	67	263.0	263.0	263.0	0.263	0.263	0.263	635.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	4	61	266.0	266.0	266.0	0.266	0.266	0.266	634.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	20	272	289.0	289.0	289.0	0.288	0.288	0.288	633.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	18	257	284.0	284.0	284.0	0.284	0.284	0.284	645.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	9	97	265.0	265.0	265.0	0.264	0.264	0.264	625.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	7	57	259.0	259.0	259.0	0.258	0.258	0.258	631.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	4	53	250.0	250.0	250.0	0.25	0.25	0.25	616.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	5	65	256.0	256.0	256.0	0.256	0.256	0.256	625.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	7	66	260.0	260.0	260.0	0.26	0.26	0.26	624.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	4	61	258.0	258.0	258.0	0.258	0.258	0.258	606.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	2	36	253.0	253.0	253.0	0.253	0.253	0.253	605.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	9	96	257.0	257.0	257.0	0.256	0.256	0.256	605.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	9	226.0	226.0	226.0	0.225	0.225	0.225	593.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	2	57	256.0	256.0	256.0	0.256	0.256	0.256	606.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	4	51	256.0	256.0	256.0	0.255	0.255	0.255	598.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	5	70	258.0	258.0	258.0	0.258	0.258	0.258	606.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	2	36	251.0	251.0	251.0	0.25	0.25	0.25	599.0	GigabitEthernet0/0	4969.0	8490.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	2	57	256.0	256.0	256.0	0.255	0.255	0.255	615.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	2	49	251.0	251.0	251.0	0.25	0.25	0.25	592.0	GigabitEthernet0/0	4969.0	8490.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	9	96	254.0	254.0	254.0	0.254	0.254	0.254	600.0	GigabitEthernet0/0	4969.0	8490.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	3	69	254.0	254.0	254.0	0.253	0.253	0.253	605.0	GigabitEthernet0/0	4969.0	8490.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	4	45	267.0	267.0	267.0	0.266	0.266	0.266	619.0	GigabitEthernet0/0	4969.0	8490.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	7	57	256.0	256.0	256.0	0.255	0.255	0.255	597.0	GigabitEthernet0/0	4969.0	8490.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	7	72	258.0	258.0	258.0	0.257	0.257	0.257	599.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	5	49	255.0	255.0	255.0	0.255	0.255	0.255	603.0	GigabitEthernet0/0	4969.0	8490.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	4	56	263.0	263.0	263.0	0.262	0.262	0.262	596.0	GigabitEthernet0/0	4969.0	8490.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	21	273	277.0	277.0	277.0	0.276	0.276	0.276	597.0	GigabitEthernet0/0	4969.0	8490.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	47	470	301.0	301.0	301.0	0.301	0.301	0.301	601.0	GigabitEthernet0/0	4969.0	8490.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	5	74	254.0	254.0	254.0	0.253	0.253	0.253	601.0	GigabitEthernet0/0	4969.0	8490.0
chic	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	10	231.0	231.0	231.0	0.231	0.231	0.231	601.0	GigabitEthernet0/0	4969.0	8490.0
peernrel0	sdsc	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	2	58	251.0	251.0	251.0	0.25	0.25	0.25	597.0	GigabitEthernet0/0	4969.0	8490.0
nash	pppl	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	sat	11	183	276.0	276.0	276.0	0.275	0.275	0.275	606.0	GigabitEthernet0/0	4969.0	8490.0
geant	snla	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	9	112	260.0	260.0	260.0	0.26	0.26	0.26	608.0	GigabitEthernet0/0	4969.0	8490.0
nodeid38	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	17	301	277.0	277.0	277.0	0.277	0.277	0.277	609.0	GigabitEthernet0/0	4969.0	8490.0
chic	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	1	35	255.0	255.0	255.0	0.255	0.255	0.255	610.0	GigabitEthernet0/0	4969.0	8490.0
orau	nodeid25	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	4	53	249.0	249.0	249.0	0.249	0.249	0.249	605.0	GigabitEthernet0/0	4969.0	8490.0
albu	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	12	95	259.0	259.0	259.0	0.258	0.258	0.258	608.0	GigabitEthernet0/0	4969.0	8490.0
arm	bechteldashnv	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	4	55	255.0	255.0	255.0	0.255	0.255	0.255	604.0	GigabitEthernet0/0	4969.0	8490.0
orau	inl	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	4	56	253.0	253.0	253.0	0.252	0.252	0.252	597.0	GigabitEthernet0/0	4969.0	8490.0
