srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	726	3368	604.0	604.0	604.0	0.604	0.604	0.604	688.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	988	4030	713.0	713.0	713.0	0.712	0.712	0.712	620.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	799	4125	656.0	656.0	656.0	0.655	0.655	0.655	626.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	746	4080	595.0	595.0	595.0	0.594	0.594	0.594	613.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1014	4733	816.0	816.0	816.0	0.816	0.816	0.816	648.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	683	3827	623.0	623.0	623.0	0.622	0.622	0.622	641.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	723	3849	623.0	623.0	623.0	0.622	0.622	0.622	629.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	818	4254	660.0	660.0	660.0	0.66	0.66	0.66	649.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	852	4369	709.0	709.0	709.0	0.708	0.708	0.708	692.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	1044	4796	793.0	793.0	793.0	0.793	0.793	0.793	621.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	774	4345	635.0	635.0	635.0	0.634	0.634	0.634	599.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	729	4285	566.0	566.0	566.0	0.566	0.566	0.566	623.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	766	4242	643.0	643.0	643.0	0.642	0.642	0.642	619.0	GigabitEthernet0/0	4969.0	8490.0
