srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	699	5752	577.0	577.0	577.0	0.576	0.576	0.576	617.0	GigabitEthernet0/0	4969.0	8341.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	56	792	263.0	263.0	263.0	0.262	0.262	0.262	624.0	GigabitEthernet0/0	4969.0	8341.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	340	5859	413.0	413.0	413.0	0.412	0.412	0.412	625.0	GigabitEthernet0/0	4969.0	8341.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	892	6194	734.0	734.0	734.0	0.733	0.733	0.733	636.0	GigabitEthernet0/0	4969.0	8341.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	490	3710	523.0	523.0	523.0	0.522	0.522	0.522	629.0	GigabitEthernet0/0	4969.0	8341.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	827	5118	598.0	598.0	598.0	0.598	0.598	0.598	726.0	GigabitEthernet0/0	4969.0	8341.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	536	5078	511.0	511.0	511.0	0.51	0.51	0.51	640.0	GigabitEthernet0/0	4969.0	8341.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	940	6874	641.0	641.0	641.0	0.64	0.64	0.64	632.0	GigabitEthernet0/0	4969.0	8341.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	532	4652	468.0	468.0	468.0	0.467	0.467	0.467	613.0	GigabitEthernet0/0	4969.0	8341.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	510	4962	524.0	524.0	524.0	0.523	0.523	0.523	615.0	GigabitEthernet0/0	4969.0	8341.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	254	4914	379.0	379.0	379.0	0.378	0.378	0.378	621.0	GigabitEthernet0/0	4969.0	8341.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1160	6207	812.0	812.0	812.0	0.811	0.811	0.811	622.0	GigabitEthernet0/0	4969.0	8341.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	1044	8364	811.0	811.0	811.0	0.811	0.811	0.811	614.0	GigabitEthernet0/0	4969.0	8341.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	721	5466	657.0	657.0	657.0	0.657	0.657	0.657	598.0	GigabitEthernet0/0	4969.0	8341.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	516	5051	517.0	517.0	517.0	0.516	0.516	0.516	606.0	GigabitEthernet0/0	4969.0	8341.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	1130	7389	886.0	886.0	886.0	0.885	0.885	0.885	609.0	GigabitEthernet0/0	4969.0	8341.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	354	4601	393.0	393.0	393.0	0.392	0.392	0.392	594.0	GigabitEthernet0/0	4969.0	8341.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	41	250	249.0	249.0	249.0	0.248	0.248	0.248	598.0	GigabitEthernet0/0	4969.0	8341.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1110	6919	826.0	826.0	826.0	0.825	0.825	0.825	603.0	GigabitEthernet0/0	4969.0	8341.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	355	5995	386.0	386.0	386.0	0.385	0.385	0.385	607.0	GigabitEthernet0/0	4969.0	8341.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	1009	5781	732.0	732.0	732.0	0.731	0.731	0.731	605.0	GigabitEthernet0/0	4969.0	8341.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	52	460	256.0	256.0	256.0	0.255	0.255	0.255	598.0	GigabitEthernet0/0	4969.0	8341.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	781	5594	691.0	691.0	691.0	0.69	0.69	0.69	594.0	GigabitEthernet0/0	4969.0	8341.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	514	5029	496.0	496.0	496.0	0.495	0.495	0.495	601.0	GigabitEthernet0/0	4969.0	8341.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	929	5800	709.0	709.0	709.0	0.709	0.709	0.709	604.0	GigabitEthernet0/0	4969.0	8341.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	523	6081	506.0	506.0	506.0	0.505	0.505	0.505	609.0	GigabitEthernet0/0	4969.0	8341.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	1456	7266	1000.0	1000.0	1000.0	0.999	0.999	0.999	594.0	GigabitEthernet0/0	4969.0	8341.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	1290	7439	912.0	912.0	912.0	0.911	0.911	0.911	599.0	GigabitEthernet0/0	4969.0	8341.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	285	5463	382.0	382.0	382.0	0.381	0.381	0.381	606.0	GigabitEthernet0/0	4969.0	8341.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1423	5846	974.0	974.0	974.0	0.973	0.973	0.973	597.0	GigabitEthernet0/0	4969.0	8341.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	847	6660	676.0	676.0	676.0	0.675	0.675	0.675	602.0	GigabitEthernet0/0	4969.0	8341.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	510	4356	514.0	514.0	514.0	0.513	0.513	0.513	603.0	GigabitEthernet0/0	4969.0	8341.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1012	6820	788.0	788.0	788.0	0.786	0.786	0.786	606.0	GigabitEthernet0/0	4969.0	8341.0
