srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	timeout	504792	787951	3600383.0	3600383.0	3600383.0	3600.382	3600.382	3600.382	7884.0	GigabitEthernet0/0	120083.0	159060.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	sat	417780	1000911	2714161.0	2714161.0	2714161.0	2714.16	2714.16	2714.16	6868.0	GigabitEthernet0/0	120083.0	159060.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	timeout	316447	705832	3600416.0	3600416.0	3600416.0	3600.415	3600.415	3600.415	7150.0	GigabitEthernet0/0	120083.0	159060.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	267743	794388	2021661.0	2021661.0	2021661.0	2021.66	2021.66	2021.66	6908.0	GigabitEthernet0/0	120083.0	159060.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	timeout	561891	1074943	3600399.0	3600399.0	3600399.0	3600.398	3600.398	3600.398	7006.0	GigabitEthernet0/0	120083.0	159060.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	timeout	580189	962381	3600324.0	3600324.0	3600324.0	3600.323	3600.323	3600.323	6674.0	GigabitEthernet0/0	120083.0	159060.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	timeout	361271	799869	3600434.0	3600434.0	3600434.0	3600.433	3600.433	3600.433	6790.0	GigabitEthernet0/0	120083.0	159060.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	timeout	456990	867529	3600862.0	3600862.0	3600862.0	3600.86	3600.86	3600.86	6671.0	GigabitEthernet0/0	120083.0	159060.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	timeout	267646	773749	3600450.0	3600450.0	3600450.0	3600.448	3600.448	3600.448	7236.0	GigabitEthernet0/0	120083.0	159060.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	226580	692649	1166158.0	1166158.0	1166158.0	1166.157	1166.157	1166.157	6667.0	GigabitEthernet0/0	120083.0	159060.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	382044	863152	2426093.0	2426093.0	2426093.0	2426.092	2426.092	2426.092	6939.0	GigabitEthernet0/0	120083.0	159060.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	sat	174135	699124	1198872.0	1198872.0	1198872.0	1198.871	1198.871	1198.871	7184.0	GigabitEthernet0/0	120083.0	159060.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	timeout	288535	692682	3600584.0	3600584.0	3600584.0	3600.583	3600.583	3600.583	7111.0	GigabitEthernet0/0	120083.0	159060.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	timeout	254523	733072	3600413.0	3600413.0	3600413.0	3600.413	3600.413	3600.413	6319.0	GigabitEthernet0/0	120083.0	159060.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	timeout	366621	647901	3600440.0	3600440.0	3600440.0	3600.439	3600.439	3600.439	6142.0	GigabitEthernet0/0	120083.0	159060.0
burlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	sat	231784	728811	1621385.0	1621385.0	1621385.0	1621.384	1621.384	1621.384	7210.0	GigabitEthernet0/0	120083.0	159060.0
huntingdon	huntingtonid730	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	411145	955386	3301068.0	3301068.0	3301068.0	3301.068	3301.068	3301.068	6629.0	GigabitEthernet0/0	120083.0	159060.0
warsaw	americus	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	361849	921927	2575656.0	2575656.0	2575656.0	2575.655	2575.655	2575.655	6983.0	GigabitEthernet0/0	120083.0	159060.0
saginaw	birmingham	IpWildcardIpSpace{ipWildcard=200.0.68.0/24}	timeout	178610	555226	3600354.0	3600354.0	3600354.0	3600.354	3600.354	3600.354	6719.0	GigabitEthernet0/0	120083.0	159060.0
nodeid390	eufaula	IpWildcardIpSpace{ipWildcard=200.0.203.0/24}	timeout	305744	786079	3600359.0	3600359.0	3600359.0	3600.358	3600.358	3600.358	6632.0	GigabitEthernet0/0	120083.0	159060.0
vicksburg	zanesville	IpWildcardIpSpace{ipWildcard=200.2.242.0/24}	sat	271801	795437	2577841.0	2577841.0	2577841.0	2577.84	2577.84	2577.84	7272.0	GigabitEthernet0/0	120083.0	159060.0
danvilleid290	albertville	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	326073	886890	2859537.0	2859537.0	2859537.0	2859.536	2859.536	2859.536	6830.0	GigabitEthernet0/0	120083.0	159060.0
midland	oneonta	IpWildcardIpSpace{ipWildcard=200.2.33.0/24}	sat	140390	600413	759353.0	759353.0	759353.0	759.353	759.353	759.353	7363.0	GigabitEthernet0/0	120083.0	159060.0
columbiaid471	westttmemphis	IpWildcardIpSpace{ipWildcard=200.2.214.0/24}	sat	302787	759722	1793127.0	1793127.0	1793127.0	1793.126	1793.126	1793.126	6840.0	GigabitEthernet0/0	120083.0	159060.0
jacksonid519	peerwarrensburg0	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	timeout	310352	766743	3600478.0	3600478.0	3600478.0	3600.477	3600.477	3600.477	7675.0	GigabitEthernet0/0	120083.0	159060.0
nodeid634	linettlexington	IpWildcardIpSpace{ipWildcard=200.1.116.0/24}	sat	172109	680237	2103081.0	2103081.0	2103081.0	2103.08	2103.08	2103.08	8501.0	GigabitEthernet0/0	120083.0	159060.0
nodeid343	chandler	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	278323	824180	3020362.0	3020362.0	3020362.0	3020.362	3020.362	3020.362	7502.0	GigabitEthernet0/0	120083.0	159060.0
redttwing	morristown	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	timeout	405450	840192	3600749.0	3600749.0	3600749.0	3600.749	3600.749	3600.749	6970.0	GigabitEthernet0/0	120083.0	159060.0
alexandriaid749	bristol	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	timeout	487867	1024997	3600445.0	3600445.0	3600445.0	3600.444	3600.444	3600.444	7523.0	GigabitEthernet0/0	120083.0	159060.0
harrisonville	franklinid613	IpWildcardIpSpace{ipWildcard=200.0.236.0/24}	sat	119650	541391	580150.0	580150.0	580150.0	580.149	580.149	580.149	7075.0	GigabitEthernet0/0	120083.0	159060.0
estill	biscoe	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	timeout	337626	778071	3600438.0	3600438.0	3600438.0	3600.438	3600.438	3600.438	6850.0	GigabitEthernet0/0	120083.0	159060.0
milwaukee	knoxville	IpWildcardIpSpace{ipWildcard=200.1.80.0/24}	timeout	683093	1195491	3600439.0	3600439.0	3600439.0	3600.438	3600.438	3600.438	7159.0	GigabitEthernet0/0	120083.0	159060.0
franklinid253	westttpoint	IpWildcardIpSpace{ipWildcard=200.2.215.0/24}	timeout	292322	798702	3600844.0	3600844.0	3600844.0	3600.843	3600.843	3600.843	7377.0	GigabitEthernet0/0	120083.0	159060.0
forest	pittsburgh	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	246121	763146	1829862.0	1829862.0	1829862.0	1829.861	1829.861	1829.861	6903.0	GigabitEthernet0/0	120083.0	159060.0
flint	greenvilleid685	IpWildcardIpSpace{ipWildcard=200.1.9.0/24}	timeout	540335	907780	3600411.0	3600411.0	3600411.0	3600.411	3600.411	3600.411	7709.0	GigabitEthernet0/0	120083.0	159060.0
clarksvilleid402	louisa	IpWildcardIpSpace{ipWildcard=200.1.128.0/24}	timeout	373087	916835	3600542.0	3600542.0	3600542.0	3600.541	3600.541	3600.541	7326.0	GigabitEthernet0/0	120083.0	159060.0
nodeid137	princeton	IpWildcardIpSpace{ipWildcard=200.2.79.0/24}	sat	200865	681522	1167840.0	1167840.0	1167840.0	1167.839	1167.839	1167.839	7135.0	GigabitEthernet0/0	120083.0	159060.0
tunica	muskegon	IpWildcardIpSpace{ipWildcard=200.1.224.0/24}	timeout	643721	1062140	3600390.0	3600390.0	3600390.0	3600.389	3600.389	3600.389	6934.0	GigabitEthernet0/0	120083.0	159060.0
lawrenceville	macquoketa	IpWildcardIpSpace{ipWildcard=200.1.138.0/24}	sat	176846	717481	1556120.0	1556120.0	1556120.0	1556.119	1556.119	1556.119	6980.0	GigabitEthernet0/0	120083.0	159060.0
watersmeet	rolla	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	timeout	511392	978035	3600558.0	3600558.0	3600558.0	3600.557	3600.557	3600.557	7512.0	GigabitEthernet0/0	120083.0	159060.0
murray	nodeid69	IpWildcardIpSpace{ipWildcard=200.2.17.0/24}	timeout	305977	755183	3600413.0	3600413.0	3600413.0	3600.412	3600.412	3600.412	6863.0	GigabitEthernet0/0	120083.0	159060.0
newaygo	morganton	IpWildcardIpSpace{ipWildcard=200.1.210.0/24}	timeout	257821	664477	3600401.0	3600401.0	3600401.0	3600.4	3600.4	3600.4	6847.0	GigabitEthernet0/0	120083.0	159060.0
stevensttpoint	houston	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	153899	661459	1071854.0	1071854.0	1071854.0	1071.853	1071.853	1071.853	6819.0	GigabitEthernet0/0	120083.0	159060.0
collierville	eastlake	IpWildcardIpSpace{ipWildcard=200.0.187.0/24}	timeout	258633	727234	3600563.0	3600563.0	3600563.0	3600.562	3600.562	3600.562	7318.0	GigabitEthernet0/0	120083.0	159060.0
scotlandttneck	hattiesburg	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	211736	658329	1087162.0	1087162.0	1087162.0	1087.162	1087.162	1087.162	6823.0	GigabitEthernet0/0	120083.0	159060.0
