srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	273	1753	365.0	365.0	365.0	0.364	0.364	0.364	675.0	GigabitEthernet0/0	5490.0	8874.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	265	2557	342.0	342.0	342.0	0.341	0.341	0.341	594.0	GigabitEthernet0/0	5490.0	8874.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	220	1739	370.0	370.0	370.0	0.369	0.369	0.369	591.0	GigabitEthernet0/0	5490.0	8874.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	303	3722	383.0	383.0	383.0	0.383	0.383	0.383	599.0	GigabitEthernet0/0	5490.0	8874.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	252	3540	365.0	365.0	365.0	0.364	0.364	0.364	606.0	GigabitEthernet0/0	5490.0	8874.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	263	3276	386.0	386.0	386.0	0.385	0.385	0.385	602.0	GigabitEthernet0/0	5490.0	8874.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	257	2257	308.0	308.0	308.0	0.307	0.307	0.307	639.0	GigabitEthernet0/0	5490.0	8874.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	241	2528	346.0	346.0	346.0	0.345	0.345	0.345	643.0	GigabitEthernet0/0	5490.0	8874.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	216	2059	369.0	369.0	369.0	0.368	0.368	0.368	611.0	GigabitEthernet0/0	5490.0	8874.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	204	3488	375.0	375.0	375.0	0.374	0.374	0.374	622.0	GigabitEthernet0/0	5490.0	8874.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	unsat	188	1584	371.0	371.0	371.0	0.371	0.371	0.371	621.0	GigabitEthernet0/0	5490.0	8874.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	208	1596	331.0	331.0	331.0	0.33	0.33	0.33	587.0	GigabitEthernet0/0	5490.0	8874.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	181	1301	335.0	335.0	335.0	0.334	0.334	0.334	595.0	GigabitEthernet0/0	5490.0	8874.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	246	1777	353.0	353.0	353.0	0.352	0.352	0.352	589.0	GigabitEthernet0/0	5490.0	8874.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	204	1326	323.0	323.0	323.0	0.322	0.322	0.322	580.0	GigabitEthernet0/0	5490.0	8874.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	11	20	225.0	225.0	225.0	0.224	0.224	0.224	601.0	GigabitEthernet0/0	5490.0	8874.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	262	1536	356.0	356.0	356.0	0.355	0.355	0.355	576.0	GigabitEthernet0/0	5490.0	8874.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	176	1547	318.0	318.0	318.0	0.318	0.318	0.318	610.0	GigabitEthernet0/0	5490.0	8874.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	272	2552	350.0	350.0	350.0	0.349	0.349	0.349	572.0	GigabitEthernet0/0	5490.0	8874.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	252	1620	371.0	371.0	371.0	0.37	0.37	0.37	577.0	GigabitEthernet0/0	5490.0	8874.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	205	1315	353.0	353.0	353.0	0.352	0.352	0.352	576.0	GigabitEthernet0/0	5490.0	8874.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	250	1754	370.0	370.0	370.0	0.37	0.37	0.37	604.0	GigabitEthernet0/0	5490.0	8874.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	unsat	200	2943	362.0	362.0	362.0	0.361	0.361	0.361	587.0	GigabitEthernet0/0	5490.0	8874.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	260	1915	363.0	363.0	363.0	0.362	0.362	0.362	573.0	GigabitEthernet0/0	5490.0	8874.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	214	1965	311.0	311.0	311.0	0.309	0.309	0.309	590.0	GigabitEthernet0/0	5490.0	8874.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	256	3750	427.0	427.0	427.0	0.427	0.427	0.427	588.0	GigabitEthernet0/0	5490.0	8874.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	252	1769	363.0	363.0	363.0	0.363	0.363	0.363	573.0	GigabitEthernet0/0	5490.0	8874.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	246	2331	353.0	353.0	353.0	0.352	0.352	0.352	580.0	GigabitEthernet0/0	5490.0	8874.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	206	1344	343.0	343.0	343.0	0.342	0.342	0.342	581.0	GigabitEthernet0/0	5490.0	8874.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	261	2138	361.0	361.0	361.0	0.36	0.36	0.36	571.0	GigabitEthernet0/0	5490.0	8874.0
