srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	0	78	252.0	252.0	252.0	0.252	0.252	0.252	634.0	GigabitEthernet0/0	5490.0	8730.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	0	78	251.0	251.0	251.0	0.25	0.25	0.25	590.0	GigabitEthernet0/0	5490.0	8730.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	0	78	256.0	256.0	256.0	0.256	0.256	0.256	590.0	GigabitEthernet0/0	5490.0	8730.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	78	262.0	262.0	262.0	0.261	0.261	0.261	602.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	78	251.0	251.0	251.0	0.25	0.25	0.25	587.0	GigabitEthernet0/0	5490.0	8730.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	78	260.0	260.0	260.0	0.259	0.259	0.259	657.0	GigabitEthernet0/0	5490.0	8730.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	0	79	259.0	259.0	259.0	0.258	0.258	0.258	631.0	GigabitEthernet0/0	5490.0	8730.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	0	27	267.0	267.0	267.0	0.266	0.266	0.266	663.0	GigabitEthernet0/0	5490.0	8730.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	78	259.0	259.0	259.0	0.258	0.258	0.258	610.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	0	10	256.0	256.0	256.0	0.255	0.255	0.255	598.0	GigabitEthernet0/0	5490.0	8730.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	0	34	261.0	261.0	261.0	0.26	0.26	0.26	598.0	GigabitEthernet0/0	5490.0	8730.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	78	252.0	252.0	252.0	0.252	0.252	0.252	596.0	GigabitEthernet0/0	5490.0	8730.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	0	78	254.0	254.0	254.0	0.253	0.253	0.253	588.0	GigabitEthernet0/0	5490.0	8730.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	78	252.0	252.0	252.0	0.251	0.251	0.251	597.0	GigabitEthernet0/0	5490.0	8730.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	0	78	253.0	253.0	253.0	0.252	0.252	0.252	578.0	GigabitEthernet0/0	5490.0	8730.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	10	256.0	256.0	256.0	0.256	0.256	0.256	582.0	GigabitEthernet0/0	5490.0	8730.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	8	257.0	257.0	257.0	0.256	0.256	0.256	576.0	GigabitEthernet0/0	5490.0	8730.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	0	8	251.0	251.0	251.0	0.25	0.25	0.25	577.0	GigabitEthernet0/0	5490.0	8730.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	78	253.0	253.0	253.0	0.252	0.252	0.252	573.0	GigabitEthernet0/0	5490.0	8730.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	0	13	254.0	254.0	254.0	0.254	0.254	0.254	575.0	GigabitEthernet0/0	5490.0	8730.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	0	78	252.0	252.0	252.0	0.252	0.252	0.252	578.0	GigabitEthernet0/0	5490.0	8730.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	0	78	251.0	251.0	251.0	0.25	0.25	0.25	595.0	GigabitEthernet0/0	5490.0	8730.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	0	78	251.0	251.0	251.0	0.25	0.25	0.25	571.0	GigabitEthernet0/0	5490.0	8730.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	78	249.0	249.0	249.0	0.249	0.249	0.249	574.0	GigabitEthernet0/0	5490.0	8730.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	36	261.0	261.0	261.0	0.26	0.26	0.26	597.0	GigabitEthernet0/0	5490.0	8730.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	78	250.0	250.0	250.0	0.249	0.249	0.249	572.0	GigabitEthernet0/0	5490.0	8730.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	78	258.0	258.0	258.0	0.257	0.257	0.257	581.0	GigabitEthernet0/0	5490.0	8730.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	0	78	252.0	252.0	252.0	0.251	0.251	0.251	584.0	GigabitEthernet0/0	5490.0	8730.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	0	78	253.0	253.0	253.0	0.252	0.252	0.252	575.0	GigabitEthernet0/0	5490.0	8730.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	78	250.0	250.0	250.0	0.25	0.25	0.25	569.0	GigabitEthernet0/0	5490.0	8730.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	0	78	253.0	253.0	253.0	0.252	0.252	0.252	566.0	GigabitEthernet0/0	5490.0	8730.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	78	252.0	252.0	252.0	0.252	0.252	0.252	572.0	GigabitEthernet0/0	5490.0	8730.0
