srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	290	4129	427.0	427.0	427.0	0.426	0.426	0.426	609.0	GigabitEthernet0/0	5490.0	8730.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	284	3567	388.0	388.0	388.0	0.387	0.387	0.387	585.0	GigabitEthernet0/0	5490.0	8730.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	311	4527	400.0	400.0	400.0	0.399	0.399	0.399	590.0	GigabitEthernet0/0	5490.0	8730.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	160	2124	323.0	323.0	323.0	0.322	0.322	0.322	597.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	402	3170	400.0	400.0	400.0	0.4	0.4	0.4	584.0	GigabitEthernet0/0	5490.0	8730.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	186	2947	377.0	377.0	377.0	0.376	0.376	0.376	640.0	GigabitEthernet0/0	5490.0	8730.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	490	4558	501.0	501.0	501.0	0.5	0.5	0.5	623.0	GigabitEthernet0/0	5490.0	8730.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	85	2148	302.0	302.0	302.0	0.301	0.301	0.301	667.0	GigabitEthernet0/0	5490.0	8730.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	304	3899	437.0	437.0	437.0	0.437	0.437	0.437	626.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	126	2394	308.0	308.0	308.0	0.307	0.307	0.307	606.0	GigabitEthernet0/0	5490.0	8730.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	320	3775	404.0	404.0	404.0	0.404	0.404	0.404	599.0	GigabitEthernet0/0	5490.0	8730.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	220	2820	351.0	351.0	351.0	0.35	0.35	0.35	593.0	GigabitEthernet0/0	5490.0	8730.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	294	3425	425.0	425.0	425.0	0.425	0.425	0.425	592.0	GigabitEthernet0/0	5490.0	8730.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	99	1885	288.0	288.0	288.0	0.287	0.287	0.287	594.0	GigabitEthernet0/0	5490.0	8730.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	515	3869	480.0	480.0	480.0	0.479	0.479	0.479	589.0	GigabitEthernet0/0	5490.0	8730.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	122	1884	325.0	325.0	325.0	0.324	0.324	0.324	588.0	GigabitEthernet0/0	5490.0	8730.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	368	4920	484.0	484.0	484.0	0.483	0.483	0.483	579.0	GigabitEthernet0/0	5490.0	8730.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	304	3623	430.0	430.0	430.0	0.429	0.429	0.429	578.0	GigabitEthernet0/0	5490.0	8730.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	262	2817	360.0	360.0	360.0	0.359	0.359	0.359	586.0	GigabitEthernet0/0	5490.0	8730.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	125	3884	291.0	291.0	291.0	0.29	0.29	0.29	581.0	GigabitEthernet0/0	5490.0	8730.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	270	4847	397.0	397.0	397.0	0.396	0.396	0.396	577.0	GigabitEthernet0/0	5490.0	8730.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	399	3452	470.0	470.0	470.0	0.469	0.469	0.469	582.0	GigabitEthernet0/0	5490.0	8730.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	180	2567	353.0	353.0	353.0	0.352	0.352	0.352	578.0	GigabitEthernet0/0	5490.0	8730.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	374	4311	468.0	468.0	468.0	0.468	0.468	0.468	573.0	GigabitEthernet0/0	5490.0	8730.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	215	5216	373.0	373.0	373.0	0.372	0.372	0.372	588.0	GigabitEthernet0/0	5490.0	8730.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	292	4492	405.0	405.0	405.0	0.405	0.405	0.405	573.0	GigabitEthernet0/0	5490.0	8730.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	349	5389	421.0	421.0	421.0	0.421	0.421	0.421	587.0	GigabitEthernet0/0	5490.0	8730.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	228	2418	361.0	361.0	361.0	0.36	0.36	0.36	582.0	GigabitEthernet0/0	5490.0	8730.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	280	3026	393.0	393.0	393.0	0.392	0.392	0.392	570.0	GigabitEthernet0/0	5490.0	8730.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	311	3590	431.0	431.0	431.0	0.43	0.43	0.43	572.0	GigabitEthernet0/0	5490.0	8730.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	275	3794	407.0	407.0	407.0	0.406	0.406	0.406	569.0	GigabitEthernet0/0	5490.0	8730.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	93	1992	272.0	272.0	272.0	0.271	0.271	0.271	578.0	GigabitEthernet0/0	5490.0	8730.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	134	2966	320.0	320.0	320.0	0.319	0.319	0.319	572.0	GigabitEthernet0/0	5490.0	8730.0
