srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	559048	5849822	3591376.0	3591376.0	3591376.0	3591.373	3591.373	3591.373	3670.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	412075	4338674	2829674.0	2829674.0	2829674.0	2829.673	2829.673	2829.673	3772.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	timeout	544306	6099211	3600204.0	3600204.0	3600204.0	3600.204	3600.204	3600.204	3801.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	431322	4311511	2720216.0	2720216.0	2720216.0	2720.215	2720.215	2720.215	3788.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	timeout	605910	6507431	3600214.0	3600214.0	3600214.0	3600.214	3600.214	3600.214	3764.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	timeout	602798	6967846	3600210.0	3600210.0	3600210.0	3600.208	3600.208	3600.208	3709.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	494901	4632742	2604421.0	2604421.0	2604421.0	2604.42	2604.42	2604.42	3785.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	302095	2954045	2115367.0	2115367.0	2115367.0	2115.366	2115.366	2115.366	4237.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	timeout	528355	6150314	3600301.0	3600301.0	3600301.0	3600.301	3600.301	3600.301	3724.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	timeout	563779	6363985	3600216.0	3600216.0	3600216.0	3600.215	3600.215	3600.215	3872.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	timeout	643304	6648510	3600212.0	3600212.0	3600212.0	3600.212	3600.212	3600.212	3718.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	521039	4720511	3252858.0	3252858.0	3252858.0	3252.858	3252.858	3252.858	3688.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	timeout	539042	5776019	3600208.0	3600208.0	3600208.0	3600.208	3600.208	3600.208	3684.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	timeout	568853	5434457	3600231.0	3600231.0	3600231.0	3600.23	3600.23	3600.23	3753.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	timeout	554455	6191861	3600280.0	3600280.0	3600280.0	3600.279	3600.279	3600.279	4008.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	timeout	440186	5279756	3600190.0	3600190.0	3600190.0	3600.189	3600.189	3600.189	4072.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	timeout	607901	8646335	3600275.0	3600275.0	3600275.0	3600.274	3600.274	3600.274	4027.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	timeout	707655	7120878	3600443.0	3600443.0	3600443.0	3600.443	3600.443	3600.443	3767.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	timeout	519616	4926669	3600253.0	3600253.0	3600253.0	3600.252	3600.252	3600.252	4064.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	timeout	522713	6064238	3600357.0	3600357.0	3600357.0	3600.356	3600.356	3600.356	3945.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	timeout	520484	7031324	3600222.0	3600222.0	3600222.0	3600.221	3600.221	3600.221	4093.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	timeout	493942	5278720	3600251.0	3600251.0	3600251.0	3600.25	3600.25	3600.25	3866.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	timeout	499757	4775386	3600259.0	3600259.0	3600259.0	3600.258	3600.258	3600.258	3801.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	timeout	645856	6089290	3600230.0	3600230.0	3600230.0	3600.23	3600.23	3600.23	3695.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	timeout	708842	6977047	3600220.0	3600220.0	3600220.0	3600.219	3600.219	3600.219	3657.0	GigabitEthernet0/0	34609.0	63618.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	timeout	487027	5878215	3600234.0	3600234.0	3600234.0	3600.234	3600.234	3600.234	3717.0	GigabitEthernet0/0	34609.0	63618.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	timeout	710825	7410253	3600226.0	3600226.0	3600226.0	3600.225	3600.225	3600.225	3652.0	GigabitEthernet0/0	34609.0	63618.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	timeout	607271	5310352	3600233.0	3600233.0	3600233.0	3600.232	3600.232	3600.232	3675.0	GigabitEthernet0/0	34609.0	63618.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	unsat	280094	2965342	1666464.0	1666464.0	1666464.0	1666.463	1666.463	1666.463	3743.0	GigabitEthernet0/0	34609.0	63618.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	timeout	3282432	30085542	19625923.0	19625923.0	19625923.0	19625.92	19625.92	19625.92	3572.0	GigabitEthernet0/0	34609.0	63618.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	timeout	618195	7167896	3600258.0	3600258.0	3600258.0	3600.257	3600.257	3600.257	3213.0	GigabitEthernet0/0	34609.0	63618.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	timeout	689125	7404938	3600232.0	3600232.0	3600232.0	3600.231	3600.231	3600.231	3866.0	GigabitEthernet0/0	34609.0	63618.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	timeout	705186	8457241	3600319.0	3600319.0	3600319.0	3600.318	3600.318	3600.318	3822.0	GigabitEthernet0/0	34609.0	63618.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	timeout	2658592	28747496	20040174.0	20040174.0	20040174.0	20040.171	20040.171	20040.171	3744.0	GigabitEthernet0/0	34609.0	63618.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	timeout	513547	6898927	3600190.0	3600190.0	3600190.0	3600.19	3600.19	3600.19	3715.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	timeout	462586	5313535	3600229.0	3600229.0	3600229.0	3600.228	3600.228	3600.228	4008.0	GigabitEthernet0/0	34609.0	63618.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	timeout	597545	5953823	3600338.0	3600338.0	3600338.0	3600.338	3600.338	3600.338	4068.0	GigabitEthernet0/0	34609.0	63618.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	timeout	830391	9715735	3600210.0	3600210.0	3600210.0	3600.21	3600.21	3600.21	3870.0	GigabitEthernet0/0	34609.0	63618.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	timeout	837107	7853306	5231345.0	5231345.0	5231345.0	5231.343	5231.343	5231.343	3720.0	GigabitEthernet0/0	34609.0	63618.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	timeout	506806	5704996	3600191.0	3600191.0	3600191.0	3600.19	3600.19	3600.19	3917.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg24	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	timeout	619242	5538397	3600192.0	3600192.0	3600192.0	3600.192	3600.192	3600.192	3242.0	GigabitEthernet0/0	34609.0	63618.0
