srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	112738	386496	358581.0	358581.0	358581.0	358.58	358.58	358.58	3943.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	48641	237881	156083.0	156083.0	156083.0	156.082	156.082	156.082	3789.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	unsat	39852	221011	129801.0	129801.0	129801.0	129.8	129.8	129.8	3844.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	61008	301016	204633.0	204633.0	204633.0	204.631	204.631	204.631	3763.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	unsat	40616	230871	132082.0	132082.0	132082.0	132.081	132.081	132.081	3813.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	unsat	40329	219850	143831.0	143831.0	143831.0	143.83	143.83	143.83	3744.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	63124	288551	201575.0	201575.0	201575.0	201.574	201.574	201.574	3722.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	62989	297287	222729.0	222729.0	222729.0	222.728	222.728	222.728	3914.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	unsat	54004	249753	212554.0	212554.0	212554.0	212.553	212.553	212.553	3735.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	unsat	60016	288871	183814.0	183814.0	183814.0	183.813	183.813	183.813	3712.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	68481	309843	206624.0	206624.0	206624.0	206.624	206.624	206.624	3632.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	44374	231976	124081.0	124081.0	124081.0	124.08	124.08	124.08	3720.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	61881	280287	297091.0	297091.0	297091.0	297.09	297.09	297.09	3828.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	unsat	65460	314053	264720.0	264720.0	264720.0	264.719	264.719	264.719	3867.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	57679	279997	254639.0	254639.0	254639.0	254.638	254.638	254.638	4110.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	unsat	48425	276656	176626.0	176626.0	176626.0	176.625	176.625	176.625	4037.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	unsat	51558	270094	169673.0	169673.0	169673.0	169.672	169.672	169.672	3724.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	unsat	44541	229432	232329.0	232329.0	232329.0	232.328	232.328	232.328	4095.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	38306	204295	101423.0	101423.0	101423.0	101.423	101.423	101.423	4041.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	unsat	59096	286753	194825.0	194825.0	194825.0	194.824	194.824	194.824	3931.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	unsat	53644	249517	198079.0	198079.0	198079.0	198.078	198.078	198.078	3964.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	unsat	46983	251376	170961.0	170961.0	170961.0	170.96	170.96	170.96	3990.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	unsat	46831	272473	136886.0	136886.0	136886.0	136.886	136.886	136.886	3652.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	unsat	57311	277406	182855.0	182855.0	182855.0	182.854	182.854	182.854	3668.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	unsat	40522	232933	138698.0	138698.0	138698.0	138.698	138.698	138.698	3636.0	GigabitEthernet0/0	34609.0	63618.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	unsat	58580	272035	176277.0	176277.0	176277.0	176.276	176.276	176.276	3685.0	GigabitEthernet0/0	34609.0	63618.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	unsat	73524	332110	257317.0	257317.0	257317.0	257.316	257.316	257.316	3665.0	GigabitEthernet0/0	34609.0	63618.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	68824	313951	210707.0	210707.0	210707.0	210.705	210.705	210.705	3674.0	GigabitEthernet0/0	34609.0	63618.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	unsat	61269	298251	240285.0	240285.0	240285.0	240.284	240.284	240.284	4205.0	GigabitEthernet0/0	34609.0	63618.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	unsat	45178	234868	164911.0	164911.0	164911.0	164.909	164.909	164.909	3723.0	GigabitEthernet0/0	34609.0	63618.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	unsat	55112	273433	209203.0	209203.0	209203.0	209.202	209.202	209.202	3441.0	GigabitEthernet0/0	34609.0	63618.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	unsat	76194	341836	290945.0	290945.0	290945.0	290.945	290.945	290.945	3871.0	GigabitEthernet0/0	34609.0	63618.0
