srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	563	1488	271.0	271.0	271.0	0.27	0.27	0.27	531.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	329	1035	207.0	207.0	207.0	0.206	0.206	0.206	432.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	547	1807	231.0	231.0	231.0	0.23	0.23	0.23	422.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	348	1122	184.0	184.0	184.0	0.183	0.183	0.183	442.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	208	673	175.0	175.0	175.0	0.174	0.174	0.174	434.0	GigabitEthernet0/0	2257.0	4135.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	542	1500	232.0	232.0	232.0	0.231	0.231	0.231	427.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	514	1141	263.0	263.0	263.0	0.263	0.263	0.263	446.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	530	1647	286.0	286.0	286.0	0.286	0.286	0.286	464.0	GigabitEthernet0/0	2257.0	4135.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	157	590	147.0	147.0	147.0	0.147	0.147	0.147	436.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	365	1125	192.0	192.0	192.0	0.192	0.192	0.192	436.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	347	872	208.0	208.0	208.0	0.207	0.207	0.207	423.0	GigabitEthernet0/0	2257.0	4135.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	482	1132	241.0	241.0	241.0	0.241	0.241	0.241	416.0	GigabitEthernet0/0	2257.0	4135.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	531	1408	225.0	225.0	225.0	0.224	0.224	0.224	438.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	311	863	189.0	189.0	189.0	0.188	0.188	0.188	440.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	305	1048	192.0	192.0	192.0	0.191	0.191	0.191	427.0	GigabitEthernet0/0	2257.0	4135.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	301	899	174.0	174.0	174.0	0.174	0.174	0.174	444.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	186	742	168.0	168.0	168.0	0.167	0.167	0.167	428.0	GigabitEthernet0/0	2257.0	4135.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	336	828	202.0	202.0	202.0	0.201	0.201	0.201	429.0	GigabitEthernet0/0	2257.0	4135.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	303	986	196.0	196.0	196.0	0.195	0.195	0.195	461.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	145	575	154.0	154.0	154.0	0.153	0.153	0.153	455.0	GigabitEthernet0/0	2257.0	4135.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	268	960	185.0	185.0	185.0	0.185	0.185	0.185	441.0	GigabitEthernet0/0	2257.0	4135.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	395	946	205.0	205.0	205.0	0.204	0.204	0.204	409.0	GigabitEthernet0/0	2257.0	4135.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	268	735	213.0	213.0	213.0	0.212	0.212	0.212	424.0	GigabitEthernet0/0	2257.0	4135.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	440	1120	213.0	213.0	213.0	0.212	0.212	0.212	418.0	GigabitEthernet0/0	2257.0	4135.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	325	829	197.0	197.0	197.0	0.197	0.197	0.197	471.0	GigabitEthernet0/0	2257.0	4135.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	817	1952	308.0	308.0	308.0	0.307	0.307	0.307	410.0	GigabitEthernet0/0	2257.0	4135.0
