srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	11	109.0	109.0	109.0	0.109	0.109	0.109	430.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	47	109.0	109.0	109.0	0.109	0.109	0.109	427.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	0	47	110.0	110.0	110.0	0.11	0.11	0.11	426.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	18	156	121.0	121.0	121.0	0.12	0.12	0.12	443.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	111.0	111.0	111.0	0.11	0.11	0.11	423.0	GigabitEthernet0/0	2257.0	4058.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	0	47	112.0	112.0	112.0	0.111	0.111	0.111	417.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	14	113.0	113.0	113.0	0.113	0.113	0.113	460.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	0	47	112.0	112.0	112.0	0.111	0.111	0.111	460.0	GigabitEthernet0/0	2257.0	4058.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	6	55	120.0	120.0	120.0	0.119	0.119	0.119	458.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	47	112.0	112.0	112.0	0.111	0.111	0.111	429.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	47	111.0	111.0	111.0	0.11	0.11	0.11	420.0	GigabitEthernet0/0	2257.0	4058.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	0	47	111.0	111.0	111.0	0.111	0.111	0.111	428.0	GigabitEthernet0/0	2257.0	4058.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	0	16	113.0	113.0	113.0	0.112	0.112	0.112	431.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	47	111.0	111.0	111.0	0.11	0.11	0.11	423.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	111.0	111.0	111.0	0.11	0.11	0.11	425.0	GigabitEthernet0/0	2257.0	4058.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	138	667	154.0	154.0	154.0	0.153	0.153	0.153	428.0	GigabitEthernet0/0	2257.0	4058.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	109	514	148.0	148.0	148.0	0.148	0.148	0.148	423.0	GigabitEthernet0/0	2257.0	4058.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	47	114.0	114.0	114.0	0.113	0.113	0.113	476.0	GigabitEthernet0/0	2257.0	4058.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	0	47	113.0	113.0	113.0	0.112	0.112	0.112	432.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	41	209	125.0	125.0	125.0	0.124	0.124	0.124	453.0	GigabitEthernet0/0	2257.0	4058.0
