srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	315	1502	201.0	201.0	201.0	0.2	0.2	0.2	434.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	493	1848	248.0	248.0	248.0	0.248	0.248	0.248	425.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	430	1646	218.0	218.0	218.0	0.218	0.218	0.218	423.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	378	1975	217.0	217.0	217.0	0.216	0.216	0.216	438.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	377	1619	216.0	216.0	216.0	0.215	0.215	0.215	424.0	GigabitEthernet0/0	2257.0	4135.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	441	2238	236.0	236.0	236.0	0.235	0.235	0.235	419.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	508	1903	282.0	282.0	282.0	0.281	0.281	0.281	466.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	562	2591	272.0	272.0	272.0	0.272	0.272	0.272	477.0	GigabitEthernet0/0	2257.0	4135.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	431	1746	227.0	227.0	227.0	0.227	0.227	0.227	462.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	442	2098	244.0	244.0	244.0	0.243	0.243	0.243	424.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	526	2143	265.0	265.0	265.0	0.265	0.265	0.265	419.0	GigabitEthernet0/0	2257.0	4135.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	581	2343	288.0	288.0	288.0	0.287	0.287	0.287	502.0	GigabitEthernet0/0	2257.0	4135.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	506	2199	279.0	279.0	279.0	0.278	0.278	0.278	437.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	369	1741	216.0	216.0	216.0	0.216	0.216	0.216	428.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	438	2292	237.0	237.0	237.0	0.237	0.237	0.237	419.0	GigabitEthernet0/0	2257.0	4135.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	237	1213	163.0	163.0	163.0	0.162	0.162	0.162	437.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	259	1252	176.0	176.0	176.0	0.175	0.175	0.175	419.0	GigabitEthernet0/0	2257.0	4135.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	452	2473	250.0	250.0	250.0	0.249	0.249	0.249	463.0	GigabitEthernet0/0	2257.0	4135.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	177	1285	159.0	159.0	159.0	0.158	0.158	0.158	529.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	451	1857	219.0	219.0	219.0	0.218	0.218	0.218	442.0	GigabitEthernet0/0	2257.0	4135.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	379	1487	217.0	217.0	217.0	0.216	0.216	0.216	429.0	GigabitEthernet0/0	2257.0	4135.0
