srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	766	3260	357.0	357.0	357.0	0.356	0.356	0.356	435.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	864	3055	379.0	379.0	379.0	0.378	0.378	0.378	429.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	510	2436	231.0	231.0	231.0	0.23	0.23	0.23	423.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	423	1957	214.0	214.0	214.0	0.213	0.213	0.213	440.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	366	1803	197.0	197.0	197.0	0.196	0.196	0.196	429.0	GigabitEthernet0/0	2257.0	4058.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	322	2018	219.0	219.0	219.0	0.218	0.218	0.218	420.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	442	2111	235.0	235.0	235.0	0.234	0.234	0.234	472.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	512	2812	282.0	282.0	282.0	0.281	0.281	0.281	435.0	GigabitEthernet0/0	2257.0	4058.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	615	2683	274.0	274.0	274.0	0.273	0.273	0.273	450.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	453	2254	244.0	244.0	244.0	0.244	0.244	0.244	432.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	345	1763	200.0	200.0	200.0	0.199	0.199	0.199	417.0	GigabitEthernet0/0	2257.0	4058.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	88	1092	137.0	137.0	137.0	0.136	0.136	0.136	426.0	GigabitEthernet0/0	2257.0	4058.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	344	2085	211.0	211.0	211.0	0.211	0.211	0.211	426.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	79	1001	126.0	126.0	126.0	0.126	0.126	0.126	426.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	496	2582	252.0	252.0	252.0	0.252	0.252	0.252	425.0	GigabitEthernet0/0	2257.0	4058.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	529	2624	269.0	269.0	269.0	0.268	0.268	0.268	436.0	GigabitEthernet0/0	2257.0	4058.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	586	2175	256.0	256.0	256.0	0.256	0.256	0.256	420.0	GigabitEthernet0/0	2257.0	4058.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	178	1660	171.0	171.0	171.0	0.17	0.17	0.17	436.0	GigabitEthernet0/0	2257.0	4058.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	493	2354	249.0	249.0	249.0	0.249	0.249	0.249	436.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	548	2849	259.0	259.0	259.0	0.259	0.259	0.259	448.0	GigabitEthernet0/0	2257.0	4058.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	628	2727	297.0	297.0	297.0	0.296	0.296	0.296	411.0	GigabitEthernet0/0	2257.0	4058.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	158	1300	153.0	153.0	153.0	0.152	0.152	0.152	422.0	GigabitEthernet0/0	2257.0	4058.0
