srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	unsat	2370	11367	4808.0	4808.0	4808.0	4.806	4.806	4.806	1758.0	GigabitEthernet0/0	21504.0	30164.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	2542	11472	4906.0	4906.0	4906.0	4.905	4.905	4.905	1602.0	GigabitEthernet0/0	21504.0	30164.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	2138	13873	4894.0	4894.0	4894.0	4.893	4.893	4.893	1591.0	GigabitEthernet0/0	21504.0	30164.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	unsat	5452	27061	8112.0	8112.0	8112.0	8.111	8.111	8.111	1597.0	GigabitEthernet0/0	21504.0	30164.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	5269	23400	7913.0	7913.0	7913.0	7.912	7.912	7.912	1663.0	GigabitEthernet0/0	21504.0	30164.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	unsat	4037	16736	5625.0	5625.0	5625.0	5.625	5.625	5.625	1564.0	GigabitEthernet0/0	21504.0	30164.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	4062	19306	6450.0	6450.0	6450.0	6.448	6.448	6.448	1374.0	GigabitEthernet0/0	20724.0	29150.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	unsat	5039	22009	7206.0	7206.0	7206.0	7.205	7.205	7.205	1537.0	GigabitEthernet0/0	21504.0	30164.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	unsat	2218	14287	5079.0	5079.0	5079.0	5.078	5.078	5.078	1636.0	GigabitEthernet0/0	21504.0	30164.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	3488	14900	4979.0	4979.0	4979.0	4.978	4.978	4.978	1536.0	GigabitEthernet0/0	21504.0	30164.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	unsat	5966	35315	9735.0	9735.0	9735.0	9.734	9.734	9.734	1519.0	GigabitEthernet0/0	21504.0	30164.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	3066	16477	6125.0	6125.0	6125.0	6.124	6.124	6.124	1537.0	GigabitEthernet0/0	21504.0	30164.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	unsat	2591	9540	4884.0	4884.0	4884.0	4.883	4.883	4.883	1527.0	GigabitEthernet0/0	21504.0	30164.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	unsat	6606	27110	10862.0	10862.0	10862.0	10.861	10.861	10.861	1523.0	GigabitEthernet0/0	21504.0	30164.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	3014	13262	5023.0	5023.0	5023.0	5.023	5.023	5.023	1518.0	GigabitEthernet0/0	21504.0	30164.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	unsat	3003	16481	5749.0	5749.0	5749.0	5.748	5.748	5.748	1667.0	GigabitEthernet0/0	21504.0	30164.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	unsat	5511	20204	10541.0	10541.0	10541.0	10.54	10.54	10.54	1546.0	GigabitEthernet0/0	21504.0	30164.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	unsat	3057	14787	5902.0	5902.0	5902.0	5.901	5.901	5.901	1521.0	GigabitEthernet0/0	21504.0	30164.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	unsat	3743	15980	5837.0	5837.0	5837.0	5.837	5.837	5.837	1631.0	GigabitEthernet0/0	21504.0	30164.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	unsat	2355	13977	4705.0	4705.0	4705.0	4.704	4.704	4.704	1662.0	GigabitEthernet0/0	21504.0	30164.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	unsat	3601	18541	5832.0	5832.0	5832.0	5.832	5.832	5.832	1560.0	GigabitEthernet0/0	21504.0	30164.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	unsat	4022	23197	8096.0	8096.0	8096.0	8.095	8.095	8.095	1541.0	GigabitEthernet0/0	21504.0	30164.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	unsat	4410	29696	9733.0	9733.0	9733.0	9.732	9.732	9.732	1515.0	GigabitEthernet0/0	21504.0	30164.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	unsat	3233	14010	7262.0	7262.0	7262.0	7.261	7.261	7.261	1550.0	GigabitEthernet0/0	21504.0	30164.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	unsat	3169	15317	5620.0	5620.0	5620.0	5.619	5.619	5.619	1518.0	GigabitEthernet0/0	21504.0	30164.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	4613	19506	6197.0	6197.0	6197.0	6.196	6.196	6.196	1530.0	GigabitEthernet0/0	21504.0	30164.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	unsat	3801	18537	6368.0	6368.0	6368.0	6.368	6.368	6.368	1549.0	GigabitEthernet0/0	21504.0	30164.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	unsat	2111	12105	4200.0	4200.0	4200.0	4.2	4.2	4.2	1521.0	GigabitEthernet0/0	21504.0	30164.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	unsat	3029	19724	6318.0	6318.0	6318.0	6.318	6.318	6.318	1570.0	GigabitEthernet0/0	21504.0	30164.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	unsat	6943	29494	12459.0	12459.0	12459.0	12.458	12.458	12.458	1540.0	GigabitEthernet0/0	21504.0	30164.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	unsat	4283	25779	7268.0	7268.0	7268.0	7.267	7.267	7.267	1507.0	GigabitEthernet0/0	21504.0	30164.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	unsat	6036	25874	9067.0	9067.0	9067.0	9.066	9.066	9.066	1526.0	GigabitEthernet0/0	21504.0	30164.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	unsat	5334	14878	8838.0	8838.0	8838.0	8.837	8.837	8.837	1530.0	GigabitEthernet0/0	21504.0	30164.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	unsat	4150	20800	7640.0	7640.0	7640.0	7.639	7.639	7.639	1539.0	GigabitEthernet0/0	21504.0	30164.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	unsat	2621	12969	4376.0	4376.0	4376.0	4.375	4.375	4.375	1537.0	GigabitEthernet0/0	21504.0	30164.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	unsat	2336	11414	4352.0	4352.0	4352.0	4.351	4.351	4.351	1546.0	GigabitEthernet0/0	21504.0	30164.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	unsat	3105	18783	6316.0	6316.0	6316.0	6.315	6.315	6.315	1538.0	GigabitEthernet0/0	21504.0	30164.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	unsat	3507	14788	5296.0	5296.0	5296.0	5.296	5.296	5.296	1524.0	GigabitEthernet0/0	21504.0	30164.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	unsat	4066	17056	6706.0	6706.0	6706.0	6.705	6.705	6.705	1571.0	GigabitEthernet0/0	21504.0	30164.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	unsat	2144	13009	4413.0	4413.0	4413.0	4.412	4.412	4.412	1530.0	GigabitEthernet0/0	21504.0	30164.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	unsat	1976	9637	3673.0	3673.0	3673.0	3.672	3.672	3.672	1477.0	GigabitEthernet0/0	21504.0	30164.0
charlottesville	peerchester4	IpWildcardIpSpace{ipWildcard=200.4.134.0/24}	unsat	2955	18378	5567.0	5567.0	5567.0	5.566	5.566	5.566	1504.0	GigabitEthernet0/0	21504.0	30164.0
leesburgid143	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	2354	15288	5225.0	5225.0	5225.0	5.224	5.224	5.224	1605.0	GigabitEthernet0/0	21504.0	30164.0
blueridge	columbus	IpWildcardIpSpace{ipWildcard=200.4.167.0/24}	unsat	2309	13320	5063.0	5063.0	5063.0	5.062	5.062	5.062	1541.0	GigabitEthernet0/0	21504.0	30164.0
tallahassee	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	unsat	2838	14845	6578.0	6578.0	6578.0	6.577	6.577	6.577	1588.0	GigabitEthernet0/0	21504.0	30164.0
kinston	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	3438	16602	6849.0	6849.0	6849.0	6.848	6.848	6.848	1569.0	GigabitEthernet0/0	21504.0	30164.0
peerkingsport9	hiltontthead	IpWildcardIpSpace{ipWildcard=200.4.144.0/24}	unsat	3522	23105	6820.0	6820.0	6820.0	6.819	6.819	6.819	1556.0	GigabitEthernet0/0	21504.0	30164.0
walterboro	peerdouglas6	IpWildcardIpSpace{ipWildcard=200.4.239.0/24}	unsat	2783	12474	5067.0	5067.0	5067.0	5.067	5.067	5.067	1662.0	GigabitEthernet0/0	21504.0	30164.0
nodeid84	peerjacksonvilleid58	IpWildcardIpSpace{ipWildcard=200.4.184.0/24}	unsat	4622	23584	7932.0	7932.0	7932.0	7.931	7.931	7.931	1559.0	GigabitEthernet0/0	21504.0	30164.0
charlottesville	hinesville	IpWildcardIpSpace{ipWildcard=200.4.128.0/24}	unsat	4241	21925	6891.0	6891.0	6891.0	6.89	6.89	6.89	1582.0	GigabitEthernet0/0	21504.0	30164.0
