srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	unsat	518877	1734214	684891.0	684891.0	684891.0	684.89	684.89	684.89	1716.0	GigabitEthernet0/0	22624.0	31226.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	479035	1707057	755354.0	755354.0	755354.0	755.353	755.353	755.353	1647.0	GigabitEthernet0/0	22624.0	31226.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	289649	966006	376621.0	376621.0	376621.0	376.62	376.62	376.62	1563.0	GigabitEthernet0/0	22624.0	31226.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	unsat	867885	2797127	1437784.0	1437784.0	1437784.0	1437.783	1437.783	1437.783	1573.0	GigabitEthernet0/0	22624.0	31226.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	752164	2278870	1095614.0	1095614.0	1095614.0	1095.612	1095.612	1095.612	1526.0	GigabitEthernet0/0	22624.0	31226.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	unsat	984221	3080589	1699201.0	1699201.0	1699201.0	1699.201	1699.201	1699.201	1496.0	GigabitEthernet0/0	22624.0	31226.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	645185	2019498	997732.0	997732.0	997732.0	997.731	997.731	997.731	1303.0	GigabitEthernet0/0	22624.0	31226.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	unsat	830520	2455700	1209306.0	1209306.0	1209306.0	1209.305	1209.305	1209.305	1495.0	GigabitEthernet0/0	22624.0	31226.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	unsat	665365	2087110	980494.0	980494.0	980494.0	980.493	980.493	980.493	1662.0	GigabitEthernet0/0	22624.0	31226.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	678966	1974190	890963.0	890963.0	890963.0	890.962	890.962	890.962	1553.0	GigabitEthernet0/0	22624.0	31226.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	unsat	566672	1773127	881511.0	881511.0	881511.0	881.51	881.51	881.51	1568.0	GigabitEthernet0/0	22624.0	31226.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	478261	1539410	628661.0	628661.0	628661.0	628.66	628.66	628.66	1556.0	GigabitEthernet0/0	22624.0	31226.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	unsat	627266	2055828	851889.0	851889.0	851889.0	851.888	851.888	851.888	1535.0	GigabitEthernet0/0	22624.0	31226.0
