srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	202	710	1317.0	1317.0	1317.0	1.316	1.316	1.316	1655.0	GigabitEthernet0/0	22624.0	31226.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	202	1031	1320.0	1320.0	1320.0	1.319	1.319	1.319	1597.0	GigabitEthernet0/0	22624.0	31226.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	2434	60843	7367.0	7367.0	7367.0	7.366	7.366	7.366	1610.0	GigabitEthernet0/0	22624.0	31226.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	916	47812	6720.0	6720.0	6720.0	6.719	6.719	6.719	1577.0	GigabitEthernet0/0	22624.0	31226.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	953	1336.0	1336.0	1336.0	1.335	1.335	1.335	1541.0	GigabitEthernet0/0	22624.0	31226.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	202	879	1335.0	1335.0	1335.0	1.335	1.335	1.335	1562.0	GigabitEthernet0/0	22624.0	31226.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	202	1230	1318.0	1318.0	1318.0	1.317	1.317	1.317	1322.0	GigabitEthernet0/0	22624.0	31226.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	202	17834	2880.0	2880.0	2880.0	2.879	2.879	2.879	1685.0	GigabitEthernet0/0	22624.0	31226.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	202	2728	1365.0	1365.0	1365.0	1.364	1.364	1.364	1559.0	GigabitEthernet0/0	22624.0	31226.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	775	1399.0	1399.0	1399.0	1.398	1.398	1.398	1623.0	GigabitEthernet0/0	22624.0	31226.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	202	17831	2917.0	2917.0	2917.0	2.916	2.916	2.916	1535.0	GigabitEthernet0/0	22624.0	31226.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	202	955	1371.0	1371.0	1371.0	1.371	1.371	1.371	1535.0	GigabitEthernet0/0	22624.0	31226.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	202	1497	1379.0	1379.0	1379.0	1.378	1.378	1.378	1515.0	GigabitEthernet0/0	22624.0	31226.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	202	2322	1380.0	1380.0	1380.0	1.38	1.38	1.38	1483.0	GigabitEthernet0/0	22624.0	31226.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	202	776	1389.0	1389.0	1389.0	1.389	1.389	1.389	1665.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	202	3065	1399.0	1399.0	1399.0	1.398	1.398	1.398	1557.0	GigabitEthernet0/0	22624.0	31226.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	202	1264	1407.0	1407.0	1407.0	1.407	1.407	1.407	1532.0	GigabitEthernet0/0	22624.0	31226.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	202	707	1387.0	1387.0	1387.0	1.387	1.387	1.387	1655.0	GigabitEthernet0/0	22624.0	31226.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	202	17095	2925.0	2925.0	2925.0	2.924	2.924	2.924	1517.0	GigabitEthernet0/0	22624.0	31226.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	202	764	1443.0	1443.0	1443.0	1.442	1.442	1.442	1642.0	GigabitEthernet0/0	22624.0	31226.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	202	17281	2970.0	2970.0	2970.0	2.969	2.969	2.969	1525.0	GigabitEthernet0/0	22624.0	31226.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	202	2876	1424.0	1424.0	1424.0	1.424	1.424	1.424	1540.0	GigabitEthernet0/0	22624.0	31226.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	202	2512	1432.0	1432.0	1432.0	1.431	1.431	1.431	1470.0	GigabitEthernet0/0	22624.0	31226.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	202	17984	3008.0	3008.0	3008.0	3.008	3.008	3.008	1548.0	GigabitEthernet0/0	22624.0	31226.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	202	17268	3062.0	3062.0	3062.0	3.061	3.061	3.061	1550.0	GigabitEthernet0/0	22624.0	31226.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	202	1031	1396.0	1396.0	1396.0	1.395	1.395	1.395	1486.0	GigabitEthernet0/0	22624.0	31226.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	202	17983	2989.0	2989.0	2989.0	2.989	2.989	2.989	1521.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	202	3077	1452.0	1452.0	1452.0	1.452	1.452	1.452	1668.0	GigabitEthernet0/0	22624.0	31226.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	202	17571	2951.0	2951.0	2951.0	2.95	2.95	2.95	1501.0	GigabitEthernet0/0	22624.0	31226.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	202	17615	3021.0	3021.0	3021.0	3.02	3.02	3.02	1498.0	GigabitEthernet0/0	22624.0	31226.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	202	1628	1407.0	1407.0	1407.0	1.406	1.406	1.406	1512.0	GigabitEthernet0/0	22624.0	31226.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	202	1516	1421.0	1421.0	1421.0	1.42	1.42	1.42	1573.0	GigabitEthernet0/0	22624.0	31226.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	202	1476	1432.0	1432.0	1432.0	1.431	1.431	1.431	1514.0	GigabitEthernet0/0	22624.0	31226.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	202	17789	2948.0	2948.0	2948.0	2.947	2.947	2.947	1539.0	GigabitEthernet0/0	22624.0	31226.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	202	17857	2959.0	2959.0	2959.0	2.959	2.959	2.959	1492.0	GigabitEthernet0/0	22624.0	31226.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	203	17052	2915.0	2915.0	2915.0	2.914	2.914	2.914	1533.0	GigabitEthernet0/0	22624.0	31226.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	202	711	1400.0	1400.0	1400.0	1.399	1.399	1.399	1520.0	GigabitEthernet0/0	22624.0	31226.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	sat	202	17625	3050.0	3050.0	3050.0	3.05	3.05	3.05	1541.0	GigabitEthernet0/0	22624.0	31226.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	sat	202	17462	2971.0	2971.0	2971.0	2.971	2.971	2.971	1522.0	GigabitEthernet0/0	22624.0	31226.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	202	763	1410.0	1410.0	1410.0	1.409	1.409	1.409	1482.0	GigabitEthernet0/0	22624.0	31226.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	sat	202	17583	3076.0	3076.0	3076.0	3.075	3.075	3.075	1536.0	GigabitEthernet0/0	22624.0	31226.0
charlottesville	peerchester4	IpWildcardIpSpace{ipWildcard=200.4.134.0/24}	sat	202	1285	1414.0	1414.0	1414.0	1.413	1.413	1.413	1534.0	GigabitEthernet0/0	22624.0	31226.0
leesburgid143	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	1391	44811	6933.0	6933.0	6933.0	6.933	6.933	6.933	1553.0	GigabitEthernet0/0	22624.0	31226.0
blueridge	columbus	IpWildcardIpSpace{ipWildcard=200.4.167.0/24}	sat	202	1003	1665.0	1665.0	1665.0	1.665	1.665	1.665	1632.0	GigabitEthernet0/0	22624.0	31226.0
tallahassee	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	202	17693	3508.0	3508.0	3508.0	3.507	3.507	3.507	1591.0	GigabitEthernet0/0	22624.0	31226.0
kinston	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	202	1230	1693.0	1693.0	1693.0	1.692	1.692	1.692	1503.0	GigabitEthernet0/0	22624.0	31226.0
