srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	4607	24155	5623.0	5623.0	5623.0	5.623	5.623	5.623	1616.0	GigabitEthernet0/0	21504.0	30164.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	4506	22708	5986.0	5986.0	5986.0	5.986	5.986	5.986	1573.0	GigabitEthernet0/0	21504.0	30164.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4018	20435	5092.0	5092.0	5092.0	5.092	5.092	5.092	1511.0	GigabitEthernet0/0	21504.0	30164.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	5014	24032	6168.0	6168.0	6168.0	6.167	6.167	6.167	1574.0	GigabitEthernet0/0	21504.0	30164.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	4732	21530	5496.0	5496.0	5496.0	5.494	5.494	5.494	1520.0	GigabitEthernet0/0	21504.0	30164.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	5636	25848	7670.0	7670.0	7670.0	7.669	7.669	7.669	1507.0	GigabitEthernet0/0	21504.0	30164.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	3520	17149	5071.0	5071.0	5071.0	5.07	5.07	5.07	1256.0	GigabitEthernet0/0	20724.0	29150.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	4516	21576	5537.0	5537.0	5537.0	5.536	5.536	5.536	1601.0	GigabitEthernet0/0	21504.0	30164.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	5196	24515	7076.0	7076.0	7076.0	7.076	7.076	7.076	1525.0	GigabitEthernet0/0	21504.0	30164.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	3820	20651	4895.0	4895.0	4895.0	4.894	4.894	4.894	1526.0	GigabitEthernet0/0	21504.0	30164.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	3765	18707	5276.0	5276.0	5276.0	5.275	5.275	5.275	1533.0	GigabitEthernet0/0	21504.0	30164.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	5122	25633	6688.0	6688.0	6688.0	6.687	6.687	6.687	1532.0	GigabitEthernet0/0	21504.0	30164.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	4097	21629	5585.0	5585.0	5585.0	5.584	5.584	5.584	1527.0	GigabitEthernet0/0	21504.0	30164.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	3751	24022	5357.0	5357.0	5357.0	5.357	5.357	5.357	1517.0	GigabitEthernet0/0	21504.0	30164.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	4580	22090	5254.0	5254.0	5254.0	5.253	5.253	5.253	1656.0	GigabitEthernet0/0	21504.0	30164.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	4699	22295	6406.0	6406.0	6406.0	6.404	6.404	6.404	1518.0	GigabitEthernet0/0	21504.0	30164.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	4853	25161	6597.0	6597.0	6597.0	6.596	6.596	6.596	1521.0	GigabitEthernet0/0	21504.0	30164.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	4329	21382	5419.0	5419.0	5419.0	5.419	5.419	5.419	1632.0	GigabitEthernet0/0	21504.0	30164.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	4387	21156	5894.0	5894.0	5894.0	5.893	5.893	5.893	1575.0	GigabitEthernet0/0	21504.0	30164.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	4026	23239	5214.0	5214.0	5214.0	5.213	5.213	5.213	1563.0	GigabitEthernet0/0	21504.0	30164.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	3897	17470	6021.0	6021.0	6021.0	6.02	6.02	6.02	1506.0	GigabitEthernet0/0	21504.0	30164.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	5589	24207	7800.0	7800.0	7800.0	7.799	7.799	7.799	1495.0	GigabitEthernet0/0	21504.0	30164.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	4088	21880	5771.0	5771.0	5771.0	5.77	5.77	5.77	1528.0	GigabitEthernet0/0	21504.0	30164.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	3761	21879	5063.0	5063.0	5063.0	5.062	5.062	5.062	1515.0	GigabitEthernet0/0	21504.0	30164.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	5853	25309	7693.0	7693.0	7693.0	7.693	7.693	7.693	1510.0	GigabitEthernet0/0	21504.0	30164.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	3127	16344	4461.0	4461.0	4461.0	4.46	4.46	4.46	1533.0	GigabitEthernet0/0	21504.0	30164.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	4290	21588	5642.0	5642.0	5642.0	5.641	5.641	5.641	1497.0	GigabitEthernet0/0	21504.0	30164.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	4682	25320	6345.0	6345.0	6345.0	6.345	6.345	6.345	1538.0	GigabitEthernet0/0	21504.0	30164.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	4067	19527	5040.0	5040.0	5040.0	5.04	5.04	5.04	1519.0	GigabitEthernet0/0	21504.0	30164.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	3660	16174	4657.0	4657.0	4657.0	4.657	4.657	4.657	1505.0	GigabitEthernet0/0	21504.0	30164.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	4505	20929	5448.0	5448.0	5448.0	5.448	5.448	5.448	1471.0	GigabitEthernet0/0	21504.0	30164.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	4778	21550	6805.0	6805.0	6805.0	6.805	6.805	6.805	1541.0	GigabitEthernet0/0	21504.0	30164.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	4152	22688	5605.0	5605.0	5605.0	5.605	5.605	5.605	1578.0	GigabitEthernet0/0	21504.0	30164.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	4512	24672	6174.0	6174.0	6174.0	6.174	6.174	6.174	1544.0	GigabitEthernet0/0	21504.0	30164.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	4077	19902	5247.0	5247.0	5247.0	5.247	5.247	5.247	1493.0	GigabitEthernet0/0	21504.0	30164.0
