srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	8671	96942	11254.0	11254.0	11254.0	11.253	11.253	11.253	1718.0	GigabitEthernet0/0	22624.0	31226.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	24755	242422	35748.0	35748.0	35748.0	35.747	35.747	35.747	1689.0	GigabitEthernet0/0	22624.0	31226.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	18694	168344	23781.0	23781.0	23781.0	23.781	23.781	23.781	1604.0	GigabitEthernet0/0	22624.0	31226.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	14735	142631	20213.0	20213.0	20213.0	20.213	20.213	20.213	1535.0	GigabitEthernet0/0	22624.0	31226.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	24627	222333	34969.0	34969.0	34969.0	34.968	34.968	34.968	1673.0	GigabitEthernet0/0	22624.0	31226.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	11562	132223	15180.0	15180.0	15180.0	15.18	15.18	15.18	1507.0	GigabitEthernet0/0	22624.0	31226.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	19803	183704	29881.0	29881.0	29881.0	29.88	29.88	29.88	1303.0	GigabitEthernet0/0	22624.0	31226.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	12319	137822	20223.0	20223.0	20223.0	20.222	20.222	20.222	1690.0	GigabitEthernet0/0	22624.0	31226.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	18587	184283	27189.0	27189.0	27189.0	27.188	27.188	27.188	1477.0	GigabitEthernet0/0	22624.0	31226.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	14753	141413	20308.0	20308.0	20308.0	20.307	20.307	20.307	1482.0	GigabitEthernet0/0	22624.0	31226.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	15169	160249	20983.0	20983.0	20983.0	20.982	20.982	20.982	1525.0	GigabitEthernet0/0	22624.0	31226.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	12629	142538	19759.0	19759.0	19759.0	19.758	19.758	19.758	1477.0	GigabitEthernet0/0	22624.0	31226.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	8085	105309	13294.0	13294.0	13294.0	13.294	13.294	13.294	1505.0	GigabitEthernet0/0	22624.0	31226.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	13326	159962	21201.0	21201.0	21201.0	21.2	21.2	21.2	1488.0	GigabitEthernet0/0	22624.0	31226.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	14308	139950	19826.0	19826.0	19826.0	19.826	19.826	19.826	1584.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	9554	92541	12446.0	12446.0	12446.0	12.445	12.445	12.445	1497.0	GigabitEthernet0/0	22624.0	31226.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	14511	137407	20921.0	20921.0	20921.0	20.921	20.921	20.921	1467.0	GigabitEthernet0/0	22624.0	31226.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	17660	178071	26100.0	26100.0	26100.0	26.1	26.1	26.1	1618.0	GigabitEthernet0/0	22624.0	31226.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	18154	177962	27184.0	27184.0	27184.0	27.183	27.183	27.183	1724.0	GigabitEthernet0/0	22624.0	31226.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	5274	83162	7498.0	7498.0	7498.0	7.497	7.497	7.497	1587.0	GigabitEthernet0/0	22624.0	31226.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	16610	177568	27448.0	27448.0	27448.0	27.447	27.447	27.447	1482.0	GigabitEthernet0/0	22624.0	31226.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	10552	103163	14791.0	14791.0	14791.0	14.791	14.791	14.791	1482.0	GigabitEthernet0/0	22624.0	31226.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	22583	193698	33374.0	33374.0	33374.0	33.373	33.373	33.373	1531.0	GigabitEthernet0/0	22624.0	31226.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	10190	129686	15636.0	15636.0	15636.0	15.635	15.635	15.635	1507.0	GigabitEthernet0/0	22624.0	31226.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	15532	165659	23068.0	23068.0	23068.0	23.067	23.067	23.067	1504.0	GigabitEthernet0/0	22624.0	31226.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	22250	238189	37416.0	37416.0	37416.0	37.416	37.416	37.416	1487.0	GigabitEthernet0/0	22624.0	31226.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	16875	165519	22470.0	22470.0	22470.0	22.469	22.469	22.469	1476.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	12356	140866	18466.0	18466.0	18466.0	18.466	18.466	18.466	1535.0	GigabitEthernet0/0	22624.0	31226.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	13648	137249	18048.0	18048.0	18048.0	18.048	18.048	18.048	1506.0	GigabitEthernet0/0	22624.0	31226.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	7137	90920	10793.0	10793.0	10793.0	10.792	10.792	10.792	1524.0	GigabitEthernet0/0	22624.0	31226.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	13730	146238	19181.0	19181.0	19181.0	19.181	19.181	19.181	1474.0	GigabitEthernet0/0	22624.0	31226.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	13742	126412	18775.0	18775.0	18775.0	18.774	18.774	18.774	1518.0	GigabitEthernet0/0	22624.0	31226.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	14887	170207	26822.0	26822.0	26822.0	26.821	26.821	26.821	1492.0	GigabitEthernet0/0	22624.0	31226.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	11360	128510	16665.0	16665.0	16665.0	16.664	16.664	16.664	1520.0	GigabitEthernet0/0	22624.0	31226.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	14383	156957	21135.0	21135.0	21135.0	21.135	21.135	21.135	1518.0	GigabitEthernet0/0	22624.0	31226.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	18626	160418	28219.0	28219.0	28219.0	28.218	28.218	28.218	1477.0	GigabitEthernet0/0	22624.0	31226.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	13785	141108	20213.0	20213.0	20213.0	20.212	20.212	20.212	1499.0	GigabitEthernet0/0	22624.0	31226.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	sat	16591	171732	27499.0	27499.0	27499.0	27.499	27.499	27.499	1523.0	GigabitEthernet0/0	22624.0	31226.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	sat	23736	225628	37663.0	37663.0	37663.0	37.663	37.663	37.663	1472.0	GigabitEthernet0/0	22624.0	31226.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	2672	55619	4720.0	4720.0	4720.0	4.719	4.719	4.719	1481.0	GigabitEthernet0/0	22624.0	31226.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	sat	11702	135649	18471.0	18471.0	18471.0	18.471	18.471	18.471	1477.0	GigabitEthernet0/0	22624.0	31226.0
