srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	495	1726	199.0	199.0	199.0	0.196	0.196	0.196	256.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	782	1827	238.0	238.0	238.0	0.237	0.237	0.237	97.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	421	1175	201.0	201.0	201.0	0.201	0.201	0.201	90.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	324	964	169.0	169.0	169.0	0.168	0.168	0.168	88.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	373	1070	218.0	218.0	218.0	0.217	0.217	0.217	89.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	300	741	177.0	177.0	177.0	0.177	0.177	0.177	94.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	631	1516	227.0	227.0	227.0	0.226	0.226	0.226	86.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	332	1046	184.0	184.0	184.0	0.183	0.183	0.183	91.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	449	1298	205.0	205.0	205.0	0.205	0.205	0.205	88.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	427	975	194.0	194.0	194.0	0.193	0.193	0.193	89.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	630	1541	249.0	249.0	249.0	0.248	0.248	0.248	102.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	558	1622	251.0	251.0	251.0	0.25	0.25	0.25	119.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	1155	2682	303.0	303.0	303.0	0.302	0.302	0.302	92.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	655	1611	233.0	233.0	233.0	0.232	0.232	0.232	94.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	299	912	178.0	178.0	178.0	0.177	0.177	0.177	87.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	91	259	108.0	108.0	108.0	0.108	0.108	0.108	98.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	314	999	183.0	183.0	183.0	0.182	0.182	0.182	95.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	334	884	170.0	170.0	170.0	0.169	0.169	0.169	94.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	657	1736	225.0	225.0	225.0	0.224	0.224	0.224	103.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	485	1449	223.0	223.0	223.0	0.223	0.223	0.223	90.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	600	1862	253.0	253.0	253.0	0.252	0.252	0.252	82.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	738	1690	268.0	268.0	268.0	0.267	0.267	0.267	91.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	531	1583	235.0	235.0	235.0	0.234	0.234	0.234	79.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	298	750	163.0	163.0	163.0	0.163	0.163	0.163	92.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	677	1596	248.0	248.0	248.0	0.247	0.247	0.247	84.0	GigabitEthernet0/0	1496.0	3483.0
