srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	670	2273	249.0	249.0	249.0	0.249	0.249	0.249	148.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	661	2125	247.0	247.0	247.0	0.246	0.246	0.246	96.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	675	2019	222.0	222.0	222.0	0.221	0.221	0.221	87.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	589	2153	216.0	216.0	216.0	0.216	0.216	0.216	87.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	459	1547	204.0	204.0	204.0	0.204	0.204	0.204	85.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	408	1378	210.0	210.0	210.0	0.209	0.209	0.209	96.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	644	2034	218.0	218.0	218.0	0.217	0.217	0.217	82.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	612	2143	252.0	252.0	252.0	0.251	0.251	0.251	95.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	624	2396	234.0	234.0	234.0	0.233	0.233	0.233	91.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	594	2170	244.0	244.0	244.0	0.244	0.244	0.244	89.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	721	2688	283.0	283.0	283.0	0.282	0.282	0.282	115.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	681	2452	248.0	248.0	248.0	0.247	0.247	0.247	110.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	728	3156	280.0	280.0	280.0	0.28	0.28	0.28	91.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	628	2070	246.0	246.0	246.0	0.245	0.245	0.245	94.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	672	2394	232.0	232.0	232.0	0.231	0.231	0.231	86.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	156	597	120.0	120.0	120.0	0.12	0.12	0.12	96.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	502	1627	206.0	206.0	206.0	0.205	0.205	0.205	97.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	527	1892	216.0	216.0	216.0	0.215	0.215	0.215	94.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	812	2736	283.0	283.0	283.0	0.282	0.282	0.282	106.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	711	2050	239.0	239.0	239.0	0.238	0.238	0.238	87.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	571	1769	217.0	217.0	217.0	0.216	0.216	0.216	83.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	937	2907	339.0	339.0	339.0	0.338	0.338	0.338	89.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	485	1877	192.0	192.0	192.0	0.192	0.192	0.192	80.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	296	820	144.0	144.0	144.0	0.143	0.143	0.143	92.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	702	2724	270.0	270.0	270.0	0.269	0.269	0.269	83.0	GigabitEthernet0/0	1496.0	3483.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	607	2274	226.0	226.0	226.0	0.225	0.225	0.225	80.0	GigabitEthernet0/0	1496.0	3483.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	526	1981	218.0	218.0	218.0	0.218	0.218	0.218	85.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	827	2547	302.0	302.0	302.0	0.301	0.301	0.301	98.0	GigabitEthernet0/0	1496.0	3483.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	453	1960	203.0	203.0	203.0	0.203	0.203	0.203	96.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	761	2246	265.0	265.0	265.0	0.264	0.264	0.264	97.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	481	1494	191.0	191.0	191.0	0.19	0.19	0.19	97.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	421	1611	196.0	196.0	196.0	0.196	0.196	0.196	98.0	GigabitEthernet0/0	1496.0	3483.0
