srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	2	20	86.0	86.0	86.0	0.085	0.085	0.085	114.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	10	117	95.0	95.0	95.0	0.094	0.094	0.094	84.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	7	90	91.0	91.0	91.0	0.09	0.09	0.09	89.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	8	76	102.0	102.0	102.0	0.102	0.102	0.102	98.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	4	70	96.0	96.0	96.0	0.096	0.096	0.096	88.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	4	72	90.0	90.0	90.0	0.09	0.09	0.09	89.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	4	66	92.0	92.0	92.0	0.092	0.092	0.092	92.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	169	95.0	95.0	95.0	0.094	0.094	0.094	92.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	8	86	97.0	97.0	97.0	0.097	0.097	0.097	90.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	203	868	173.0	173.0	173.0	0.173	0.173	0.173	87.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	3	22	95.0	95.0	95.0	0.095	0.095	0.095	107.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	39	98.0	98.0	98.0	0.098	0.098	0.098	111.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	4	58	101.0	101.0	101.0	0.1	0.1	0.1	94.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	12	140	94.0	94.0	94.0	0.093	0.093	0.093	93.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	12	134	97.0	97.0	97.0	0.096	0.096	0.096	84.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	9	140	100.0	100.0	100.0	0.099	0.099	0.099	107.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	11	131	93.0	93.0	93.0	0.093	0.093	0.093	86.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	196	698	150.0	150.0	150.0	0.15	0.15	0.15	100.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	16	90.0	90.0	90.0	0.09	0.09	0.09	101.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	12	140	95.0	95.0	95.0	0.094	0.094	0.094	90.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	6	81	91.0	91.0	91.0	0.091	0.091	0.091	82.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	1	17	90.0	90.0	90.0	0.089	0.089	0.089	93.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	2	51	92.0	92.0	92.0	0.092	0.092	0.092	82.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	167	611	140.0	140.0	140.0	0.139	0.139	0.139	95.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	137	516	131.0	131.0	131.0	0.131	0.131	0.131	84.0	GigabitEthernet0/0	1496.0	3483.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	6	77	93.0	93.0	93.0	0.092	0.092	0.092	84.0	GigabitEthernet0/0	1496.0	3483.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	171	96.0	96.0	96.0	0.096	0.096	0.096	86.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	1	19	88.0	88.0	88.0	0.087	0.087	0.087	93.0	GigabitEthernet0/0	1496.0	3483.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	165	622	148.0	148.0	148.0	0.146	0.146	0.146	91.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	4	58	95.0	95.0	95.0	0.095	0.095	0.095	99.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	2	62	92.0	92.0	92.0	0.091	0.091	0.091	97.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	0	42	92.0	92.0	92.0	0.091	0.091	0.091	96.0	GigabitEthernet0/0	1496.0	3483.0
