srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	362	1483	164.0	164.0	164.0	0.163	0.163	0.163	109.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	719	2730	247.0	247.0	247.0	0.246	0.246	0.246	84.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	629	1980	230.0	230.0	230.0	0.229	0.229	0.229	131.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	518	2246	226.0	226.0	226.0	0.224	0.224	0.224	96.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	644	2153	248.0	248.0	248.0	0.247	0.247	0.247	86.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	525	1909	239.0	239.0	239.0	0.239	0.239	0.239	89.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	509	1895	224.0	224.0	224.0	0.223	0.223	0.223	89.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	507	1992	195.0	195.0	195.0	0.194	0.194	0.194	169.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	510	2169	238.0	238.0	238.0	0.237	0.237	0.237	92.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	503	1815	231.0	231.0	231.0	0.231	0.231	0.231	88.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	347	2222	179.0	179.0	179.0	0.179	0.179	0.179	110.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	622	2367	268.0	268.0	268.0	0.267	0.267	0.267	132.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	620	1909	225.0	225.0	225.0	0.224	0.224	0.224	91.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	535	1991	198.0	198.0	198.0	0.197	0.197	0.197	93.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	595	2440	241.0	241.0	241.0	0.24	0.24	0.24	84.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	498	1819	217.0	217.0	217.0	0.216	0.216	0.216	109.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	638	2470	257.0	257.0	257.0	0.257	0.257	0.257	91.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	519	2147	228.0	228.0	228.0	0.227	0.227	0.227	102.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	228	1757	128.0	128.0	128.0	0.127	0.127	0.127	100.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	394	1665	188.0	188.0	188.0	0.187	0.187	0.187	93.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	580	2228	231.0	231.0	231.0	0.23	0.23	0.23	80.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	618	2204	233.0	233.0	233.0	0.231	0.231	0.231	91.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	759	2759	277.0	277.0	277.0	0.276	0.276	0.276	81.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	503	1973	227.0	227.0	227.0	0.227	0.227	0.227	91.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	558	2034	234.0	234.0	234.0	0.233	0.233	0.233	84.0	GigabitEthernet0/0	1496.0	3483.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	656	2651	273.0	273.0	273.0	0.272	0.272	0.272	99.0	GigabitEthernet0/0	1496.0	3483.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	453	1760	191.0	191.0	191.0	0.191	0.191	0.191	85.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	259	815	140.0	140.0	140.0	0.139	0.139	0.139	92.0	GigabitEthernet0/0	1496.0	3483.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	504	1886	225.0	225.0	225.0	0.224	0.224	0.224	92.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	390	1256	178.0	178.0	178.0	0.177	0.177	0.177	99.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	506	1980	210.0	210.0	210.0	0.21	0.21	0.21	96.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	391	2101	197.0	197.0	197.0	0.196	0.196	0.196	97.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	572	1852	221.0	221.0	221.0	0.22	0.22	0.22	84.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	857	2418	288.0	288.0	288.0	0.287	0.287	0.287	81.0	GigabitEthernet0/0	1496.0	3483.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	299	2077	147.0	147.0	147.0	0.147	0.147	0.147	98.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	276	1643	148.0	148.0	148.0	0.147	0.147	0.147	90.0	GigabitEthernet0/0	1496.0	3483.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	657	2148	254.0	254.0	254.0	0.253	0.253	0.253	81.0	GigabitEthernet0/0	1496.0	3483.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	538	2461	217.0	217.0	217.0	0.216	0.216	0.216	97.0	GigabitEthernet0/0	1496.0	3483.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	534	2318	219.0	219.0	219.0	0.218	0.218	0.218	96.0	GigabitEthernet0/0	1496.0	3483.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	164	1478	123.0	123.0	123.0	0.122	0.122	0.122	104.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	560	2009	235.0	235.0	235.0	0.234	0.234	0.234	89.0	GigabitEthernet0/0	1496.0	3483.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	662	2127	247.0	247.0	247.0	0.247	0.247	0.247	82.0	GigabitEthernet0/0	1496.0	3483.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	573	2331	254.0	254.0	254.0	0.253	0.253	0.253	83.0	GigabitEthernet0/0	1496.0	3483.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	519	2071	229.0	229.0	229.0	0.228	0.228	0.228	86.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	463	1725	198.0	198.0	198.0	0.197	0.197	0.197	82.0	GigabitEthernet0/0	1496.0	3483.0
novattgorica	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	686	2666	264.0	264.0	264.0	0.264	0.264	0.264	85.0	GigabitEthernet0/0	1496.0	3483.0
radenci	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	698	2947	264.0	264.0	264.0	0.264	0.264	0.264	82.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	490	1664	204.0	204.0	204.0	0.203	0.203	0.203	87.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	postojna	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	665	2182	259.0	259.0	259.0	0.258	0.258	0.258	82.0	GigabitEthernet0/0	1496.0	3483.0
ravnettnattkoroskem	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	591	2101	232.0	232.0	232.0	0.232	0.232	0.232	84.0	GigabitEthernet0/0	1496.0	3483.0
