srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1840	3442	786.0	786.0	786.0	0.784	0.784	0.784	254.0	GigabitEthernet0/0	2022.0	4692.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1147	3510	460.0	460.0	460.0	0.459	0.459	0.459	118.0	GigabitEthernet0/0	2022.0	4692.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	918	2370	482.0	482.0	482.0	0.482	0.482	0.482	145.0	GigabitEthernet0/0	2022.0	4692.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1296	3152	550.0	550.0	550.0	0.549	0.549	0.549	108.0	GigabitEthernet0/0	2022.0	4692.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	886	2000	436.0	436.0	436.0	0.434	0.434	0.434	106.0	GigabitEthernet0/0	2022.0	4692.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1185	2734	512.0	512.0	512.0	0.511	0.511	0.511	116.0	GigabitEthernet0/0	2022.0	4692.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	1281	2652	507.0	507.0	507.0	0.506	0.506	0.506	124.0	GigabitEthernet0/0	2022.0	4692.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	874	2245	484.0	484.0	484.0	0.483	0.483	0.483	115.0	GigabitEthernet0/0	2022.0	4692.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1217	2648	532.0	532.0	532.0	0.531	0.531	0.531	120.0	GigabitEthernet0/0	2022.0	4692.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	980	2047	432.0	432.0	432.0	0.431	0.431	0.431	104.0	GigabitEthernet0/0	2022.0	4692.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	1317	4320	637.0	637.0	637.0	0.636	0.636	0.636	123.0	GigabitEthernet0/0	2022.0	4692.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	1616	3948	675.0	675.0	675.0	0.674	0.674	0.674	120.0	GigabitEthernet0/0	2022.0	4692.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	994	3051	535.0	535.0	535.0	0.534	0.534	0.534	130.0	GigabitEthernet0/0	2022.0	4692.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	797	1645	406.0	406.0	406.0	0.406	0.406	0.406	121.0	GigabitEthernet0/0	2022.0	4692.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	1161	2950	483.0	483.0	483.0	0.482	0.482	0.482	121.0	GigabitEthernet0/0	2022.0	4692.0
