srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	61041	104690	20223.0	20223.0	20223.0	20.223	20.223	20.223	168.0	GigabitEthernet0/0	2086.0	4724.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	74446	146049	27495.0	27495.0	27495.0	27.494	27.494	27.494	124.0	GigabitEthernet0/0	2086.0	4724.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	53187	106197	20495.0	20495.0	20495.0	20.494	20.494	20.494	138.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	27743	68102	9634.0	9634.0	9634.0	9.633	9.633	9.633	111.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	71057	185317	28263.0	28263.0	28263.0	28.262	28.262	28.262	106.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	67432	123696	22675.0	22675.0	22675.0	22.674	22.674	22.674	117.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	45861	101622	17771.0	17771.0	17771.0	17.77	17.77	17.77	115.0	GigabitEthernet0/0	2086.0	4724.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	41960	98280	15950.0	15950.0	15950.0	15.949	15.949	15.949	115.0	GigabitEthernet0/0	2086.0	4724.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	57582	103330	19833.0	19833.0	19833.0	19.832	19.832	19.832	122.0	GigabitEthernet0/0	2086.0	4724.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	96182	179234	34763.0	34763.0	34763.0	34.762	34.762	34.762	106.0	GigabitEthernet0/0	2086.0	4724.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	41372	120409	16978.0	16978.0	16978.0	16.978	16.978	16.978	127.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	79098	217320	31019.0	31019.0	31019.0	31.018	31.018	31.018	123.0	GigabitEthernet0/0	2086.0	4724.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	43475	103805	18609.0	18609.0	18609.0	18.609	18.609	18.609	130.0	GigabitEthernet0/0	2086.0	4724.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	54922	101247	22059.0	22059.0	22059.0	22.058	22.058	22.058	125.0	GigabitEthernet0/0	2086.0	4724.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	43015	84804	17185.0	17185.0	17185.0	17.184	17.184	17.184	116.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	unsat	35262	80976	13148.0	13148.0	13148.0	13.147	13.147	13.147	111.0	GigabitEthernet0/0	2086.0	4724.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	56909	106837	18736.0	18736.0	18736.0	18.736	18.736	18.736	124.0	GigabitEthernet0/0	2086.0	4724.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	59380	138787	23730.0	23730.0	23730.0	23.729	23.729	23.729	112.0	GigabitEthernet0/0	2086.0	4724.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	114688	308214	45823.0	45823.0	45823.0	45.822	45.822	45.822	105.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	110961	322215	45230.0	45230.0	45230.0	45.229	45.229	45.229	113.0	GigabitEthernet0/0	2086.0	4724.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	55270	109439	19485.0	19485.0	19485.0	19.484	19.484	19.484	126.0	GigabitEthernet0/0	2086.0	4724.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	47114	94762	16943.0	16943.0	16943.0	16.943	16.943	16.943	107.0	GigabitEthernet0/0	2086.0	4724.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	52527	148078	20236.0	20236.0	20236.0	20.236	20.236	20.236	121.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	unsat	32634	93381	12898.0	12898.0	12898.0	12.897	12.897	12.897	125.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	53972	149168	20911.0	20911.0	20911.0	20.911	20.911	20.911	114.0	GigabitEthernet0/0	2086.0	4724.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	63742	126967	24360.0	24360.0	24360.0	24.359	24.359	24.359	129.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	unsat	53574	140540	21344.0	21344.0	21344.0	21.344	21.344	21.344	111.0	GigabitEthernet0/0	2086.0	4724.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	unsat	70527	156672	26445.0	26445.0	26445.0	26.444	26.444	26.444	113.0	GigabitEthernet0/0	2086.0	4724.0
