srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1144	4071	559.0	559.0	559.0	0.558	0.558	0.558	172.0	GigabitEthernet0/0	2022.0	4692.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1400	4206	403.0	403.0	403.0	0.402	0.402	0.402	121.0	GigabitEthernet0/0	2022.0	4692.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	1151	3626	535.0	535.0	535.0	0.534	0.534	0.534	141.0	GigabitEthernet0/0	2022.0	4692.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1209	4196	484.0	484.0	484.0	0.483	0.483	0.483	108.0	GigabitEthernet0/0	2022.0	4692.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	1029	3421	431.0	431.0	431.0	0.43	0.43	0.43	108.0	GigabitEthernet0/0	2022.0	4692.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1039	3424	431.0	431.0	431.0	0.43	0.43	0.43	116.0	GigabitEthernet0/0	2022.0	4692.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	764	2536	397.0	397.0	397.0	0.396	0.396	0.396	121.0	GigabitEthernet0/0	2022.0	4692.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	898	2856	400.0	400.0	400.0	0.398	0.398	0.398	114.0	GigabitEthernet0/0	2022.0	4692.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1138	3563	444.0	444.0	444.0	0.444	0.444	0.444	118.0	GigabitEthernet0/0	2022.0	4692.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	1226	3998	452.0	452.0	452.0	0.451	0.451	0.451	106.0	GigabitEthernet0/0	2022.0	4692.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	854	2630	401.0	401.0	401.0	0.401	0.401	0.401	124.0	GigabitEthernet0/0	2022.0	4692.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	1044	3589	434.0	434.0	434.0	0.433	0.433	0.433	123.0	GigabitEthernet0/0	2022.0	4692.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	1055	3837	472.0	472.0	472.0	0.471	0.471	0.471	126.0	GigabitEthernet0/0	2022.0	4692.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	1175	3430	467.0	467.0	467.0	0.466	0.466	0.466	143.0	GigabitEthernet0/0	2022.0	4692.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	1060	3389	480.0	480.0	480.0	0.48	0.48	0.48	117.0	GigabitEthernet0/0	2022.0	4692.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	unsat	1042	3771	430.0	430.0	430.0	0.43	0.43	0.43	128.0	GigabitEthernet0/0	2022.0	4692.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	1075	3363	458.0	458.0	458.0	0.458	0.458	0.458	126.0	GigabitEthernet0/0	2022.0	4692.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	1154	3847	463.0	463.0	463.0	0.462	0.462	0.462	106.0	GigabitEthernet0/0	2022.0	4692.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	906	3106	423.0	423.0	423.0	0.423	0.423	0.423	104.0	GigabitEthernet0/0	2022.0	4692.0
