srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	22694	32724	9649.0	9649.0	9649.0	9.648	9.648	9.648	125.0	GigabitEthernet0/0	2086.0	4724.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	20405	28564	7701.0	7701.0	7701.0	7.701	7.701	7.701	127.0	GigabitEthernet0/0	2086.0	4724.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	26930	36616	13187.0	13187.0	13187.0	13.186	13.186	13.186	117.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	19512	28994	8866.0	8866.0	8866.0	8.865	8.865	8.865	112.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	21741	30279	9198.0	9198.0	9198.0	9.197	9.197	9.197	172.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	17622	26681	8587.0	8587.0	8587.0	8.587	8.587	8.587	118.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	9928	16259	4211.0	4211.0	4211.0	4.21	4.21	4.21	131.0	GigabitEthernet0/0	2086.0	4724.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	20823	30104	8418.0	8418.0	8418.0	8.418	8.418	8.418	113.0	GigabitEthernet0/0	2086.0	4724.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	23276	32911	12015.0	12015.0	12015.0	12.015	12.015	12.015	117.0	GigabitEthernet0/0	2086.0	4724.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	19814	27081	8336.0	8336.0	8336.0	8.335	8.335	8.335	124.0	GigabitEthernet0/0	2086.0	4724.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	16193	24295	6733.0	6733.0	6733.0	6.733	6.733	6.733	126.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	15059	22043	6768.0	6768.0	6768.0	6.767	6.767	6.767	128.0	GigabitEthernet0/0	2086.0	4724.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	20717	29656	10046.0	10046.0	10046.0	10.046	10.046	10.046	131.0	GigabitEthernet0/0	2086.0	4724.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	21175	30952	9799.0	9799.0	9799.0	9.798	9.798	9.798	110.0	GigabitEthernet0/0	2086.0	4724.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	14780	22202	6594.0	6594.0	6594.0	6.593	6.593	6.593	115.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	unsat	19596	29017	8515.0	8515.0	8515.0	8.515	8.515	8.515	124.0	GigabitEthernet0/0	2086.0	4724.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	unsat	15686	24648	6182.0	6182.0	6182.0	6.181	6.181	6.181	119.0	GigabitEthernet0/0	2086.0	4724.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	unsat	24401	34045	11852.0	11852.0	11852.0	11.851	11.851	11.851	108.0	GigabitEthernet0/0	2086.0	4724.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	25350	36502	12306.0	12306.0	12306.0	12.306	12.306	12.306	115.0	GigabitEthernet0/0	2086.0	4724.0
