srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	0	10	123.0	123.0	123.0	0.122	0.122	0.122	123.0	GigabitEthernet0/0	2086.0	4724.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	0	68	126.0	126.0	126.0	0.126	0.126	0.126	156.0	GigabitEthernet0/0	2086.0	4724.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	0	68	124.0	124.0	124.0	0.123	0.123	0.123	113.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	0	69	123.0	123.0	123.0	0.122	0.122	0.122	114.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	0	68	125.0	125.0	125.0	0.124	0.124	0.124	108.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	129.0	129.0	129.0	0.128	0.128	0.128	121.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	0	11	128.0	128.0	128.0	0.127	0.127	0.127	114.0	GigabitEthernet0/0	2086.0	4724.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	0	68	128.0	128.0	128.0	0.127	0.127	0.127	113.0	GigabitEthernet0/0	2086.0	4724.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	128.0	128.0	128.0	0.127	0.127	0.127	115.0	GigabitEthernet0/0	2086.0	4724.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	0	68	128.0	128.0	128.0	0.127	0.127	0.127	110.0	GigabitEthernet0/0	2086.0	4724.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	0	13	128.0	128.0	128.0	0.127	0.127	0.127	124.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	0	10	130.0	130.0	130.0	0.13	0.13	0.13	123.0	GigabitEthernet0/0	2086.0	4724.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	146	947	208.0	208.0	208.0	0.207	0.207	0.207	126.0	GigabitEthernet0/0	2086.0	4724.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	0	69	128.0	128.0	128.0	0.127	0.127	0.127	110.0	GigabitEthernet0/0	2086.0	4724.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	0	13	139.0	139.0	139.0	0.138	0.138	0.138	127.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	0	68	124.0	124.0	124.0	0.123	0.123	0.123	106.0	GigabitEthernet0/0	2086.0	4724.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	161	970	199.0	199.0	199.0	0.198	0.198	0.198	122.0	GigabitEthernet0/0	2086.0	4724.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	0	68	128.0	128.0	128.0	0.127	0.127	0.127	116.0	GigabitEthernet0/0	2086.0	4724.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	0	10	129.0	129.0	129.0	0.129	0.129	0.129	112.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	0	10	131.0	131.0	131.0	0.13	0.13	0.13	111.0	GigabitEthernet0/0	2086.0	4724.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	177	1121	212.0	212.0	212.0	0.211	0.211	0.211	128.0	GigabitEthernet0/0	2086.0	4724.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	0	68	127.0	127.0	127.0	0.127	0.127	0.127	110.0	GigabitEthernet0/0	2086.0	4724.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	357	1534	266.0	266.0	266.0	0.266	0.266	0.266	117.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	336	1470	261.0	261.0	261.0	0.26	0.26	0.26	122.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	0	12	125.0	125.0	125.0	0.124	0.124	0.124	116.0	GigabitEthernet0/0	2086.0	4724.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	161	962	202.0	202.0	202.0	0.201	0.201	0.201	129.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	0	68	127.0	127.0	127.0	0.127	0.127	0.127	118.0	GigabitEthernet0/0	2086.0	4724.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	0	68	125.0	125.0	125.0	0.123	0.123	0.123	108.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	0	69	127.0	127.0	127.0	0.126	0.126	0.126	108.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	0	68	124.0	124.0	124.0	0.124	0.124	0.124	109.0	GigabitEthernet0/0	2086.0	4724.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	sat	0	10	138.0	138.0	138.0	0.137	0.137	0.137	127.0	GigabitEthernet0/0	2086.0	4724.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	0	68	125.0	125.0	125.0	0.125	0.125	0.125	107.0	GigabitEthernet0/0	2086.0	4724.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	0	69	126.0	126.0	126.0	0.125	0.125	0.125	108.0	GigabitEthernet0/0	2086.0	4724.0
kiev	paris	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	25	224	147.0	147.0	147.0	0.146	0.146	0.146	121.0	GigabitEthernet0/0	2086.0	4724.0
amsterdam	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	sat	0	68	133.0	133.0	133.0	0.133	0.133	0.133	118.0	GigabitEthernet0/0	2086.0	4724.0
peermarseille12	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	0	11	127.0	127.0	127.0	0.126	0.126	0.126	109.0	GigabitEthernet0/0	2086.0	4724.0
rotterdam	peerbrussels6	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	0	68	124.0	124.0	124.0	0.123	0.123	0.123	118.0	GigabitEthernet0/0	2086.0	4724.0
london	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	0	69	124.0	124.0	124.0	0.124	0.124	0.124	125.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	0	68	129.0	129.0	129.0	0.128	0.128	0.128	120.0	GigabitEthernet0/0	2086.0	4724.0
warsaw	peeramsterdam0	IpWildcardIpSpace{ipWildcard=200.1.57.0/24}	sat	0	68	125.0	125.0	125.0	0.125	0.125	0.125	120.0	GigabitEthernet0/0	2086.0	4724.0
peerkiev11	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	0	9	125.0	125.0	125.0	0.124	0.124	0.124	125.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	budapest	IpWildcardIpSpace{ipWildcard=200.1.38.0/24}	sat	0	9	127.0	127.0	127.0	0.126	0.126	0.126	122.0	GigabitEthernet0/0	2086.0	4724.0
vienna	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	425	1808	309.0	309.0	309.0	0.308	0.308	0.308	137.0	GigabitEthernet0/0	2086.0	4724.0
bucharest	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	0	68	136.0	136.0	136.0	0.136	0.136	0.136	125.0	GigabitEthernet0/0	2086.0	4724.0
stockholm	frankfurt	IpWildcardIpSpace{ipWildcard=200.1.53.0/24}	sat	509	3545	381.0	381.0	381.0	0.381	0.381	0.381	118.0	GigabitEthernet0/0	2086.0	4724.0
peermarseille13	lyon	IpWildcardIpSpace{ipWildcard=200.1.49.0/24}	sat	0	15	125.0	125.0	125.0	0.124	0.124	0.124	106.0	GigabitEthernet0/0	2086.0	4724.0
london	madrid	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	0	68	130.0	130.0	130.0	0.13	0.13	0.13	126.0	GigabitEthernet0/0	2086.0	4724.0
peeramsterdam0	stockholm	IpWildcardIpSpace{ipWildcard=200.1.33.0/24}	sat	0	68	127.0	127.0	127.0	0.126	0.126	0.126	110.0	GigabitEthernet0/0	2086.0	4724.0
warsaw	milan	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	5042	19848	2288.0	2288.0	2288.0	2.287	2.287	2.287	114.0	GigabitEthernet0/0	2086.0	4724.0
paris	peerfrankfurt7	IpWildcardIpSpace{ipWildcard=200.1.27.0/24}	sat	0	68	126.0	126.0	126.0	0.125	0.125	0.125	113.0	GigabitEthernet0/0	2086.0	4724.0
