srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	7284	37113	8968.0	8968.0	8968.0	8.967	8.967	8.967	469.0	GigabitEthernet0/0	7820.0	18325.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	unsat	8253	39825	10213.0	10213.0	10213.0	10.212	10.212	10.212	435.0	GigabitEthernet0/0	7820.0	18325.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	unsat	6340	30999	8583.0	8583.0	8583.0	8.583	8.583	8.583	418.0	GigabitEthernet0/0	7820.0	18325.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	unsat	7619	37494	8996.0	8996.0	8996.0	8.994	8.994	8.994	435.0	GigabitEthernet0/0	7820.0	18325.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	8420	39199	9471.0	9471.0	9471.0	9.47	9.47	9.47	501.0	GigabitEthernet0/0	7820.0	18325.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	unsat	7822	35466	9262.0	9262.0	9262.0	9.261	9.261	9.261	491.0	GigabitEthernet0/0	7820.0	18325.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	8900	44359	11183.0	11183.0	11183.0	11.182	11.182	11.182	420.0	GigabitEthernet0/0	7820.0	18325.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	unsat	9442	45684	10975.0	10975.0	10975.0	10.975	10.975	10.975	416.0	GigabitEthernet0/0	7820.0	18325.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	6937	40346	8142.0	8142.0	8142.0	8.14	8.14	8.14	420.0	GigabitEthernet0/0	7820.0	18325.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	8499	37981	10902.0	10902.0	10902.0	10.901	10.901	10.901	415.0	GigabitEthernet0/0	7820.0	18325.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	7354	34769	8805.0	8805.0	8805.0	8.805	8.805	8.805	419.0	GigabitEthernet0/0	7820.0	18325.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	8116	36672	10156.0	10156.0	10156.0	10.155	10.155	10.155	418.0	GigabitEthernet0/0	7820.0	18325.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	6547	33129	7371.0	7371.0	7371.0	7.37	7.37	7.37	420.0	GigabitEthernet0/0	7820.0	18325.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	7882	40913	9704.0	9704.0	9704.0	9.703	9.703	9.703	406.0	GigabitEthernet0/0	7820.0	18325.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	8415	40766	10459.0	10459.0	10459.0	10.459	10.459	10.459	393.0	GigabitEthernet0/0	7820.0	18325.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	9387	44247	10640.0	10640.0	10640.0	10.64	10.64	10.64	445.0	GigabitEthernet0/0	7820.0	18325.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	9519	44803	12993.0	12993.0	12993.0	12.993	12.993	12.993	390.0	GigabitEthernet0/0	7820.0	18325.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	8380	42347	10811.0	10811.0	10811.0	10.811	10.811	10.811	403.0	GigabitEthernet0/0	7820.0	18325.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	6600	29742	8531.0	8531.0	8531.0	8.531	8.531	8.531	392.0	GigabitEthernet0/0	7820.0	18325.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	7560	37661	8743.0	8743.0	8743.0	8.742	8.742	8.742	403.0	GigabitEthernet0/0	7820.0	18325.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	8856	42537	10991.0	10991.0	10991.0	10.99	10.99	10.99	385.0	GigabitEthernet0/0	7820.0	18325.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	unsat	6741	31540	9102.0	9102.0	9102.0	9.1	9.1	9.1	400.0	GigabitEthernet0/0	7820.0	18325.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	unsat	5763	27470	7374.0	7374.0	7374.0	7.373	7.373	7.373	398.0	GigabitEthernet0/0	7820.0	18325.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	7173	36689	7759.0	7759.0	7759.0	7.757	7.757	7.757	400.0	GigabitEthernet0/0	7820.0	18325.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	unsat	8177	35850	9533.0	9533.0	9533.0	9.532	9.532	9.532	391.0	GigabitEthernet0/0	7820.0	18325.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	9337	42827	10944.0	10944.0	10944.0	10.943	10.943	10.943	391.0	GigabitEthernet0/0	7820.0	18325.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	unsat	10929	45360	13490.0	13490.0	13490.0	13.489	13.489	13.489	385.0	GigabitEthernet0/0	7820.0	18325.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	unsat	11157	42982	15574.0	15574.0	15574.0	15.573	15.573	15.573	393.0	GigabitEthernet0/0	7820.0	18325.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	7942	36013	10267.0	10267.0	10267.0	10.266	10.266	10.266	460.0	GigabitEthernet0/0	7820.0	18325.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	unsat	7438	37869	9757.0	9757.0	9757.0	9.756	9.756	9.756	431.0	GigabitEthernet0/0	7820.0	18325.0
mainzdashwiesbaden	santtdiego	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	9405	45823	11928.0	11928.0	11928.0	11.927	11.927	11.927	393.0	GigabitEthernet0/0	7820.0	18325.0
hamburg	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	7422	34399	8530.0	8530.0	8530.0	8.53	8.53	8.53	466.0	GigabitEthernet0/0	7820.0	18325.0
berlin	logrono	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	unsat	7539	35391	10188.0	10188.0	10188.0	10.187	10.187	10.187	386.0	GigabitEthernet0/0	7820.0	18325.0
milwaukee	rome	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	unsat	8756	33796	12502.0	12502.0	12502.0	12.501	12.501	12.501	395.0	GigabitEthernet0/0	7820.0	18325.0
porto	portland	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	unsat	7552	39993	9650.0	9650.0	9650.0	9.649	9.649	9.649	385.0	GigabitEthernet0/0	7820.0	18325.0
minneapolis	kapitanttandreevo	IpWildcardIpSpace{ipWildcard=200.0.78.0/24}	unsat	16590	58238	23620.0	23620.0	23620.0	23.619	23.619	23.619	496.0	GigabitEthernet0/0	7820.0	18325.0
nodeid149	atlanta	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	6137	28972	7321.0	7321.0	7321.0	7.32	7.32	7.32	391.0	GigabitEthernet0/0	7820.0	18325.0
avila	vigo	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	7621	37208	9647.0	9647.0	9647.0	9.647	9.647	9.647	387.0	GigabitEthernet0/0	7820.0	18325.0
dallas	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	unsat	12458	55415	16018.0	16018.0	16018.0	16.017	16.017	16.017	385.0	GigabitEthernet0/0	7820.0	18325.0
coimbra	mainzdashwiesbaden	IpWildcardIpSpace{ipWildcard=200.0.97.0/24}	unsat	7739	38683	9071.0	9071.0	9071.0	9.07	9.07	9.07	377.0	GigabitEthernet0/0	7820.0	18325.0
