srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	44152	398801	63988.0	63988.0	63988.0	63.987	63.987	63.987	460.0	GigabitEthernet0/0	7820.0	17883.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	6606	87734	5850.0	5850.0	5850.0	5.85	5.85	5.85	419.0	GigabitEthernet0/0	7820.0	17883.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	59105	490310	85710.0	85710.0	85710.0	85.71	85.71	85.71	412.0	GigabitEthernet0/0	7820.0	17883.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	43813	400111	61375.0	61375.0	61375.0	61.375	61.375	61.375	404.0	GigabitEthernet0/0	7820.0	17883.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	5563	96688	6985.0	6985.0	6985.0	6.984	6.984	6.984	475.0	GigabitEthernet0/0	7820.0	17883.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	69049	568960	92177.0	92177.0	92177.0	92.176	92.176	92.176	428.0	GigabitEthernet0/0	7820.0	17883.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	93365	699702	131407.0	131407.0	131407.0	131.406	131.406	131.406	400.0	GigabitEthernet0/0	7820.0	17883.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	81157	605132	110531.0	110531.0	110531.0	110.53	110.53	110.53	391.0	GigabitEthernet0/0	7820.0	17883.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	8845	116640	10991.0	10991.0	10991.0	10.99	10.99	10.99	411.0	GigabitEthernet0/0	7820.0	17883.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	70131	544833	100977.0	100977.0	100977.0	100.976	100.976	100.976	388.0	GigabitEthernet0/0	7820.0	17883.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	65328	516018	93502.0	93502.0	93502.0	93.502	93.502	93.502	388.0	GigabitEthernet0/0	7820.0	17883.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	24675	215415	28503.0	28503.0	28503.0	28.502	28.502	28.502	402.0	GigabitEthernet0/0	7820.0	17883.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	13585	156343	15249.0	15249.0	15249.0	15.248	15.248	15.248	387.0	GigabitEthernet0/0	7820.0	17883.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	7574	89394	7685.0	7685.0	7685.0	7.684	7.684	7.684	376.0	GigabitEthernet0/0	7820.0	17883.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	63069	515338	88508.0	88508.0	88508.0	88.507	88.507	88.507	384.0	GigabitEthernet0/0	7820.0	17883.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	92626	652032	141899.0	141899.0	141899.0	141.898	141.898	141.898	385.0	GigabitEthernet0/0	7820.0	17883.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	64676	555251	96308.0	96308.0	96308.0	96.307	96.307	96.307	385.0	GigabitEthernet0/0	7820.0	17883.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	94258	753517	154883.0	154883.0	154883.0	154.882	154.882	154.882	395.0	GigabitEthernet0/0	7820.0	17883.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	21566	208176	23248.0	23248.0	23248.0	23.247	23.247	23.247	388.0	GigabitEthernet0/0	7820.0	17883.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	73170	512368	94340.0	94340.0	94340.0	94.34	94.34	94.34	385.0	GigabitEthernet0/0	7820.0	17883.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	26057	248491	32630.0	32630.0	32630.0	32.629	32.629	32.629	370.0	GigabitEthernet0/0	7820.0	17883.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	106168	750406	157527.0	157527.0	157527.0	157.526	157.526	157.526	389.0	GigabitEthernet0/0	7820.0	17883.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	sat	84375	640476	110180.0	110180.0	110180.0	110.179	110.179	110.179	405.0	GigabitEthernet0/0	7820.0	17883.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	41163	354007	56197.0	56197.0	56197.0	56.196	56.196	56.196	397.0	GigabitEthernet0/0	7820.0	17883.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	sat	16523	165340	18778.0	18778.0	18778.0	18.777	18.777	18.777	399.0	GigabitEthernet0/0	7820.0	17883.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	47604	440956	65360.0	65360.0	65360.0	65.36	65.36	65.36	382.0	GigabitEthernet0/0	7820.0	17883.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	sat	62750	500715	89924.0	89924.0	89924.0	89.924	89.924	89.924	372.0	GigabitEthernet0/0	7820.0	17883.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	5734	96523	7189.0	7189.0	7189.0	7.188	7.188	7.188	382.0	GigabitEthernet0/0	7820.0	17883.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	sat	27758	259971	36220.0	36220.0	36220.0	36.22	36.22	36.22	378.0	GigabitEthernet0/0	7820.0	17883.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	sat	66028	502301	100946.0	100946.0	100946.0	100.945	100.945	100.945	382.0	GigabitEthernet0/0	7820.0	17883.0
