srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	81798	423500	239310.0	239310.0	239310.0	239.308	239.308	239.308	847.0	GigabitEthernet0/0	12619.0	29591.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	48905	211796	168661.0	168661.0	168661.0	168.66	168.66	168.66	689.0	GigabitEthernet0/0	12619.0	29591.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	86486	710195	407162.0	407162.0	407162.0	407.16	407.16	407.16	679.0	GigabitEthernet0/0	12619.0	29591.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	51168	213894	143033.0	143033.0	143033.0	143.031	143.031	143.031	636.0	GigabitEthernet0/0	12619.0	29591.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	85279	404259	244563.0	244563.0	244563.0	244.562	244.562	244.562	690.0	GigabitEthernet0/0	12619.0	29591.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	162910	1042276	670210.0	670210.0	670210.0	670.209	670.209	670.209	686.0	GigabitEthernet0/0	12619.0	29591.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	108864	864585	408422.0	408422.0	408422.0	408.421	408.421	408.421	686.0	GigabitEthernet0/0	12619.0	29591.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	133681	626209	374653.0	374653.0	374653.0	374.652	374.652	374.652	681.0	GigabitEthernet0/0	12619.0	29591.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	62045	383556	219256.0	219256.0	219256.0	219.255	219.255	219.255	663.0	GigabitEthernet0/0	12619.0	29591.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	91469	467748	276601.0	276601.0	276601.0	276.601	276.601	276.601	615.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	59890	322902	170300.0	170300.0	170300.0	170.299	170.299	170.299	602.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	80025	443212	279662.0	279662.0	279662.0	279.661	279.661	279.661	677.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	72294	558898	302769.0	302769.0	302769.0	302.767	302.767	302.767	678.0	GigabitEthernet0/0	12619.0	29591.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	unsat	67177	367779	225427.0	225427.0	225427.0	225.426	225.426	225.426	692.0	GigabitEthernet0/0	12619.0	29591.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	279386	2281297	1177318.0	1177318.0	1177318.0	1177.317	1177.317	1177.317	616.0	GigabitEthernet0/0	12619.0	29591.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	331652	2112719	1068575.0	1068575.0	1068575.0	1068.575	1068.575	1068.575	718.0	GigabitEthernet0/0	12619.0	29591.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	unsat	93869	395474	213763.0	213763.0	213763.0	213.762	213.762	213.762	600.0	GigabitEthernet0/0	12619.0	29591.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	unsat	126595	799222	539570.0	539570.0	539570.0	539.57	539.57	539.57	698.0	GigabitEthernet0/0	12619.0	29591.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	69856	408333	234980.0	234980.0	234980.0	234.979	234.979	234.979	800.0	GigabitEthernet0/0	12619.0	29591.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	76984	491989	295098.0	295098.0	295098.0	295.098	295.098	295.098	589.0	GigabitEthernet0/0	12619.0	29591.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	unsat	203738	1423394	606296.0	606296.0	606296.0	606.295	606.295	606.295	602.0	GigabitEthernet0/0	12619.0	29591.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	122799	992962	521976.0	521976.0	521976.0	521.975	521.975	521.975	615.0	GigabitEthernet0/0	12619.0	29591.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	66009	299708	259305.0	259305.0	259305.0	259.304	259.304	259.304	600.0	GigabitEthernet0/0	12619.0	29591.0
