srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	unsat	18188	78302	41453.0	41453.0	41453.0	41.453	41.453	41.453	778.0	GigabitEthernet0/0	12619.0	29591.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	24893	115826	56845.0	56845.0	56845.0	56.844	56.844	56.844	719.0	GigabitEthernet0/0	12619.0	29591.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	unsat	18962	92276	40647.0	40647.0	40647.0	40.646	40.646	40.646	765.0	GigabitEthernet0/0	12619.0	29591.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	unsat	21888	90447	59203.0	59203.0	59203.0	59.203	59.203	59.203	721.0	GigabitEthernet0/0	12619.0	29591.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	unsat	22235	91479	44221.0	44221.0	44221.0	44.221	44.221	44.221	729.0	GigabitEthernet0/0	12619.0	29591.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	21240	86843	42922.0	42922.0	42922.0	42.921	42.921	42.921	849.0	GigabitEthernet0/0	12619.0	29591.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	31322	109896	82258.0	82258.0	82258.0	82.257	82.257	82.257	678.0	GigabitEthernet0/0	12619.0	29591.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	32418	133970	75647.0	75647.0	75647.0	75.646	75.646	75.646	731.0	GigabitEthernet0/0	12619.0	29591.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	unsat	23767	106090	51650.0	51650.0	51650.0	51.649	51.649	51.649	678.0	GigabitEthernet0/0	12619.0	29591.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	unsat	26949	106232	73457.0	73457.0	73457.0	73.456	73.456	73.456	655.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	unsat	21129	94657	50433.0	50433.0	50433.0	50.433	50.433	50.433	662.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	unsat	28709	118512	64424.0	64424.0	64424.0	64.423	64.423	64.423	721.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	25794	100923	49469.0	49469.0	49469.0	49.468	49.468	49.468	709.0	GigabitEthernet0/0	12619.0	29591.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	unsat	20517	101682	41200.0	41200.0	41200.0	41.199	41.199	41.199	615.0	GigabitEthernet0/0	12619.0	29591.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	27630	110492	77849.0	77849.0	77849.0	77.848	77.848	77.848	628.0	GigabitEthernet0/0	12619.0	29591.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	27561	115167	61778.0	61778.0	61778.0	61.777	61.777	61.777	700.0	GigabitEthernet0/0	12619.0	29591.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	unsat	28436	120328	59098.0	59098.0	59098.0	59.098	59.098	59.098	600.0	GigabitEthernet0/0	12619.0	29591.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	unsat	29703	113150	66122.0	66122.0	66122.0	66.121	66.121	66.121	610.0	GigabitEthernet0/0	12619.0	29591.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	31613	123599	66732.0	66732.0	66732.0	66.731	66.731	66.731	603.0	GigabitEthernet0/0	12619.0	29591.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	25333	111737	75769.0	75769.0	75769.0	75.768	75.768	75.768	826.0	GigabitEthernet0/0	12619.0	29591.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	unsat	26988	114187	66090.0	66090.0	66090.0	66.089	66.089	66.089	712.0	GigabitEthernet0/0	12619.0	29591.0
