srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	203	5551	3000.0	3000.0	3000.0	2.999	2.999	2.999	709.0	GigabitEthernet0/0	12619.0	29591.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	99	2984	2844.0	2844.0	2844.0	2.843	2.843	2.843	681.0	GigabitEthernet0/0	12619.0	29591.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	67	2082	2301.0	2301.0	2301.0	2.301	2.301	2.301	676.0	GigabitEthernet0/0	12619.0	29591.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	113	3213	2784.0	2784.0	2784.0	2.783	2.783	2.783	657.0	GigabitEthernet0/0	12619.0	29591.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	2457	20761	7962.0	7962.0	7962.0	7.961	7.961	7.961	694.0	GigabitEthernet0/0	12619.0	29591.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	55	1486	2185.0	2185.0	2185.0	2.184	2.184	2.184	655.0	GigabitEthernet0/0	12619.0	29591.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	32	873	2122.0	2122.0	2122.0	2.121	2.121	2.121	755.0	GigabitEthernet0/0	12619.0	29591.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	55	1808	2404.0	2404.0	2404.0	2.403	2.403	2.403	691.0	GigabitEthernet0/0	12619.0	29591.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	57	1753	2251.0	2251.0	2251.0	2.249	2.249	2.249	651.0	GigabitEthernet0/0	12619.0	29591.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	38	810	2191.0	2191.0	2191.0	2.19	2.19	2.19	629.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	488	11907	4732.0	4732.0	4732.0	4.731	4.731	4.731	604.0	GigabitEthernet0/0	12619.0	29591.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	1446	17862	7249.0	7249.0	7249.0	7.249	7.249	7.249	688.0	GigabitEthernet0/0	12619.0	29591.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	57	1537	2339.0	2339.0	2339.0	2.338	2.338	2.338	767.0	GigabitEthernet0/0	12619.0	29591.0
