srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	390	62682	5628.0	5628.0	5628.0	5.627	5.627	5.627	687.0	GigabitEthernet0/0	12619.0	28876.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	587	70890	18189.0	18189.0	18189.0	18.189	18.189	18.189	728.0	GigabitEthernet0/0	12619.0	28876.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	390	62783	6839.0	6839.0	6839.0	6.838	6.838	6.838	644.0	GigabitEthernet0/0	12619.0	28876.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	1458	94829	21615.0	21615.0	21615.0	21.614	21.614	21.614	640.0	GigabitEthernet0/0	12619.0	28876.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	390	61836	7485.0	7485.0	7485.0	7.484	7.484	7.484	680.0	GigabitEthernet0/0	12619.0	28876.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	390	63542	6343.0	6343.0	6343.0	6.343	6.343	6.343	645.0	GigabitEthernet0/0	12619.0	28876.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	390	9375	2169.0	2169.0	2169.0	2.169	2.169	2.169	755.0	GigabitEthernet0/0	12619.0	28876.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	390	14771	2232.0	2232.0	2232.0	2.232	2.232	2.232	748.0	GigabitEthernet0/0	12619.0	28876.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	390	63001	6511.0	6511.0	6511.0	6.51	6.51	6.51	678.0	GigabitEthernet0/0	12619.0	28876.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	390	16785	2256.0	2256.0	2256.0	2.255	2.255	2.255	606.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	390	61557	6265.0	6265.0	6265.0	6.264	6.264	6.264	696.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	390	18162	2320.0	2320.0	2320.0	2.319	2.319	2.319	700.0	GigabitEthernet0/0	12619.0	28876.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	390	9376	2189.0	2189.0	2189.0	2.189	2.189	2.189	626.0	GigabitEthernet0/0	12619.0	28876.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	1578	77521	16309.0	16309.0	16309.0	16.308	16.308	16.308	594.0	GigabitEthernet0/0	12619.0	28876.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	390	9933	2254.0	2254.0	2254.0	2.253	2.253	2.253	647.0	GigabitEthernet0/0	12619.0	28876.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	390	6018	2167.0	2167.0	2167.0	2.166	2.166	2.166	589.0	GigabitEthernet0/0	12619.0	28876.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	390	61486	6732.0	6732.0	6732.0	6.731	6.731	6.731	635.0	GigabitEthernet0/0	12619.0	28876.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	390	62250	7129.0	7129.0	7129.0	7.129	7.129	7.129	601.0	GigabitEthernet0/0	12619.0	28876.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	390	19579	2316.0	2316.0	2316.0	2.315	2.315	2.315	601.0	GigabitEthernet0/0	12619.0	28876.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	390	9461	2224.0	2224.0	2224.0	2.223	2.223	2.223	620.0	GigabitEthernet0/0	12619.0	28876.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	390	62302	6592.0	6592.0	6592.0	6.592	6.592	6.592	611.0	GigabitEthernet0/0	12619.0	28876.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	390	6378	2249.0	2249.0	2249.0	2.249	2.249	2.249	683.0	GigabitEthernet0/0	12619.0	28876.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	390	17937	2308.0	2308.0	2308.0	2.308	2.308	2.308	595.0	GigabitEthernet0/0	12619.0	28876.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	390	64346	6573.0	6573.0	6573.0	6.572	6.572	6.572	673.0	GigabitEthernet0/0	12619.0	28876.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	390	6617	2203.0	2203.0	2203.0	2.202	2.202	2.202	672.0	GigabitEthernet0/0	12619.0	28876.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	390	63770	8330.0	8330.0	8330.0	8.329	8.329	8.329	606.0	GigabitEthernet0/0	12619.0	28876.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	390	12354	2305.0	2305.0	2305.0	2.304	2.304	2.304	731.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	390	7164	2178.0	2178.0	2178.0	2.177	2.177	2.177	645.0	GigabitEthernet0/0	12619.0	28876.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	390	63048	7541.0	7541.0	7541.0	7.54	7.54	7.54	602.0	GigabitEthernet0/0	12619.0	28876.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	2466	82672	15214.0	15214.0	15214.0	15.214	15.214	15.214	611.0	GigabitEthernet0/0	12619.0	28876.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	390	7157	2269.0	2269.0	2269.0	2.269	2.269	2.269	723.0	GigabitEthernet0/0	12619.0	28876.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	390	62870	8424.0	8424.0	8424.0	8.423	8.423	8.423	600.0	GigabitEthernet0/0	12619.0	28876.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	390	17379	2386.0	2386.0	2386.0	2.386	2.386	2.386	680.0	GigabitEthernet0/0	12619.0	28876.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	390	63481	6445.0	6445.0	6445.0	6.445	6.445	6.445	683.0	GigabitEthernet0/0	12619.0	28876.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	390	7685	2364.0	2364.0	2364.0	2.363	2.363	2.363	690.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	390	18585	2614.0	2614.0	2614.0	2.614	2.614	2.614	599.0	GigabitEthernet0/0	12619.0	28876.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	390	6916	2296.0	2296.0	2296.0	2.296	2.296	2.296	763.0	GigabitEthernet0/0	12619.0	28876.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	390	9367	2490.0	2490.0	2490.0	2.49	2.49	2.49	605.0	GigabitEthernet0/0	12619.0	28876.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	390	61498	6437.0	6437.0	6437.0	6.437	6.437	6.437	759.0	GigabitEthernet0/0	12619.0	28876.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	390	3592	2494.0	2494.0	2494.0	2.493	2.493	2.493	628.0	GigabitEthernet0/0	12619.0	28876.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	sat	32471	406508	90706.0	90706.0	90706.0	90.705	90.705	90.705	741.0	GigabitEthernet0/0	12619.0	28876.0
