srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	1771	10546	2860.0	2860.0	2860.0	2.858	2.858	2.858	463.0	GigabitEthernet0/0	5815.0	13633.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	1990	11019	3286.0	3286.0	3286.0	3.285	3.285	3.285	313.0	GigabitEthernet0/0	5815.0	13633.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	1380	11882	2652.0	2652.0	2652.0	2.652	2.652	2.652	298.0	GigabitEthernet0/0	5815.0	13633.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	1154	11286	2267.0	2267.0	2267.0	2.267	2.267	2.267	325.0	GigabitEthernet0/0	5815.0	13633.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	2554	12384	3814.0	3814.0	3814.0	3.813	3.813	3.813	286.0	GigabitEthernet0/0	5815.0	13633.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	unsat	1336	11898	3072.0	3072.0	3072.0	3.072	3.072	3.072	284.0	GigabitEthernet0/0	5815.0	13633.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	2323	12287	3543.0	3543.0	3543.0	3.542	3.542	3.542	275.0	GigabitEthernet0/0	5815.0	13633.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	1800	11841	3758.0	3758.0	3758.0	3.758	3.758	3.758	314.0	GigabitEthernet0/0	5815.0	13633.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	unsat	2186	13290	3131.0	3131.0	3131.0	3.131	3.131	3.131	293.0	GigabitEthernet0/0	5815.0	13633.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	unsat	1801	16255	3630.0	3630.0	3630.0	3.629	3.629	3.629	271.0	GigabitEthernet0/0	5815.0	13633.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	unsat	1912	13199	3505.0	3505.0	3505.0	3.503	3.503	3.503	301.0	GigabitEthernet0/0	5815.0	13633.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	2318	12512	3784.0	3784.0	3784.0	3.784	3.784	3.784	304.0	GigabitEthernet0/0	5815.0	13633.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	1600	11427	2506.0	2506.0	2506.0	2.505	2.505	2.505	309.0	GigabitEthernet0/0	5815.0	13633.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	1338	9951	2733.0	2733.0	2733.0	2.733	2.733	2.733	279.0	GigabitEthernet0/0	5815.0	13633.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	1587	10815	2904.0	2904.0	2904.0	2.903	2.903	2.903	304.0	GigabitEthernet0/0	5815.0	13633.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	unsat	1954	17082	3486.0	3486.0	3486.0	3.485	3.485	3.485	304.0	GigabitEthernet0/0	5815.0	13633.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	2192	12893	2894.0	2894.0	2894.0	2.892	2.892	2.892	277.0	GigabitEthernet0/0	5815.0	13633.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	1366	9014	2430.0	2430.0	2430.0	2.429	2.429	2.429	258.0	GigabitEthernet0/0	5815.0	13633.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	unsat	1868	12313	2958.0	2958.0	2958.0	2.957	2.957	2.957	276.0	GigabitEthernet0/0	5815.0	13633.0
stttpollen	evere	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	2122	13581	3509.0	3509.0	3509.0	3.509	3.509	3.509	343.0	GigabitEthernet0/0	5815.0	13633.0
piacenza	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	1807	15133	3417.0	3417.0	3417.0	3.416	3.416	3.416	288.0	GigabitEthernet0/0	5815.0	13633.0
leuven	manchester	IpWildcardIpSpace{ipWildcard=200.0.83.0/24}	unsat	1553	11052	2656.0	2656.0	2656.0	2.656	2.656	2.656	281.0	GigabitEthernet0/0	5815.0	13633.0
novara	nodeid73	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	1421	13834	3084.0	3084.0	3084.0	3.082	3.082	3.082	284.0	GigabitEthernet0/0	5815.0	13633.0
vicenza	bari	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	1365	9232	2307.0	2307.0	2307.0	2.305	2.305	2.305	279.0	GigabitEthernet0/0	5815.0	13633.0
budapest	turin	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	1634	13876	2847.0	2847.0	2847.0	2.847	2.847	2.847	290.0	GigabitEthernet0/0	5815.0	13633.0
ghent	innsbruck	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	1792	14323	3598.0	3598.0	3598.0	3.597	3.597	3.597	274.0	GigabitEthernet0/0	5815.0	13633.0
hoofddorp	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	2269	13584	4180.0	4180.0	4180.0	4.179	4.179	4.179	301.0	GigabitEthernet0/0	5815.0	13633.0
pfaffikon	mons	IpWildcardIpSpace{ipWildcard=200.0.88.0/24}	unsat	2215	12724	3104.0	3104.0	3104.0	3.103	3.103	3.103	289.0	GigabitEthernet0/0	5815.0	13633.0
utrecht	stuttgart	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	unsat	2613	15168	3094.0	3094.0	3094.0	3.093	3.093	3.093	289.0	GigabitEthernet0/0	5815.0	13633.0
dusseldorf	madrid	IpWildcardIpSpace{ipWildcard=200.0.80.0/24}	unsat	2961	19279	5096.0	5096.0	5096.0	5.096	5.096	5.096	282.0	GigabitEthernet0/0	5815.0	13633.0
amsterdam	poitiers	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	1371	14285	3100.0	3100.0	3100.0	3.099	3.099	3.099	273.0	GigabitEthernet0/0	5815.0	13633.0
grenoble	winterthur	IpWildcardIpSpace{ipWildcard=200.0.150.0/24}	unsat	1650	13939	3287.0	3287.0	3287.0	3.286	3.286	3.286	268.0	GigabitEthernet0/0	5815.0	13633.0
