srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	254439	2576145	249339.0	249339.0	249339.0	249.338	249.338	249.338	306.0	GigabitEthernet0/0	5815.0	13302.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	1171706	16120806	1433035.0	1433035.0	1433035.0	1433.034	1433.034	1433.034	301.0	GigabitEthernet0/0	5815.0	13302.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	237258	6032182	334455.0	334455.0	334455.0	334.454	334.454	334.454	288.0	GigabitEthernet0/0	5815.0	13302.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	94578	1510386	101838.0	101838.0	101838.0	101.837	101.837	101.837	332.0	GigabitEthernet0/0	5815.0	13302.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	903184	11292331	1089181.0	1089181.0	1089181.0	1089.18	1089.18	1089.18	287.0	GigabitEthernet0/0	5815.0	13302.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	unsat	333584	6641341	414870.0	414870.0	414870.0	414.869	414.869	414.869	274.0	GigabitEthernet0/0	5815.0	13302.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	1636908	19538038	1784630.0	1784630.0	1784630.0	1784.629	1784.629	1784.629	273.0	GigabitEthernet0/0	5815.0	13302.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	478137	10457302	640723.0	640723.0	640723.0	640.722	640.722	640.722	310.0	GigabitEthernet0/0	5815.0	13302.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	unsat	122695	2240744	174602.0	174602.0	174602.0	174.602	174.602	174.602	272.0	GigabitEthernet0/0	5815.0	13302.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	unsat	280321	7576939	477411.0	477411.0	477411.0	477.411	477.411	477.411	269.0	GigabitEthernet0/0	5815.0	13302.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	unsat	982164	15459113	1422850.0	1422850.0	1422850.0	1422.848	1422.848	1422.848	310.0	GigabitEthernet0/0	5815.0	13302.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	363219	3191508	340677.0	340677.0	340677.0	340.675	340.675	340.675	293.0	GigabitEthernet0/0	5815.0	13302.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	235965	4126465	292671.0	292671.0	292671.0	292.671	292.671	292.671	302.0	GigabitEthernet0/0	5815.0	13302.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	633701	9620402	809187.0	809187.0	809187.0	809.186	809.186	809.186	273.0	GigabitEthernet0/0	5815.0	13302.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	1381841	18874128	1826264.0	1826264.0	1826264.0	1826.263	1826.263	1826.263	303.0	GigabitEthernet0/0	5815.0	13302.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	unsat	387361	8553600	502061.0	502061.0	502061.0	502.06	502.06	502.06	305.0	GigabitEthernet0/0	5815.0	13302.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	962047	14128297	1122815.0	1122815.0	1122815.0	1122.814	1122.814	1122.814	290.0	GigabitEthernet0/0	5815.0	13302.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	1184265	14895447	1465987.0	1465987.0	1465987.0	1465.987	1465.987	1465.987	265.0	GigabitEthernet0/0	5815.0	13302.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	unsat	1072100	15455460	1412092.0	1412092.0	1412092.0	1412.092	1412.092	1412.092	323.0	GigabitEthernet0/0	5815.0	13302.0
stttpollen	evere	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	183536	3397550	252930.0	252930.0	252930.0	252.929	252.929	252.929	341.0	GigabitEthernet0/0	5815.0	13302.0
piacenza	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	203867	5842281	280271.0	280271.0	280271.0	280.27	280.27	280.27	287.0	GigabitEthernet0/0	5815.0	13302.0
leuven	manchester	IpWildcardIpSpace{ipWildcard=200.0.83.0/24}	unsat	95874	2218382	147515.0	147515.0	147515.0	147.514	147.514	147.514	304.0	GigabitEthernet0/0	5815.0	13302.0
novara	nodeid73	IpWildcardIpSpace{ipWildcard=200.0.100.0/24}	unsat	164714	4314119	236325.0	236325.0	236325.0	236.324	236.324	236.324	282.0	GigabitEthernet0/0	5815.0	13302.0
vicenza	bari	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	703715	11248533	914423.0	914423.0	914423.0	914.422	914.422	914.422	277.0	GigabitEthernet0/0	5815.0	13302.0
budapest	turin	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	864458	14074371	1227700.0	1227700.0	1227700.0	1227.7	1227.7	1227.7	283.0	GigabitEthernet0/0	5815.0	13302.0
ghent	innsbruck	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	402972	4651060	427591.0	427591.0	427591.0	427.591	427.591	427.591	276.0	GigabitEthernet0/0	5815.0	13302.0
hoofddorp	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	630326	12076387	864397.0	864397.0	864397.0	864.396	864.396	864.396	289.0	GigabitEthernet0/0	5815.0	13302.0
pfaffikon	mons	IpWildcardIpSpace{ipWildcard=200.0.88.0/24}	unsat	146710	2105732	203042.0	203042.0	203042.0	203.041	203.041	203.041	283.0	GigabitEthernet0/0	5815.0	13302.0
utrecht	stuttgart	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	unsat	132965	1172902	115558.0	115558.0	115558.0	115.557	115.557	115.557	280.0	GigabitEthernet0/0	5815.0	13302.0
dusseldorf	madrid	IpWildcardIpSpace{ipWildcard=200.0.80.0/24}	unsat	605866	13718481	895865.0	895865.0	895865.0	895.863	895.863	895.863	282.0	GigabitEthernet0/0	5815.0	13302.0
amsterdam	poitiers	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	199972	5022022	305890.0	305890.0	305890.0	305.889	305.889	305.889	295.0	GigabitEthernet0/0	5815.0	13302.0
grenoble	winterthur	IpWildcardIpSpace{ipWildcard=200.0.150.0/24}	unsat	204582	3661833	205810.0	205810.0	205810.0	205.809	205.809	205.809	269.0	GigabitEthernet0/0	5815.0	13302.0
linz	warsaw	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	unsat	240133	2475497	279799.0	279799.0	279799.0	279.798	279.798	279.798	274.0	GigabitEthernet0/0	5815.0	13302.0
boblingen	hamburg	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	unsat	269696	2906836	278354.0	278354.0	278354.0	278.353	278.353	278.353	284.0	GigabitEthernet0/0	5815.0	13302.0
montpellier	cuneo	IpWildcardIpSpace{ipWildcard=200.0.36.0/24}	unsat	679815	10697686	874116.0	874116.0	874116.0	874.115	874.115	874.115	297.0	GigabitEthernet0/0	5815.0	13302.0
schaffhausen	chiasso	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	504020	7647020	554699.0	554699.0	554699.0	554.697	554.697	554.697	272.0	GigabitEthernet0/0	5815.0	13302.0
kolding	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	502929	10498284	707730.0	707730.0	707730.0	707.729	707.729	707.729	326.0	GigabitEthernet0/0	5815.0	13302.0
firenze	barcelona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	586704	12280959	1007444.0	1007444.0	1007444.0	1007.443	1007.443	1007.443	319.0	GigabitEthernet0/0	5815.0	13302.0
bergamo	charleroi	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	108480	1512276	154590.0	154590.0	154590.0	154.589	154.589	154.589	268.0	GigabitEthernet0/0	5815.0	13302.0
anderlecht	pfaffikon	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	unsat	514109	10260908	668834.0	668834.0	668834.0	668.833	668.833	668.833	266.0	GigabitEthernet0/0	5815.0	13302.0
parma	biella	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	669872	10058901	844410.0	844410.0	844410.0	844.41	844.41	844.41	281.0	GigabitEthernet0/0	5815.0	13302.0
montpellier	bern	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	250636	5824423	331760.0	331760.0	331760.0	331.759	331.759	331.759	268.0	GigabitEthernet0/0	5815.0	13302.0
hilversum	rostock	IpWildcardIpSpace{ipWildcard=200.0.123.0/24}	unsat	353382	3360241	342619.0	342619.0	342619.0	342.618	342.618	342.618	263.0	GigabitEthernet0/0	5815.0	13302.0
boston	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	876309	10819232	1036359.0	1036359.0	1036359.0	1036.358	1036.358	1036.358	282.0	GigabitEthernet0/0	5815.0	13302.0
biella	lisbon	IpWildcardIpSpace{ipWildcard=200.0.73.0/24}	unsat	273290	6837349	450458.0	450458.0	450458.0	450.458	450.458	450.458	266.0	GigabitEthernet0/0	5815.0	13302.0
malmo	oslo	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	unsat	349951	3403646	318257.0	318257.0	318257.0	318.256	318.256	318.256	320.0	GigabitEthernet0/0	5815.0	13302.0
nice	poitiers	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	131018	3254535	201854.0	201854.0	201854.0	201.854	201.854	201.854	326.0	GigabitEthernet0/0	5815.0	13302.0
vicenza	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	521407	8638170	613099.0	613099.0	613099.0	613.098	613.098	613.098	281.0	GigabitEthernet0/0	5815.0	13302.0
neuss	bari	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	1272267	15003497	1445089.0	1445089.0	1445089.0	1445.088	1445.088	1445.088	287.0	GigabitEthernet0/0	5815.0	13302.0
zurich	rimini	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	unsat	905328	11036504	1093697.0	1093697.0	1093697.0	1093.697	1093.697	1093.697	269.0	GigabitEthernet0/0	5815.0	13302.0
