srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	18	280	469.0	469.0	469.0	0.468	0.468	0.468	300.0	GigabitEthernet0/0	5815.0	13633.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	8	179	489.0	489.0	489.0	0.489	0.489	0.489	296.0	GigabitEthernet0/0	5815.0	13633.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	11	215	489.0	489.0	489.0	0.488	0.488	0.488	362.0	GigabitEthernet0/0	5815.0	13633.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	16	281	498.0	498.0	498.0	0.497	0.497	0.497	284.0	GigabitEthernet0/0	5815.0	13633.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	21	251	541.0	541.0	541.0	0.54	0.54	0.54	277.0	GigabitEthernet0/0	5815.0	13633.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	9	244	516.0	516.0	516.0	0.515	0.515	0.515	277.0	GigabitEthernet0/0	5815.0	13633.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	10	213	519.0	519.0	519.0	0.519	0.519	0.519	319.0	GigabitEthernet0/0	5815.0	13633.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	4	150	493.0	493.0	493.0	0.493	0.493	0.493	273.0	GigabitEthernet0/0	5815.0	13633.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	10	236	498.0	498.0	498.0	0.497	0.497	0.497	267.0	GigabitEthernet0/0	5815.0	13633.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	10	205	537.0	537.0	537.0	0.536	0.536	0.536	310.0	GigabitEthernet0/0	5815.0	13633.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	12	207	525.0	525.0	525.0	0.524	0.524	0.524	307.0	GigabitEthernet0/0	5815.0	13633.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	14	232	548.0	548.0	548.0	0.547	0.547	0.547	277.0	GigabitEthernet0/0	5815.0	13633.0
