srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	175	1631	457.0	457.0	457.0	0.457	0.457	0.457	443.0	GigabitEthernet0/0	5815.0	13302.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	175	14035	1038.0	1038.0	1038.0	1.037	1.037	1.037	292.0	GigabitEthernet0/0	5815.0	13302.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	175	1415	482.0	482.0	482.0	0.481	0.481	0.481	324.0	GigabitEthernet0/0	5815.0	13302.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	175	14039	1064.0	1064.0	1064.0	1.063	1.063	1.063	279.0	GigabitEthernet0/0	5815.0	13302.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	175	1036	514.0	514.0	514.0	0.513	0.513	0.513	271.0	GigabitEthernet0/0	5815.0	13302.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	175	1143	501.0	501.0	501.0	0.5	0.5	0.5	272.0	GigabitEthernet0/0	5815.0	13302.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	175	769	493.0	493.0	493.0	0.493	0.493	0.493	310.0	GigabitEthernet0/0	5815.0	13302.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	175	1373	488.0	488.0	488.0	0.487	0.487	0.487	269.0	GigabitEthernet0/0	5815.0	13302.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	175	761	485.0	485.0	485.0	0.484	0.484	0.484	267.0	GigabitEthernet0/0	5815.0	13302.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	175	610	519.0	519.0	519.0	0.518	0.518	0.518	287.0	GigabitEthernet0/0	5815.0	13302.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	175	765	509.0	509.0	509.0	0.509	0.509	0.509	308.0	GigabitEthernet0/0	5815.0	13302.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	175	13569	1111.0	1111.0	1111.0	1.11	1.11	1.11	286.0	GigabitEthernet0/0	5815.0	13302.0
