srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	2297	15392	2515.0	2515.0	2515.0	2.514	2.514	2.514	297.0	GigabitEthernet0/0	5815.0	13633.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	2714	13726	3018.0	3018.0	3018.0	3.017	3.017	3.017	297.0	GigabitEthernet0/0	5815.0	13633.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	2561	14852	2920.0	2920.0	2920.0	2.92	2.92	2.92	335.0	GigabitEthernet0/0	5815.0	13633.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	3359	19660	3494.0	3494.0	3494.0	3.493	3.493	3.493	277.0	GigabitEthernet0/0	5815.0	13633.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	2785	17308	3716.0	3716.0	3716.0	3.715	3.715	3.715	274.0	GigabitEthernet0/0	5815.0	13633.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	2465	16553	2914.0	2914.0	2914.0	2.913	2.913	2.913	273.0	GigabitEthernet0/0	5815.0	13633.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	2149	16328	2536.0	2536.0	2536.0	2.536	2.536	2.536	312.0	GigabitEthernet0/0	5815.0	13633.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	2569	16754	2731.0	2731.0	2731.0	2.731	2.731	2.731	268.0	GigabitEthernet0/0	5815.0	13633.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	2987	16573	3340.0	3340.0	3340.0	3.34	3.34	3.34	268.0	GigabitEthernet0/0	5815.0	13633.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	2581	17579	3357.0	3357.0	3357.0	3.356	3.356	3.356	289.0	GigabitEthernet0/0	5815.0	13633.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	2533	12674	2929.0	2929.0	2929.0	2.929	2.929	2.929	309.0	GigabitEthernet0/0	5815.0	13633.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	2546	18349	3479.0	3479.0	3479.0	3.478	3.478	3.478	295.0	GigabitEthernet0/0	5815.0	13633.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	3053	17834	3431.0	3431.0	3431.0	3.43	3.43	3.43	289.0	GigabitEthernet0/0	5815.0	13633.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	2453	15607	2957.0	2957.0	2957.0	2.957	2.957	2.957	278.0	GigabitEthernet0/0	5815.0	13633.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	2655	18130	3464.0	3464.0	3464.0	3.464	3.464	3.464	299.0	GigabitEthernet0/0	5815.0	13633.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	1863	13431	2317.0	2317.0	2317.0	2.316	2.316	2.316	265.0	GigabitEthernet0/0	5815.0	13633.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	2126	14075	2550.0	2550.0	2550.0	2.55	2.55	2.55	277.0	GigabitEthernet0/0	5815.0	13633.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	2475	16749	3048.0	3048.0	3048.0	3.047	3.047	3.047	263.0	GigabitEthernet0/0	5815.0	13633.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	sat	3133	21663	3973.0	3973.0	3973.0	3.972	3.972	3.972	374.0	GigabitEthernet0/0	5815.0	13633.0
stttpollen	evere	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	2652	18842	3587.0	3587.0	3587.0	3.587	3.587	3.587	298.0	GigabitEthernet0/0	5815.0	13633.0
