srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	49546	380501	132451.0	132451.0	132451.0	132.448	132.448	132.448	814.0	GigabitEthernet0/0	10833.0	25382.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	85566	322580	138387.0	138387.0	138387.0	138.386	138.386	138.386	572.0	GigabitEthernet0/0	10833.0	25382.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	42543	304377	99184.0	99184.0	99184.0	99.183	99.183	99.183	556.0	GigabitEthernet0/0	10833.0	25382.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	35473	158933	64382.0	64382.0	64382.0	64.381	64.381	64.381	564.0	GigabitEthernet0/0	10833.0	25382.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	22800	158026	46180.0	46180.0	46180.0	46.179	46.179	46.179	641.0	GigabitEthernet0/0	10833.0	25382.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	unsat	79412	510508	173409.0	173409.0	173409.0	173.408	173.408	173.408	599.0	GigabitEthernet0/0	10833.0	25382.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	43697	269947	97919.0	97919.0	97919.0	97.919	97.919	97.919	603.0	GigabitEthernet0/0	10833.0	25382.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	43643	250522	112009.0	112009.0	112009.0	112.008	112.008	112.008	548.0	GigabitEthernet0/0	10833.0	25382.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	unsat	19495	88904	29761.0	29761.0	29761.0	29.76	29.76	29.76	540.0	GigabitEthernet0/0	10833.0	25382.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	33727	207113	61862.0	61862.0	61862.0	61.862	61.862	61.862	518.0	GigabitEthernet0/0	10833.0	25382.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	21935	123736	38534.0	38534.0	38534.0	38.534	38.534	38.534	545.0	GigabitEthernet0/0	10833.0	25382.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	28730	204195	57712.0	57712.0	57712.0	57.711	57.711	57.711	518.0	GigabitEthernet0/0	10833.0	25382.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	16972	86159	27973.0	27973.0	27973.0	27.973	27.973	27.973	523.0	GigabitEthernet0/0	10833.0	25382.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	unsat	38939	185861	96184.0	96184.0	96184.0	96.183	96.183	96.183	522.0	GigabitEthernet0/0	10833.0	25382.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	unsat	28725	136273	52072.0	52072.0	52072.0	52.072	52.072	52.072	571.0	GigabitEthernet0/0	10833.0	25382.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	unsat	29323	160895	58643.0	58643.0	58643.0	58.643	58.643	58.643	574.0	GigabitEthernet0/0	10833.0	25382.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	21854	139255	39262.0	39262.0	39262.0	39.261	39.261	39.261	555.0	GigabitEthernet0/0	10833.0	25382.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	unsat	34897	185834	57593.0	57593.0	57593.0	57.592	57.592	57.592	507.0	GigabitEthernet0/0	10833.0	25382.0
