srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	9041	52468	11581.0	11581.0	11581.0	11.58	11.58	11.58	695.0	GigabitEthernet0/0	10833.0	25382.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	11374	57301	16137.0	16137.0	16137.0	16.136	16.136	16.136	535.0	GigabitEthernet0/0	10833.0	25382.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	10084	55107	14136.0	14136.0	14136.0	14.135	14.135	14.135	575.0	GigabitEthernet0/0	10833.0	25382.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	10108	55516	14511.0	14511.0	14511.0	14.51	14.51	14.51	545.0	GigabitEthernet0/0	10833.0	25382.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	11618	65354	18719.0	18719.0	18719.0	18.718	18.718	18.718	629.0	GigabitEthernet0/0	10833.0	25382.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	unsat	10077	66093	17927.0	17927.0	17927.0	17.927	17.927	17.927	529.0	GigabitEthernet0/0	10833.0	25382.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	11630	66938	16881.0	16881.0	16881.0	16.88	16.88	16.88	626.0	GigabitEthernet0/0	10833.0	25382.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	unsat	11139	72239	16659.0	16659.0	16659.0	16.658	16.658	16.658	557.0	GigabitEthernet0/0	10833.0	25382.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	unsat	11300	62863	14614.0	14614.0	14614.0	14.613	14.613	14.613	645.0	GigabitEthernet0/0	10833.0	25382.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	11189	66150	21360.0	21360.0	21360.0	21.359	21.359	21.359	556.0	GigabitEthernet0/0	10833.0	25382.0
