srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	85746	892252	148696.0	148696.0	148696.0	148.696	148.696	148.696	645.0	GigabitEthernet0/0	10833.0	24773.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	15127	228921	20375.0	20375.0	20375.0	20.374	20.374	20.374	534.0	GigabitEthernet0/0	10833.0	24773.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	115255	1064452	186466.0	186466.0	186466.0	186.465	186.465	186.465	534.0	GigabitEthernet0/0	10833.0	24773.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	74025	793833	164127.0	164127.0	164127.0	164.126	164.126	164.126	592.0	GigabitEthernet0/0	10833.0	24773.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	52180	461386	52986.0	52986.0	52986.0	52.985	52.985	52.985	615.0	GigabitEthernet0/0	10833.0	24773.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	119894	1057980	195325.0	195325.0	195325.0	195.324	195.324	195.324	554.0	GigabitEthernet0/0	10833.0	24773.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	104063	1001569	175189.0	175189.0	175189.0	175.188	175.188	175.188	591.0	GigabitEthernet0/0	10833.0	24773.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	95341	999560	176397.0	176397.0	176397.0	176.395	176.395	176.395	625.0	GigabitEthernet0/0	10833.0	24773.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	113152	1106355	226822.0	226822.0	226822.0	226.821	226.821	226.821	518.0	GigabitEthernet0/0	10833.0	24773.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	68804	601279	92092.0	92092.0	92092.0	92.091	92.091	92.091	519.0	GigabitEthernet0/0	10833.0	24773.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	34572	333955	36868.0	36868.0	36868.0	36.867	36.867	36.867	505.0	GigabitEthernet0/0	10833.0	24773.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	98524	827579	138665.0	138665.0	138665.0	138.664	138.664	138.664	519.0	GigabitEthernet0/0	10833.0	24773.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	84077	731772	100977.0	100977.0	100977.0	100.976	100.976	100.976	545.0	GigabitEthernet0/0	10833.0	24773.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	73524	842602	141748.0	141748.0	141748.0	141.748	141.748	141.748	525.0	GigabitEthernet0/0	10833.0	24773.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	67124	598817	91535.0	91535.0	91535.0	91.535	91.535	91.535	497.0	GigabitEthernet0/0	10833.0	24773.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	119628	1037590	189071.0	189071.0	189071.0	189.07	189.07	189.07	566.0	GigabitEthernet0/0	10833.0	24773.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	41329	410811	45033.0	45033.0	45033.0	45.032	45.032	45.032	571.0	GigabitEthernet0/0	10833.0	24773.0
