srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	2702	8044	2450.0	2450.0	2450.0	2.448	2.448	2.448	356.0	GigabitEthernet0/0	3268.0	7622.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	1953	6474	2150.0	2150.0	2150.0	2.149	2.149	2.149	155.0	GigabitEthernet0/0	3268.0	7622.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	2285	6822	1898.0	1898.0	1898.0	1.897	1.897	1.897	170.0	GigabitEthernet0/0	3268.0	7622.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	2756	8816	1807.0	1807.0	1807.0	1.806	1.806	1.806	157.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	2155	4648	1715.0	1715.0	1715.0	1.713	1.713	1.713	152.0	GigabitEthernet0/0	3268.0	7622.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	1614	5144	1620.0	1620.0	1620.0	1.619	1.619	1.619	153.0	GigabitEthernet0/0	3268.0	7622.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	1553	4365	1488.0	1488.0	1488.0	1.486	1.486	1.486	151.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	1471	6130	1655.0	1655.0	1655.0	1.654	1.654	1.654	153.0	GigabitEthernet0/0	3268.0	7622.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	0	0	32.0	32.0	32.0	0.031	0.031	0.031	156.0	GigabitEthernet0/0	3268.0	7622.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	1352	3421	981.0	981.0	981.0	0.981	0.981	0.981	162.0	GigabitEthernet0/0	3268.0	7622.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	2075	6403	1778.0	1778.0	1778.0	1.778	1.778	1.778	158.0	GigabitEthernet0/0	3268.0	7622.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	2322	6067	1507.0	1507.0	1507.0	1.506	1.506	1.506	148.0	GigabitEthernet0/0	3268.0	7622.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	2680	6148	1979.0	1979.0	1979.0	1.978	1.978	1.978	164.0	GigabitEthernet0/0	3268.0	7622.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1786	5459	1502.0	1502.0	1502.0	1.502	1.502	1.502	157.0	GigabitEthernet0/0	3268.0	7622.0
